version 1, schema ship_names_tables
Index(string)	Name_Loc_IDRef(string)	Ship_Name(string)	Faction(optstring)
"1"	"names_dutch"	"Achilles"	nil
"2"	"names_dutch"	"Admiraal de Ruijter"	"netherlands"
"3"	"names_dutch"	"Admiraal Genraal"	"netherlands"
"4"	"names_dutch"	"Admiraal Piet Hein"	"netherlands"
"5"	"names_dutch"	"Admiraal Tjerck Hiddes de Vries"	"netherlands"
"6"	"names_dutch"	"Admiraal Zoutman"	"netherlands"
"7"	"names_dutch"	"Agatha"	nil
"8"	"names_dutch"	"Akerboom"	nil
"9"	"names_dutch"	"Alida"	nil
"10"	"names_dutch"	"Alkmaar"	nil
"11"	"names_dutch"	"Amsterdam"	"netherlands"
"12"	"names_dutch"	"Arend"	nil
"13"	"names_dutch"	"Argo"	nil
"14"	"names_dutch"	"Arnhem"	nil
"15"	"names_dutch"	"Assendelft"	nil
"16"	"names_dutch"	"Aurora"	nil
"17"	"names_dutch"	"Banier"	nil
"18"	"names_dutch"	"Batavia"	nil
"19"	"names_dutch"	"Batavier"	nil
"20"	"names_dutch"	"Beemster"	nil
"21"	"names_dutch"	"Beemsterlust"	nil
"22"	"names_dutch"	"Beschermer"	nil
"23"	"names_dutch"	"Beschutter"	nil
"24"	"names_dutch"	"Beurs"	nil
"25"	"names_dutch"	"Boekenrode"	nil
"26"	"names_dutch"	"Boetselaer"	nil
"27"	"names_dutch"	"Bommel"	nil
"28"	"names_dutch"	"Braek"	nil
"29"	"names_dutch"	"Brak"	nil
"30"	"names_dutch"	"Brakel"	nil
"31"	"names_dutch"	"Breda"	nil
"32"	"names_dutch"	"Brielle"	nil
"33"	"names_dutch"	"Bruinvisch"	nil
"34"	"names_dutch"	"Buis"	nil
"35"	"names_dutch"	"Burcht van Alkmar"	"netherlands"
"36"	"names_dutch"	"Burcht van Leiden"	"netherlands"
"37"	"names_dutch"	"Burg"	nil
"38"	"names_dutch"	"Carolus Quintus"	nil
"39"	"names_dutch"	"Castricum"	nil
"40"	"names_dutch"	"Catharina"	nil
"41"	"names_dutch"	"Cerberus"	nil
"42"	"names_dutch"	"Chattam"	nil
"43"	"names_dutch"	"Convertine"	nil
"44"	"names_dutch"	"Cornelia"	nil
"45"	"names_dutch"	"Curacao"	nil
"46"	"names_dutch"	"Daalhem"	nil
"47"	"names_dutch"	"Damiaten"	nil
"48"	"names_dutch"	"De Brederode"	nil
"49"	"names_dutch"	"De Delft"	nil
"50"	"names_dutch"	"De Leeuw"	nil
"51"	"names_dutch"	"De Ruyter"	nil
"52"	"names_dutch"	"De Zeven Provincien"	"netherlands"
"53"	"names_dutch"	"Delfland"	nil
"54"	"names_dutch"	"Delft"	nil
"55"	"names_dutch"	"Den Brankel"	nil
"56"	"names_dutch"	"Deventer"	nil
"57"	"names_dutch"	"Dieren"	nil
"58"	"names_dutch"	"Doggersbank"	nil
"59"	"names_dutch"	"Dolfijn"	nil
"60"	"names_dutch"	"Dom van Utrecht"	"netherlands"
"61"	"names_dutch"	"Dordrecht"	nil
"62"	"names_dutch"	"Drakenstein"	nil
"63"	"names_dutch"	"Drenthe"	nil
"64"	"names_dutch"	"Drie Koningen"	nil
"65"	"names_dutch"	"Duinrel"	nil
"66"	"names_dutch"	"Duyfken"	nil
"67"	"names_dutch"	"Edam"	nil
"68"	"names_dutch"	"Eendracht"	nil
"69"	"names_dutch"	"Eendracht (1615) (\"Unity\")"	nil
"70"	"names_dutch"	"Eenhoorn"	nil
"71"	"names_dutch"	"Eerste Edele"	nil
"72"	"names_dutch"	"Elf Steden"	nil
"73"	"names_dutch"	"Elias"	nil
"74"	"names_dutch"	"Elswoud"	nil
"75"	"names_dutch"	"Enkhuizen"	nil
"76"	"names_dutch"	"Erfprins"	nil
"77"	"names_dutch"	"Essen"	nil
"78"	"names_dutch"	"Europa"	nil
"79"	"names_dutch"	"Faijsant"	nil
"80"	"names_dutch"	"Fanfaron"	nil
"81"	"names_dutch"	"Fort Goeree"	nil
"82"	"names_dutch"	"Frisia"	nil
"83"	"names_dutch"	"Gaasterland"	nil
"84"	"names_dutch"	"Galias"	nil
"85"	"names_dutch"	"Gekroonde Burg"	nil
"86"	"names_dutch"	"Gelderland"	nil
"87"	"names_dutch"	"Gelderscher Ruiter"	nil
"88"	"names_dutch"	"Geloof"	nil
"89"	"names_dutch"	"Gideon"	nil
"90"	"names_dutch"	"Glindhorst"	nil
"91"	"names_dutch"	"Gorichem"	nil
"92"	"names_dutch"	"Gouda"	nil
"93"	"names_dutch"	"Gouden Star"	nil
"94"	"names_dutch"	"Graaf van Albemarle"	nil
"95"	"names_dutch"	"Graaf van Solms"	nil
"96"	"names_dutch"	"Grijpskerk"	nil
"97"	"names_dutch"	"Groningen"	nil
"98"	"names_dutch"	"Groonwijf"	nil
"99"	"names_dutch"	"Groote Heere Veld"	nil
"100"	"names_dutch"	"Grooten Broeck"	nil
"101"	"names_dutch"	"Grooter Herder"	nil
"102"	"names_dutch"	"Gulden Zeepaert"	nil
"103"	"names_dutch"	"Haarlem"	nil
"104"	"names_dutch"	"Hal"	nil
"105"	"names_dutch"	"Halve Maen"	nil
"106"	"names_dutch"	"Hardenbroek"	nil
"107"	"names_dutch"	"Harderin"	nil
"108"	"names_dutch"	"Harderwijk"	nil
"109"	"names_dutch"	"Havik"	nil
"110"	"names_dutch"	"Hazewind"	nil
"111"	"names_dutch"	"Heemskerck"	nil
"112"	"names_dutch"	"Heernstede"	nil
"113"	"names_dutch"	"Hellevoetsluis"	nil
"114"	"names_dutch"	"Hersteller"	nil
"115"	"names_dutch"	"Hertog van York"	nil
"116"	"names_dutch"	"Hof Sint-Janskerk"	nil
"117"	"names_dutch"	"Hof van Rhenen"	"netherlands"
"118"	"names_dutch"	"Hof van Zeeland"	"netherlands"
"119"	"names_dutch"	"Holland"	"netherlands"
"120"	"names_dutch"	"Hollandia"	"netherlands"
"121"	"names_dutch"	"Hollandsche"	"netherlands"
"122"	"names_dutch"	"Hollandsche Tuin"	"netherlands"
"123"	"names_dutch"	"Honslaarsdijk"	nil
"124"	"names_dutch"	"Hoop"	nil
"125"	"names_dutch"	"Huis te Neck"	nil
"126"	"names_dutch"	"Ijist"	nil
"127"	"names_dutch"	"Jager"	nil
"128"	"names_dutch"	"Johan de Witt"	"netherlands"
"129"	"names_dutch"	"Jonge Prins"	nil
"130"	"names_dutch"	"Jonge Prins te Paard"	nil
"131"	"names_dutch"	"Jupiter"	nil
"132"	"names_dutch"	"Justina van Nassau"	"netherlands"
"133"	"names_dutch"	"Kalandsoog"	nil
"134"	"names_dutch"	"Kampen"	nil
"135"	"names_dutch"	"Kasteel van Egmond"	"netherlands"
