version 1, schema small_vegetation_climates_jct_tables
Climate_ID(string)	Vegetation_props_ID(string)
"lc_am_desert"	"rock_1_dry_piece01_destruct01"
"lc_am_desert"	"rock_2_dry_piece01_destruct01"
"lc_am_desert"	"rock_3_dry_piece01_destruct01"
"lc_am_desert"	"rock_4_dry_piece01_destruct01"
"lc_am_desert"	"large_log_dry_piece01_destruct01"
"lc_am_desert"	"medium_log_dry_piece01_destruct01"
"lc_am_desert"	"small_log_dry_piece01_destruct01"
"lc_am_desert"	"tree_stump_dry_piece01_destruct01"
"lc_am_desert"	"tree_stump_and_log_dry_piece01_destruct01"
"lc_am_great_plains"	"small_rock_1_piece01_destruct01"
"lc_am_great_plains"	"small_rock_2_piece01_destruct01"
"lc_am_great_plains"	"small_rock_3_piece01_destruct01"
"lc_am_jungle"	"rock_1_wet_piece01_destruct01"
"lc_am_jungle"	"rock_2_wet_piece01_destruct01"
"lc_am_jungle"	"rock_3_wet_piece01_destruct01"
"lc_am_jungle"	"rock_4_wet_piece01_destruct01"
"lc_am_jungle"	"large_log_piece01_destruct01"
"lc_am_jungle"	"medium_log_piece01_destruct01"
"lc_am_jungle"	"small_log_piece01_destruct01"
"lc_am_jungle"	"tree_stump_and_log_piece01_destruct01"
"lc_am_jungle"	"tree_stump_piece01_destruct01"
"lc_am_s_arid"	"small_rock_1_piece01_destruct01"
"lc_am_s_arid"	"small_rock_2_piece01_destruct01"
"lc_am_s_arid"	"small_rock_3_piece01_destruct01"
"lc_am_se_usa"	"rock_1_wet_piece01_destruct01"
"lc_am_se_usa"	"rock_2_wet_piece01_destruct01"
"lc_am_se_usa"	"rock_3_wet_piece01_destruct01"
"lc_am_se_usa"	"rock_4_wet_piece01_destruct01"
"lc_am_se_usa"	"large_log_piece01_destruct01"
"lc_am_se_usa"	"medium_log_piece01_destruct01"
"lc_am_se_usa"	"small_log_piece01_destruct01"
"lc_am_se_usa"	"tree_stump_and_log_piece01_destruct01"
"lc_am_se_usa"	"tree_stump_piece01_destruct01"
"lc_am_tropical_humid"	"large_log_piece01_destruct01"
"lc_am_tropical_humid"	"medium_log_piece01_destruct01"
"lc_am_tropical_humid"	"small_log_piece01_destruct01"
"lc_am_tropical_humid"	"tree_stump_and_log_piece01_destruct01"
"lc_am_tropical_humid"	"tree_stump_piece01_destruct01"
"lc_am_tropical_humid"	"rock_1_wet_piece01_destruct01"
"lc_am_tropical_humid"	"rock_2_wet_piece01_destruct01"
"lc_am_tropical_humid"	"rock_3_wet_piece01_destruct01"
"lc_am_tropical_humid"	"rock_4_wet_piece01_destruct01"
"lc_am_us_central"	"small_rock_1_piece01_destruct01"
"lc_am_us_central"	"small_rock_2_piece01_destruct01"
"lc_am_us_central"	"small_rock_3_piece01_destruct01"
"lc_am_us_central"	"small_rock_4_piece01_destruct01"
"lc_am_us_central"	"large_log_piece01_destruct01"
"lc_am_us_central"	"medium_log_piece01_destruct01"
"lc_am_us_central"	"small_log_piece01_destruct01"
"lc_am_us_central"	"tree_stump_and_log_piece01_destruct01"
"lc_am_us_central"	"tree_stump_piece01_destruct01"
"lc_am_us_east"	"small_rock_1_piece01_destruct01"
"lc_am_us_east"	"small_rock_2_piece01_destruct01"
"lc_am_us_east"	"small_rock_3_piece01_destruct01"
"lc_am_us_east"	"small_rock_4_piece01_destruct01"
"lc_am_us_east"	"large_log_piece01_destruct01"
"lc_am_us_east"	"medium_log_piece01_destruct01"
"lc_am_us_east"	"small_log_piece01_destruct01"
"lc_am_us_east"	"tree_stump_and_log_piece01_destruct01"
"lc_am_us_east"	"tree_stump_piece01_destruct01"
"lc_as_temp_humid"	"large_log_piece01_destruct01"
"lc_as_temp_humid"	"medium_log_piece01_destruct01"
"lc_as_temp_humid"	"small_log_piece01_destruct01"
"lc_as_temp_humid"	"tree_stump_and_log_piece01_destruct01"
"lc_as_temp_humid"	"tree_stump_piece01_destruct01"
"lc_as_temp_humid"	"rock_1_wet_piece01_destruct01"
"lc_as_temp_humid"	"rock_2_wet_piece01_destruct01"
"lc_as_temp_humid"	"rock_3_wet_piece01_destruct01"
"lc_as_temp_humid"	"rock_4_wet_piece01_destruct01"
