version 2, schema technologies_tables
Tech_ID(string)	Building_IDRef(string)	Tech_Tree_Position(int)	Research_Points(int)	Icon_x0020_Name(string)	Land_prestige(int)	Naval_prestige(int)	Economic_prestige(int)	Enlightenment_prestige(int)	Early_Availability(boolean)	Late_Availability(boolean)	Researched_Message_Picture(string)	unknown3(int)
"admin1_classical_economics"	"sAdmin1_tax_office"	2	75	"admin1_classical_economics"	0	0	50	0	false	false	"innovation.tga"	1
"admin1_national_debt"	"sAdmin1_tax_office"	1	75	"admin1_national_debt"	0	0	10	0	false	false	"innovation.tga"	0
"admin1_public_schooling"	"sAdmin2_magistrate"	4	90	"admin1_public_schooling"	0	0	0	30	false	false	"innovation.tga"	1
"admin2_national_census"	"sAdmin2_magistrate"	5	90	"admin2_national_census"	0	0	10	0	false	false	"innovation.tga"	1
"admin3_abolition_of_slavery"	"sAdmin3_court_justice"	6	240	"admin3_abolition_of_slavery"	0	0	0	100	false	false	"innovation.tga"	0
"admin3_code_napoleon"	"sAdmin2_magistrate"	6	75	"admin3_code_napoleon"	0	0	0	30	false	false	"innovation.tga"	0
"admin3_metric_system"	"sAdmin3_court_justice"	5	120	"admin3_metric_system"	0	0	20	20	false	false	"innovation.tga"	1
"admin3_trade_unions"	"sAdmin3_court_justice"	4	240	"admin3_trade_unions"	0	0	10	20	false	false	"innovation.tga"	1
"admin4_dialectics"	"sAdmin4_court_appeals"	4	450	"admin4_dialectics"	0	0	0	50	false	false	"innovation.tga"	1
"admin4_semaphore_lines"	"sAdmin4_court_appeals"	6	450	"admin4_semaphore_lines"	10	0	10	0	false	false	"innovation.tga"	0
"admin5_national_propaganda"	"sAdmin5_court_supreme"	2	1400	"admin5_national_propaganda"	20	20	20	20	false	false	"innovation.tga"	0
"admin5_passports"	"sAdmin5_court_supreme"	0	1400	"admin5_passports"	0	0	10	0	false	false	"innovation.tga"	0
"economy1_bottling_canning"	"tFactory1_manufactory"	6	75	"economy1_bottling_canning"	0	0	20	0	false	false	"steam.tga"	0
"economy1_division_of_labour"	"tFactory1_manufactory"	0	75	"economy1_division_of_labour"	0	0	50	20	false	false	"steam.tga"	1
"economy1_land_drainage"	"tFactory1_manufactory"	5	75	"economy1_land_drainage"	0	0	10	0	false	false	"steam.tga"	0
"economy1_poverty_control_laws"	"tFactory1_manufactory"	4	75	"economy1_poverty_control_laws"	0	0	10	0	false	false	"steam.tga"	1
"economy2_joint_stock_company"	"tFactory2_factory"	2	240	"economy2_joint_stock_company"	0	0	50	10	false	false	"steam.tga"	1
"economy2_plateways"	"tFactory2_factory"	3	240	"economy2_plateways"	0	0	20	0	false	false	"steam.tga"	1
"economy2_steam_engine"	"tFactory2_factory"	4	240	"economy2_steam_engine"	0	10	60	0	false	false	"steam.tga"	1
"economy3_interchangeable_parts"	"tFactory3_steam_powered_factory"	5	500	"economy2_interchangeable_parts"	0	0	20	0	false	false	"steam.tga"	0
"economy3_limited_liability_company"	"tFactory3_steam_powered_factory"	2	500	"economy3_limited_liability_company"	0	0	40	0	false	false	"steam.tga"	1
"economy3_screw_propeller"	"tFactory3_steam_powered_factory"	4	500	"economy3_screw_propeller"	0	30	0	0	false	false	"steam.tga"	0
"economy3_steam_locomotive"	"tFactory3_steam_powered_factory"	3	500	"economy3_steam_locomotive"	0	0	50	10	false	false	"steam.tga"	1
"economy3_steam_ship_propulsion"	"tFactory3_steam_powered_factory"	0	500	"economy3_steam_ship_propulsion"	0	30	0	0	false	false	"steam.tga"	0
"economy5_mass_production"	"tFactory2_factory"	5	240	"economy2_mass_production"	0	0	60	0	false	false	"steam.tga"	0
"military1_carronade"	"sArmy1_cantonment"	7	75	"military1_carronades"	0	10	0	0	true	true	"arsenal-2.tga"	0
"military1_conscription"	"sArmy1_cantonment"	0	75	"military1_conscription"	10	0	0	0	true	true	"arsenal-2.tga"	1
"military1_diamond_formation"	"sArmy1_cantonment"	1	75	"military1_diamond_formation"	10	0	0	0	true	true	"arsenal-2.tga"	0
"military1_fire_and_advance"	"sArmy1_cantonment"	2	75	"military1_fire_and_advance"	10	0	0	0	true	true	"arsenal-2.tga"	0
"military1_improved_coppering"	"sArmy1_cantonment"	3	75	"military1_improved_coppering"	0	10	0	0	true	true	"arsenal-2.tga"	0
"military2_army_corps_organisation"	"sArmy2_barracks"	5	120	"military1_army_corps_organisation"	50	0	0	0	true	true	"arsenal-2.tga"	0
"military2_grand_battery"	"sArmy3_drill_school"	6	120	"military2_grand_battery"	20	0	0	0	true	true	"arsenal-2.tga"	1
"military2_logistics"	"sArmy2_barracks"	6	120	"military2_logistics"	30	0	20	0	true	true	"arsenal-2.tga"	1
"military2_mass_mobilisation"	"sArmy2_barracks"	4	120	"military2_mass_mobilisation"	50	0	0	0	true	true	"arsenal-2.tga"	1
"military2_top_gallants"	"sArmy2_barracks"	7	120	"military2_top_gallants"	0	10	0	0	true	true	"arsenal-2.tga"	0
"military3_carcass_shot"	"sArmy3_drill_school"	7	240	"military3_carcass_shot"	20	0	0	0	true	true	"arsenal-2.tga"	0
"military3_conscript_infantry_tactics"	"sArmy3_drill_school"	4	240	"military3_conscript_infantry_tactics"	30	0	0	0	false	false	"arsenal-2.tga"	1
"military3_field_ambulances"	"sArmy3_drill_school"	5	240	"military3_field_ambulances"	40	0	0	0	true	true	"arsenal-2.tga"	0
"military3_standardised_artillery"	"sArmy4_military_academy"	6	450	"military3_standardised_artillery"	40	0	0	0	true	true	"arsenal-2.tga"	0
"military4_general_staff"	"sArmy4_military_academy"	4	450	"military4_general_staff"	40	0	0	0	true	true	"arsenal-2.tga"	1
"military4_modern_rifles"	"sArmy4_military_academy"	5	450	"military4_modern_rifles"	60	0	0	0	true	true	"arsenal-2.tga"	1
"military4_quicklime"	"sArmy4_military_academy"	7	450	"military4_quicklime_shells"	30	0	0	0	true	true	"arsenal-2.tga"	0
"military4_uniform_armament"	"sArmy5_staff_college"	2	1400	"military4_uniform_armament"	0	30	0	0	false	false	"arsenal-2.tga"	0
"military5_iron_plating"	"sArmy5_staff_college"	7	1400	"military5_iron_plating"	0	50	0	0	true	true	"arsenal-2.tga"	0
"military5_percussion_cap"	"sArmy5_staff_college"	5	1400	"military5_percussion_cap"	30	0	0	0	false	false	"arsenal-2.tga"	0
"military5_rifled_cannons"	"sArmy5_staff_college"	6	1400	"military5_rifled_cannon"	30	0	0	0	false	false	"arsenal-2.tga"	0
"military5_rockets"	"sArmy5_staff_college"	4	1400	"military5_rockets"	40	0	0	0	true	true	"arsenal-2.tga"	0
"military1_partisan_muskets"	"sArmy1_cantonment"	6	70	"partisan_muskets"	10	10	0	0	true	true	"arsenal-2.tga"	0
"military2_auxiliary_replenishment"	"sArmy2_barracks"	1	120	"auxiliary_replenish"	20	0	0	0	true	true	"arsenal-2.tga"	0
"military2_guerrilla_training_network"	"sArmy2_barracks"	3	120	"guerilla_network"	20	0	0	0	true	true	"arsenal-2.tga"	0
"military3_auxiliary_discount"	"sArmy3_drill_school"	1	200	"auxiliary_cheaper"	30	0	0	0	true	true	"arsenal-2.tga"	0
"military3_counter_guerrilla_initiatives"	"sArmy3_drill_school"	2	200	"counter_guerillas"	30	0	0	0	true	true	"arsenal-2.tga"	0
"military3_advanced_guerrilla_training"	"sArmy3_drill_school"	3	200	"guerilla_network_advanced"	30	0	0	0	true	true	"arsenal-2.tga"	0
"military4_auxiliary_training"	"sArmy4_military_academy"	1	300	"auxiliary_trained"	40	0	0	0	true	true	"arsenal-2.tga"	0
"military4_local_guides"	"sArmy4_military_academy"	3	300	"local_guides"	40	0	0	0	true	true	"arsenal-2.tga"	0
"military5_great_paris_cipher"	"sArmy5_staff_college"	1	450	"grand_paris_ciphre"	50	50	0	0	true	true	"arsenal-2.tga"	0
"admin2_colonial_funding"	"sAdmin1_tax_office"	0	70	"colonial_funding"	0	0	50	0	false	false	"innovation.tga"	1
"admin2_anti_french_sentiment"	"sAdmin2_magistrate"	0	120	"propaganda"	0	0	10	0	false	false	"innovation.tga"	1
"admin2_afrancesado_propaganda"	"sAdmin2_magistrate"	7	120	"propaganda"	0	0	10	0	false	false	"innovation.tga"	1
"admin3_anti_french_propaganda"	"sAdmin3_court_justice"	0	200	"anti_france"	0	0	10	20	false	false	"innovation.tga"	1
"admin3_bonapartist_propaganda"	"sAdmin3_court_justice"	7	200	"pro_france"	0	0	10	20	false	false	"innovation.tga"	1
"admin4_national_fervour"	"sAdmin4_court_appeals"	0	300	"national_fervor"	0	0	0	50	false	false	"innovation.tga"	1
"admin4_repressive_measures"	"sAdmin4_court_appeals"	7	300	"repessive_measures"	0	0	0	50	false	false	"innovation.tga"	1
"admin5_homeland_recruitment"	"sAdmin4_court_appeals"	5	450	"recruitment_drive"	20	20	20	20	false	false	"innovation.tga"	0
"admin5_supreme_regency"	"sAdmin5_court_supreme"	0	450	"supreme_regency"	20	20	20	20	false	false	"innovation.tga"	0
"admin5_complete_annexation"	"sAdmin5_court_supreme"	7	450	"complete_annexation"	20	20	20	20	false	false	"innovation.tga"	0
"military5_french_cipher_decryption"	"sArmy5_staff_college"	3	450	"paris_ciphre_broken"	50	50	0	0	true	true	"arsenal-2.tga"	0
"admin1_abolition_of_the_inquisition"	"sAdmin1_tax_office"	3	70	"anti_inquisition"	0	0	50	0	false	true	"innovation.tga"	1
