version 1, schema technology_faction_junctions_tables
Tech_IDRef(string)	Faction_IDRef(string)
"admin1_classical_economics"	"austria"
"admin1_classical_economics"	"austrian_rebels"
"admin1_classical_economics"	"bavaria"
"admin1_classical_economics"	"belgium"
"admin1_classical_economics"	"britain"
"admin1_classical_economics"	"british_rebels"
"admin1_classical_economics"	"brittany"
"admin1_classical_economics"	"catalonia"
"admin1_classical_economics"	"cossack_rebels"
"admin1_classical_economics"	"courland"
"admin1_classical_economics"	"crimean_khanate"
"admin1_classical_economics"	"denmark"
"admin1_classical_economics"	"dutch_rebels"
"admin1_classical_economics"	"france"
"admin1_classical_economics"	"french_rebels"
"admin1_classical_economics"	"greece"
"admin1_classical_economics"	"greek_rebels"
"admin1_classical_economics"	"hannover"
"admin1_classical_economics"	"hessen"
"admin1_classical_economics"	"hungary"
"admin1_classical_economics"	"ireland"
"admin1_classical_economics"	"ita_austrian_alliance"
"admin1_classical_economics"	"ita_french_republic"
"admin1_classical_economics"	"ita_genoa"
"admin1_classical_economics"	"ita_lucca"
"admin1_classical_economics"	"ita_milan"
"admin1_classical_economics"	"ita_modena"
"admin1_classical_economics"	"ita_papal_states"
"admin1_classical_economics"	"ita_parma"
"admin1_classical_economics"	"ita_piedmont"
"admin1_classical_economics"	"ita_trent"
"admin1_classical_economics"	"ita_tuscany"
"admin1_classical_economics"	"ita_venice"
"admin1_classical_economics"	"italian_rebels"
"admin1_classical_economics"	"italy"
"admin1_classical_economics"	"italy_kingdom"
"admin1_classical_economics"	"mecklenburg"
"admin1_classical_economics"	"naples"
"admin1_classical_economics"	"netherlands"
"admin1_classical_economics"	"norway"
"admin1_classical_economics"	"oldenburg"
"admin1_classical_economics"	"ottoman_rebels"
"admin1_classical_economics"	"ottomans"
"admin1_classical_economics"	"piedmont_savoy"
"admin1_classical_economics"	"poland_lithuania"
"admin1_classical_economics"	"portugal"
"admin1_classical_economics"	"portugese_rebels"
"admin1_classical_economics"	"prussia"
"admin1_classical_economics"	"prussian_rebels"
"admin1_classical_economics"	"romania"
"admin1_classical_economics"	"russia"
"admin1_classical_economics"	"sardinia"
"admin1_classical_economics"	"saxony"
"admin1_classical_economics"	"scandinavian_rebels"
"admin1_classical_economics"	"scotland"
"admin1_classical_economics"	"sicily"
"admin1_classical_economics"	"slavic_rebels"
"admin1_classical_economics"	"spain"
"admin1_classical_economics"	"spanish_rebels"
"admin1_classical_economics"	"sweden"
"admin1_classical_economics"	"swiss_confederation"
"admin1_classical_economics"	"tut_britain"
"admin1_classical_economics"	"tut_france"
"admin1_classical_economics"	"tut_sardinia"
"admin1_classical_economics"	"tut_swiss_confederation"
"admin1_classical_economics"	"united_netherlands"
"admin1_classical_economics"	"westphalia"
"admin1_classical_economics"	"wurttemberg"
"admin3_abolition_of_slavery"	"austria"
"admin3_abolition_of_slavery"	"austrian_rebels"
"admin3_abolition_of_slavery"	"bavaria"
"admin3_abolition_of_slavery"	"belgium"
"admin3_abolition_of_slavery"	"britain"
"admin3_abolition_of_slavery"	"british_rebels"
"admin3_abolition_of_slavery"	"brittany"
"admin3_abolition_of_slavery"	"catalonia"
"admin3_abolition_of_slavery"	"cossack_rebels"
"admin3_abolition_of_slavery"	"courland"
"admin3_abolition_of_slavery"	"crimean_khanate"
"admin3_abolition_of_slavery"	"denmark"
"admin3_abolition_of_slavery"	"dutch_rebels"
"admin3_abolition_of_slavery"	"france"
"admin3_abolition_of_slavery"	"french_rebels"
"admin3_abolition_of_slavery"	"greece"
"admin3_abolition_of_slavery"	"greek_rebels"
"admin3_abolition_of_slavery"	"hannover"
"admin3_abolition_of_slavery"	"hessen"
"admin3_abolition_of_slavery"	"hungary"
"admin3_abolition_of_slavery"	"ireland"
"admin3_abolition_of_slavery"	"ita_austrian_alliance"
"admin3_abolition_of_slavery"	"ita_french_republic"
"admin3_abolition_of_slavery"	"ita_genoa"
"admin3_abolition_of_slavery"	"ita_lucca"
"admin3_abolition_of_slavery"	"ita_milan"
"admin3_abolition_of_slavery"	"ita_modena"
"admin3_abolition_of_slavery"	"ita_papal_states"
"admin3_abolition_of_slavery"	"ita_parma"
"admin3_abolition_of_slavery"	"ita_piedmont"
"admin3_abolition_of_slavery"	"ita_trent"
"admin3_abolition_of_slavery"	"ita_tuscany"
"admin3_abolition_of_slavery"	"ita_venice"
"admin3_abolition_of_slavery"	"italian_rebels"
"admin3_abolition_of_slavery"	"italy"
"admin3_abolition_of_slavery"	"italy_kingdom"
"admin3_abolition_of_slavery"	"mecklenburg"
"admin3_abolition_of_slavery"	"naples"
"admin3_abolition_of_slavery"	"netherlands"
"admin3_abolition_of_slavery"	"norway"
"admin3_abolition_of_slavery"	"oldenburg"
"admin3_abolition_of_slavery"	"ottoman_rebels"
"admin3_abolition_of_slavery"	"ottomans"
"admin3_abolition_of_slavery"	"piedmont_savoy"
"admin3_abolition_of_slavery"	"poland_lithuania"
"admin3_abolition_of_slavery"	"portugal"
"admin3_abolition_of_slavery"	"portugese_rebels"
"admin3_abolition_of_slavery"	"prussia"
"admin3_abolition_of_slavery"	"prussian_rebels"
"admin3_abolition_of_slavery"	"romania"
"admin3_abolition_of_slavery"	"russia"
"admin3_abolition_of_slavery"	"sardinia"
"admin3_abolition_of_slavery"	"saxony"
"admin3_abolition_of_slavery"	"scandinavian_rebels"
"admin3_abolition_of_slavery"	"scotland"
"admin3_abolition_of_slavery"	"sicily"
"admin3_abolition_of_slavery"	"slavic_rebels"
"admin3_abolition_of_slavery"	"spain"
"admin3_abolition_of_slavery"	"spanish_rebels"
"admin3_abolition_of_slavery"	"sweden"
"admin3_abolition_of_slavery"	"swiss_confederation"
"admin3_abolition_of_slavery"	"tut_britain"
"admin3_abolition_of_slavery"	"tut_france"
"admin3_abolition_of_slavery"	"tut_sardinia"
"admin3_abolition_of_slavery"	"tut_swiss_confederation"
"admin3_abolition_of_slavery"	"united_netherlands"
"admin3_abolition_of_slavery"	"westphalia"
"admin3_abolition_of_slavery"	"wurttemberg"
"admin3_code_napoleon"	"france"
"admin1_abolition_of_the_inquisition"	"spa_france"
"admin3_trade_unions"	"austria"
"admin3_trade_unions"	"austrian_rebels"
"admin3_trade_unions"	"bavaria"
"admin3_trade_unions"	"belgium"
"admin3_trade_unions"	"britain"
"admin3_trade_unions"	"british_rebels"
"admin3_trade_unions"	"brittany"
"admin3_trade_unions"	"catalonia"
"admin3_trade_unions"	"cossack_rebels"
"admin3_trade_unions"	"courland"
"admin3_trade_unions"	"crimean_khanate"
"admin3_trade_unions"	"denmark"
"admin3_trade_unions"	"dutch_rebels"
"admin3_trade_unions"	"france"
"admin3_trade_unions"	"french_rebels"
"admin3_trade_unions"	"greece"
"admin3_trade_unions"	"greek_rebels"
"admin3_trade_unions"	"hannover"
"admin3_trade_unions"	"hessen"
"admin3_trade_unions"	"hungary"
"admin3_trade_unions"	"ireland"
"admin3_trade_unions"	"ita_austrian_alliance"
"admin3_trade_unions"	"ita_french_republic"
"admin3_trade_unions"	"ita_genoa"
"admin3_trade_unions"	"ita_lucca"
"admin3_trade_unions"	"ita_milan"
"admin3_trade_unions"	"ita_modena"
"admin3_trade_unions"	"ita_papal_states"
"admin3_trade_unions"	"ita_parma"
"admin3_trade_unions"	"ita_piedmont"
"admin3_trade_unions"	"ita_trent"
"admin3_trade_unions"	"ita_tuscany"
"admin3_trade_unions"	"ita_venice"
"admin3_trade_unions"	"italian_rebels"
"admin3_trade_unions"	"italy"
"admin3_trade_unions"	"italy_kingdom"
"admin3_trade_unions"	"mecklenburg"
"admin3_trade_unions"	"naples"
"admin3_trade_unions"	"netherlands"
"admin3_trade_unions"	"norway"
"admin3_trade_unions"	"oldenburg"
"admin3_trade_unions"	"ottoman_rebels"
"admin3_trade_unions"	"ottomans"
"admin3_trade_unions"	"piedmont_savoy"
"admin3_trade_unions"	"poland_lithuania"
"admin3_trade_unions"	"portugal"
"admin3_trade_unions"	"portugese_rebels"
"admin3_trade_unions"	"prussia"
"admin3_trade_unions"	"prussian_rebels"
"admin3_trade_unions"	"romania"
"admin3_trade_unions"	"russia"
"admin3_trade_unions"	"sardinia"
"admin3_trade_unions"	"saxony"
"admin3_trade_unions"	"scandinavian_rebels"
"admin3_trade_unions"	"scotland"
"admin3_trade_unions"	"sicily"
"admin3_trade_unions"	"slavic_rebels"
"admin3_trade_unions"	"spain"
"admin3_trade_unions"	"spanish_rebels"
"admin3_trade_unions"	"sweden"
"admin3_trade_unions"	"swiss_confederation"
"admin3_trade_unions"	"tut_britain"
"admin3_trade_unions"	"tut_france"
"admin3_trade_unions"	"tut_sardinia"
"admin3_trade_unions"	"tut_swiss_confederation"
"admin3_trade_unions"	"united_netherlands"
"admin3_trade_unions"	"westphalia"
"admin3_trade_unions"	"wurttemberg"
"admin4_dialectics"	"austria"
"admin4_dialectics"	"austrian_rebels"
"admin4_dialectics"	"bavaria"
"admin4_dialectics"	"belgium"
"admin4_dialectics"	"britain"
"admin4_dialectics"	"british_rebels"
"admin4_dialectics"	"brittany"
"admin4_dialectics"	"catalonia"
"admin4_dialectics"	"cossack_rebels"
"admin4_dialectics"	"courland"
"admin4_dialectics"	"crimean_khanate"
"admin4_dialectics"	"denmark"
"admin4_dialectics"	"dutch_rebels"
"admin4_dialectics"	"france"
"admin4_dialectics"	"french_rebels"
"admin4_dialectics"	"greece"
"admin4_dialectics"	"greek_rebels"
"admin4_dialectics"	"hannover"
"admin4_dialectics"	"hessen"
"admin4_dialectics"	"hungary"
"admin4_dialectics"	"ireland"
"admin4_dialectics"	"ita_austrian_alliance"
"admin4_dialectics"	"ita_french_republic"
"admin4_dialectics"	"ita_genoa"
"admin4_dialectics"	"ita_lucca"
"admin4_dialectics"	"ita_milan"
"admin4_dialectics"	"ita_modena"
"admin4_dialectics"	"ita_papal_states"
"admin4_dialectics"	"ita_parma"
"admin4_dialectics"	"ita_piedmont"
"admin4_dialectics"	"ita_trent"
"admin4_dialectics"	"ita_tuscany"
"admin4_dialectics"	"ita_venice"
"admin4_dialectics"	"italian_rebels"
"admin4_dialectics"	"italy"
"admin4_dialectics"	"italy_kingdom"
"admin4_dialectics"	"mecklenburg"
"admin4_dialectics"	"naples"
"admin4_dialectics"	"netherlands"
"admin4_dialectics"	"norway"
"admin4_dialectics"	"oldenburg"
"admin4_dialectics"	"ottoman_rebels"
"admin4_dialectics"	"ottomans"
"admin4_dialectics"	"piedmont_savoy"
"admin4_dialectics"	"poland_lithuania"
"admin4_dialectics"	"portugal"
"admin4_dialectics"	"portugese_rebels"
"admin4_dialectics"	"prussia"
"admin4_dialectics"	"prussian_rebels"
"admin4_dialectics"	"romania"
"admin4_dialectics"	"russia"
"admin4_dialectics"	"sardinia"
"admin4_dialectics"	"saxony"
"admin4_dialectics"	"scandinavian_rebels"
"admin4_dialectics"	"scotland"
"admin4_dialectics"	"sicily"
"admin4_dialectics"	"slavic_rebels"
"admin4_dialectics"	"spain"
"admin4_dialectics"	"spanish_rebels"
"admin4_dialectics"	"sweden"
"admin4_dialectics"	"swiss_confederation"
"admin4_dialectics"	"tut_britain"
"admin4_dialectics"	"tut_france"
"admin4_dialectics"	"tut_sardinia"
"admin4_dialectics"	"tut_swiss_confederation"
"admin4_dialectics"	"united_netherlands"
"admin4_dialectics"	"westphalia"
"admin4_dialectics"	"wurttemberg"
"admin4_semaphore_lines"	"austria"
