version 1, schema technology_required_technology_junctions_tables
Tech_IDRef(string)	Requirement(string)
"admin2_national_census"	"admin1_national_debt"
"admin3_trade_unions"	"admin1_public_schooling"
"admin4_dialectics"	"admin3_metric_system"
"economy1_poverty_control_laws"	"economy1_division_of_labour"
"economy3_limited_liability_company"	"economy2_joint_stock_company"
"economy3_screw_propeller"	"economy3_steam_ship_propulsion"
"economy3_steam_locomotive"	"economy2_plateways"
"military2_mass_mobilisation"	"admin2_national_census"
"military2_mass_mobilisation"	"military1_conscription"
"military3_conscript_infantry_tactics"	"military2_mass_mobilisation"
"military3_standardised_artillery"	"admin3_metric_system"
"military4_quicklime"	"military3_carcass_shot"
"military4_uniform_armament"	"economy5_mass_production"
"military4_uniform_armament"	"military3_standardised_artillery"
"military5_percussion_cap"	"military4_modern_rifles"
"military5_rifled_cannons"	"military4_uniform_armament"
"military3_advanced_guerrilla_training"	"military2_guerrilla_training_network"
"admin3_anti_french_propaganda"	"admin2_anti_french_sentiment"
"admin3_bonapartist_propaganda"	"admin2_afrancesado_propaganda"
