version 1, schema uniform_to_faction_colours_tables
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(int)	unknown5(int)	unknown6(int)	unknown7(int)	unknown8(int)	unknown9(int)	unknown10(int)	unknown11(int)
"Austria_Art_Fix_Austrian_Rocket_Troop"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Art_Foot_Austrian_12_lber"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Art_Foot_Austrian_6_lber"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Art_Foot_Austrian_7_lber_Howitzer"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Art_Foot_Austrian_Experimental_Howitzer"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Cav_Heavy_Austrian_Cuirassiers"	"austria"	255	255	255	191	28	22	173	173	173
"Austria_Cav_Heavy_Austrian_Dragoons"	"austria"	255	255	255	45	68	104	173	173	173
"Austria_Cav_Lancer_Austrian_Ulans"	"austria"	34	66	36	170	0	0	255	255	255
"Austria_Cav_Light_Austrian_1st_Hussars"	"austria"	38	52	67	38	52	67	38	52	67
"Austria_Cav_Light_Austrian_Hungarian_Hussars"	"austria"	20	85	19	20	85	19	191	28	22
"Austria_Cav_Stand_Austrian_Chevauxlegers"	"austria"	20	85	19	191	28	22	173	173	173
"Austria_Gen_Archduke_Charles"	"austria"	255	255	255	191	28	22	191	28	22
"Austria_Gen_Generals_Staff"	"austria"	255	255	255	191	28	22	191	28	22
"Austria_Gen_Jozsef_Alvinczi"	"austria"	255	255	255	191	28	22	191	28	22
"Austria_Gen_Karl_Schwarzenberg"	"austria"	255	255	255	191	28	22	191	28	22
"Austria_Inf_Gren_Austrian_German_Grenadiers"	"austria"	255	255	255	170	0	0	255	255	255
"Austria_Inf_Gren_Austrian_Hungarian_Grenadiers"	"austria"	255	255	255	85	170	255	57	130	218
"Austria_Inf_Light_Austrian_Grenzers"	"austria"	103	69	27	170	0	68	57	130	218
"Austria_Inf_Line_Austrian_1st_Emperors_Own"	"austria"	255	255	255	170	0	68	255	255	255
"Austria_Inf_Line_Austrian_47th_Czech"	"austria"	255	255	255	20	85	19	255	255	255
"Austria_Inf_Line_Austrian_German_Fusiliers"	"austria"	255	255	255	148	148	148	255	255	255
"Austria_Inf_Line_Austrian_Hungarian_Fusiliers"	"austria"	255	255	255	44	40	100	57	130	218
"Austria_Inf_Militia_Austrian_Landesschutzen"	"austria"	44	68	43	54	54	54	255	255	255
"Austria_Inf_Militia_Austrian_Landwehr"	"austria"	173	173	173	68	163	206	255	255	255
"Austria_Inf_Mob_Armed_Citizenry"	"austria"	170	134	62	191	28	22	255	255	255
"Austria_Inf_Skirm_Austrian_Jager"	"austria"	173	173	173	20	85	19	173	173	173
"Austria_Inf_Skirm_Austrian_Windbucshe_Jager"	"austria"	128	150	191	35	65	35	128	150	191
"Austrian_Alliance_Art_Foot_Austrian_12_lber"	"ita_austrian_alliance"	153	114	51	191	28	22	255	255	255
"Austrian_Alliance_Art_Foot_Austrian_6_lber"	"ita_austrian_alliance"	153	114	51	191	28	22	255	255	255
"Austrian_Alliance_Art_Foot_Austrian_7_lber_Howitzer"	"ita_austrian_alliance"	153	114	51	191	28	22	255	255	255
"Austrian_Alliance_Cav_Heavy_Austrian_Cuirassiers"	"ita_austrian_alliance"	255	255	255	191	28	22	255	255	255
"Austrian_Alliance_Cav_Heavy_Austrian_Dragoons"	"ita_austrian_alliance"	255	255	255	191	28	22	255	255	255
"Austrian_Alliance_Cav_Lancer_Austrian_Ulans"	"ita_austrian_alliance"	16	56	12	191	28	22	255	255	255
"Austrian_Alliance_Cav_Light_Austrian_Hungarian_Hussars"	"ita_austrian_alliance"	90	140	43	90	140	43	191	28	22
"Austrian_Alliance_Cav_Stand_Austrian_Chevauxlegers"	"ita_austrian_alliance"	20	85	19	191	28	22	255	255	255
"Austrian_Alliance_Gen_Generals_Staff"	"ita_austrian_alliance"	255	255	255	209	70	46	209	70	46
"Austrian_Alliance_Gen_Johann_Beaulieu"	"ita_austrian_alliance"	255	255	255	209	70	46	209	70	46
"Austrian_Alliance_Gen_Jozsef_Alvinczi"	"ita_austrian_alliance"	255	255	255	209	70	46	209	70	46
"Austrian_Alliance_Inf_Gren_Austrian_German_Grenadiers"	"ita_austrian_alliance"	255	255	255	110	166	234	255	255	255
"Austrian_Alliance_Inf_Light_Austrian_Grenzers"	"ita_austrian_alliance"	255	255	255	170	0	68	57	130	218
"Austrian_Alliance_Inf_Line_Austrian_German_Fusiliers"	"ita_austrian_alliance"	255	255	255	191	28	22	255	255	255
"Austrian_Alliance_Inf_Militia_Austrian_Landwehr"	"ita_austrian_alliance"	173	173	173	76	125	189	255	255	255
"Austrian_Alliance_Inf_Mob_Armed_Citizenry"	"ita_austrian_alliance"	153	114	51	45	44	84	255	255	255
"Austrian_Alliance_Inf_Skirm_Austrian_Jager"	"ita_austrian_alliance"	156	156	156	16	56	12	156	156	156
"Austrian_Rebels_Art_Foot_12_lber"	"austrian_rebels"	141	107	49	191	28	22	255	255	255
"Austrian_Rebels_Art_Foot_7_lber_Howitzer"	"austrian_rebels"	141	107	49	191	28	22	255	255	255
"Austrian_Rebels_Art_Horse_6_lber"	"austrian_rebels"	141	107	49	191	28	22	255	255	255
"Austrian_Rebels_Cav_Heavy_Dragoons"	"austrian_rebels"	255	255	255	170	0	68	162	162	162
"Austrian_Rebels_Cav_Lancer_Lancers"	"austrian_rebels"	16	56	12	191	28	22	191	28	22
"Austrian_Rebels_Cav_Light_Hussars"	"austrian_rebels"	76	125	189	76	125	189	173	173	173
"Austrian_Rebels_Cav_Stand_Chevauxlegers"	"austrian_rebels"	20	85	19	49	65	100	162	162	162
"Austrian_Rebels_Gen_Generals_Staff"	"austrian_rebels"	255	255	255	191	28	22	255	255	255
"Austrian_Rebels_Inf_Gren_Grenadiers"	"austrian_rebels"	255	255	255	45	44	84	255	255	255
"Austrian_Rebels_Inf_Light_Light_Infantry"	"austrian_rebels"	255	255	255	191	28	22	255	255	255
