version 1, schema unit_class_tables
Class_ID(string)	Display_Text(string)
"artillery_fixed"	"Fixed Artillery"
"artillery_foot"	"Artillery"
"artillery_horse"	"Horse Artillery"
"cavalry_camels"	"Camel Cavalry"
"cavalry_heavy"	"Heavy Cavalry"
"cavalry_irregular"	"Irregular Cavalry"
"cavalry_lancers"	"Lancer Cavalry"
"cavalry_light"	"Light Cavalry"
"cavalry_missile"	"Missile Cavalry"
"cavalry_standard"	"Cavalry"
"dragoons"	"Mounted Infantry"
"elephants"	"Elephants"
"general"	"General"
"infantry_berserker"	"Berserker Infantry"
"infantry_elite"	"Elite Infantry"
"infantry_grenadiers"	"Grenadiers"
"infantry_irregulars"	"Irregulars"
"infantry_light"	"Light Infantry"
"infantry_line"	"Line Infantry"
"infantry_melee"	"Melee Infantry"
"infantry_militia"	"Militia"
"infantry_mob"	"Mob"
"infantry_skirmishers"	"Skirmishers"
"naval_admiral"	"Admiral"
"naval_bomb_ketch"	"Bomb Ketch"
"naval_brig"	"Brig"
"naval_dhow"	"Dhow"
"naval_fifth_rate"	"5th Rate"
"naval_first_rate"	"1st Rate"
"naval_fourth_rate"	"4th Rate"
"naval_galleon"	"Galleon"
"naval_heavy_galley"	"Heavy Galley"
"naval_indiaman"	"Indiaman"
"naval_light_galley"	"Light Galley"
"naval_lugger"	"Lugger"
"naval_medium_galley"	"Medium Galley"
"naval_over_first_rate"	"Over 1st Rate"
"naval_razee"	"Razee"
"naval_rocket_ship"	"Rocket Ship"
"naval_second_rate"	"2nd Rate"
"naval_sixth_rate"	"6th Rate"
"naval_sloop"	"Sloop"
"naval_steam_ship"	"Steam Ship"
"naval_third_rate"	"3rd Rate"
"naval_xebec"	"Xebec"
