version 1, schema unit_experience_thresholds_tables
Experience_Threshold(string)	Value(int)
"xp1_land_casualties"	350
"xp1_land_kills"	150
"xp1_naval_casualties"	600
"xp1_naval_kills"	100
"xp2_land_casualties"	650
"xp2_land_kills"	400
"xp2_naval_casualties"	1200
"xp2_naval_kills"	300
"xp3_land_casualties"	1050
"xp3_land_kills"	1100
"xp3_naval_casualties"	2500
"xp3_naval_kills"	600
"xp4_land_kills"	1700
"xp4_naval_kills"	1000
"xp5_land_kills"	2400
"xp5_naval_kills"	1500
"xp6_land_kills"	3100
"xp6_naval_kills"	2100
