version 1, schema units_to_groupings_military_permissions_tables
Unit_IDRef(string)	Military_x0020_Group(string)
"2_Decker_50"	"cossack_rebels"
"2_Decker_50"	"euro_group"
"2_Decker_50"	"sweden_denmark_group"
"2_Decker_64"	"austrian_rebels"
"2_Decker_64"	"cossack_rebels"
"2_Decker_64"	"euro_group"
"2_Decker_64"	"portuguese_group"
"2_Decker_64"	"sweden_denmark_group"
"2_Decker_74"	"austrian_rebels"
"2_Decker_74"	"euro_group"
"2_Decker_74"	"portuguese_group"
"2_Decker_74"	"sweden_denmark_group"
"2_Decker_80"	"sweden_denmark_group"
"2_Decker_British_50_4th_Rate"	"british_rebels"
"2_Decker_British_64_3rd_Rate"	"british_rebels"
"2_Decker_British_74_3rd_Rate"	"british_rebels"
"2_Decker_Dutch_50"	"united_provinces_group"
"2_Decker_Dutch_64"	"united_provinces_group"
"2_Decker_Dutch_74"	"united_provinces_group"
"3_Decker_86"	"portuguese_group"
"Art_Foot_12_lber"	"austrian_rebels"
"Art_Foot_12_lber"	"cossack_rebels"
"Art_Foot_12_lber"	"french_rebels"
"Art_Foot_12_lber"	"italian_campaign_group"
"Art_Foot_12_lber"	"prussian_rebels"
"Art_Foot_12_lber"	"spanish_rebels"
"Art_Foot_6_lber"	"austrian_rebels"
"Art_Foot_6_lber"	"british_rebels"
"Art_Foot_6_lber"	"cossack_rebels"
"Art_Foot_6_lber"	"french_rebels"
"Art_Foot_6_lber"	"italian_campaign_group"
"Art_Foot_6_lber"	"prussian_rebels"
"Art_Foot_6_lber"	"spanish_rebels"
"Art_Foot_7_lber_Howitzer"	"austrian_rebels"
"Art_Foot_7_lber_Howitzer"	"british_rebels"
"Art_Foot_7_lber_Howitzer"	"cossack_rebels"
"Art_Foot_7_lber_Howitzer"	"french_rebels"
"Art_Foot_7_lber_Howitzer"	"italian_campaign_group"
"Art_Foot_7_lber_Howitzer"	"prussian_rebels"
"Art_Foot_7_lber_Howitzer"	"spanish_rebels"
"Art_Foot_Ottoman_9_lber"	"ottoman_rebels"
"Art_Horse_6_lber"	"austrian_rebels"
"Art_Horse_6_lber"	"british_rebels"
"Art_Horse_6_lber"	"cossack_rebels"
"Art_Horse_6_lber"	"french_rebels"
"Art_Horse_6_lber"	"prussian_rebels"
