version 1, schema agent_attribute_situations_tables
Situation(string)	Attribute(string)
"Command_Land_Ambushes"	"command_land"
"Command_Land_Artillery_Troops"	"command_land"
"Command_Land_Attack"	"command_land"
"Command_Land_Cavalry_Troops"	"command_land"
"Command_Land_Command_Amphibious_Attack"	"command_land"
"Command_Land_Defence"	"command_land"
"Command_Land_In_Americas"	"command_land"
"Command_Land_In_India"	"command_land"
"Command_Land_Infantry_Troops"	"command_land"
"Command_Land_Siege_Attack"	"command_land"
"Command_Land_Siege_Defence"	"command_land"
"Command_Sea_Attack"	"command_sea"
"Command_Sea_Defence"	"command_sea"
"Movement_Points_Land_Artillery"	"movement_points_land"
"Movement_Points_Land_Cavalry"	"movement_points_land"
"Movement_Points_Land_Infantry"	"movement_points_land"
