version 1, schema ancillaries_tables
Ancillary_ID(string)	Ancillary_Type_IDRef(string)	applies_to(string)	transferrable(boolean)	unique_to_world(boolean)	unique_to_faction(boolean)	precedence(int)	Start_Date(int)	End_Date(int)
"Anc_Fake_Native_Chief"	"north_american_indian"	"character"	false	false	false	6	1700	1900
"Anc_Mistress_Captive_Wife_1"	"matronly_woman"	"character"	false	false	false	6	1700	1900
"Anc_Mistress_Captive_Wife_2"	"gorgeous_floozy"	"character"	false	false	false	6	1700	1900
"Anc_Slave_Escaped"	"freed_slave_male"	"character"	false	false	false	6	1700	1900
"Anc_Slave_Escaped_Girl"	"freed_slave_female"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Combat_Tranny"	"north_american_indian"	"character"	false	false	true	6	1700	1900
"Anc_Tribal_Contrary"	"north_american_indian"	"character"	false	false	true	6	1700	1900
"Anc_Tribal_Euro_Cap_Woman"	"matronly_woman"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Euro_Captive"	"wealthy_merchant"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Euro_Turncoat"	"grizzly_adams"	"character"	false	false	false	0	1700	1900
"Anc_Tribal_Headdress"	"war_bonnet"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Horse"	"pony"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Medicine_Bag"	"medicine_pouch"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Peace_Pipe"	"peace_pipe"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Stick"	"coup_stick"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Trade_Fur"	"grizzly_adams"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Trade_Gentleman"	"youth"	"character"	false	false	true	6	1700	1900
"Anc_Tribal_Trade_Gold"	"grizzly_adams"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Trade_Guns"	"grizzly_adams"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Trade_Missionary"	"bishop"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_Turncoat_Native"	"north_american_indian"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_War_Axe"	"tomahawk"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_War_Lance"	"battle_lance"	"character"	false	false	false	6	1700	1900
"Anc_Tribal_War_Rifle"	"hunting_rifle"	"character"	false	false	false	6	1700	1900
"Ancillary_African_Servant"	"black_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Air_Loom_Operator"	"inventor"	"character"	true	false	true	7	1700	1900
"Ancillary_Amazing_Wine_Cellar"	"professional_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Amusing_Cad"	"florid_nobleman"	"character"	false	false	true	6	1700	1900
"Ancillary_Army_ADC"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Aide_Nephew"	"inbred_relative"	"character"	false	false	true	6	1700	1900
"Ancillary_Army_Cleric"	"ratfaced_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Drillmaster"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_European_Turncoat"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Exploring_Officer"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Galloper"	"hussar_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Hagiographer"	"clerk_type_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Loyal_Sowar"	"indian_in_turban"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Merc_Artilleryman"	"army_officer"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Merc_Cavalryman"	"sergeant"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Merc_Infantryman"	"hussar_officer"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Military_Artist"	"army_officer"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Military_Surveyor"	"army_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Ottoman_Turncoat"	"turk_with_turban"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Pox_Doctor"	"professional_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Army_Quartermaster"	"clerk_type_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Surgeon"	"professional_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Army_Tribal_Shaman"	"north_american_indian"	"character"	false	false	true	6	1700	1900
"Ancillary_Army_Waggonmaster"	"thuggish_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Artillery_Expert"	"army_officer"	"character"	true	false	false	7	1700	1900
"Ancillary_Assassin_Thug"	"thuggish_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Barber"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Blood_Brother"	"north_american_indian"	"character"	false	false	true	6	1700	1900
"Ancillary_Bodysnatcher"	"thuggish_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Boxer"	"thuggish_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Duelling_Hidalgo_Fop"	"florid_nobleman"	"character"	true	false	false	6	1700	1900
"Ancillary_Duelling_Minx"	"gorgeous_floozy"	"character"	true	false	true	6	1700	1900
"Ancillary_Duelling_Pistols"	"duelling_pistols"	"character"	false	false	false	6	1700	1900
"Ancillary_Duelling_Pistols_Manton"	"duelling_pistols"	"character"	false	false	true	6	1700	1900
"Ancillary_European_Captive_Ferang"	"turk_with_turban"	"character"	true	false	true	6	1700	1900
"Ancillary_Foodtaster"	"turk_with_turban_nobeard"	"character"	false	false	false	6	1700	1900
"Ancillary_Garden_Hermit"	"loony"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Architect"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Comptroller"	"clerk_type_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Controller"	"clerk_type_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Crimper"	"wealthy_merchant"	"character"	true	false	true	0	1700	1900
"Ancillary_Government_Cypher"	"clerk_type_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Executioner_Nasty"	"thuggish_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Guardian"	"thuggish_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Government_Secret_Policeman"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Secretary_Efficient"	"professional_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Government_Secretary_Gobby"	"clerk_type_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Government_Spymaster"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Thieftaker"	"thuggish_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Government_Vampire_Hunter"	"masked_figure"	"character"	false	false	true	6	1700	1900
"Ancillary_Government_Wrestler"	"thuggish_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Great_Composer"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Grizzly_Adams"	"grizzly_adams"	"character"	true	false	false	6	1700	1900
"Ancillary_Historian"	"clerk_type_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Inventive_Genius_Astronomer"	"inventor"	"character"	true	false	true	6	1700	1900
"Ancillary_Inventive_Genius_Loony"	"inventor"	"character"	true	false	true	6	1700	1900
"Ancillary_Inventive_Genius_Mill_Worker"	"inventor"	"character"	true	false	true	6	1700	1900
"Ancillary_Justice_Witness"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Landscape_Gardener"	"inventor"	"character"	false	false	true	6	1700	1900
"Ancillary_Madman"	"loony"	"character"	true	false	true	6	1700	1900
"Ancillary_Master_of_Lunacy"	"ratfaced_servant"	"character"	true	false	true	6	1700	1900
"Ancillary_Merchant_Corn_Factor"	"wealthy_merchant"	"character"	true	false	true	6	1700	1900
"Ancillary_Military_Riding_Master"	"hussar_officer"	"character"	false	true	true	6	1700	1900
"Ancillary_Mistress_Actress"	"gorgeous_floozy"	"character"	true	false	true	6	1700	1900
"Ancillary_Mistress_Circassian"	"gorgeous_floozy"	"character"	false	false	true	6	1700	1900
"Ancillary_Mistress_Common_Floozy"	"gorgeous_floozy"	"character"	false	false	false	6	1700	1900
"Ancillary_Mistress_Gorgeous"	"gorgeous_floozy"	"character"	true	false	false	6	1700	1900
"Ancillary_Mistress_Molly"	"comedy_transvestite"	"character"	false	false	false	6	1700	1900
"Ancillary_Mistress_Noble"	"gorgeous_floozy"	"character"	false	false	true	6	1700	1900
"Ancillary_Mistress_Spycatcher_Lady"	"gorgeous_floozy"	"character"	true	false	true	9	1700	1900
"Ancillary_Mistress_Spymistress"	"gorgeous_floozy"	"character"	false	false	true	6	1700	1900
"Ancillary_Mystic_Mysterious"	"bedouin"	"character"	true	false	true	6	1700	1900
"Ancillary_Mystic_Useful"	"bedouin"	"character"	true	false	true	6	1700	1900
"Ancillary_Navy_Cleric"	"professional_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Navy_Flag_Lieutenant"	"naval_officer"	"character"	true	false	false	6	1700	1900
"Ancillary_Navy_Merc_Sea_Captain"	"naval_officer"	"character"	true	false	true	6	1700	1900
"Ancillary_Navy_Naval_Architect"	"wealthy_merchant"	"character"	true	false	true	6	1700	1900
"Ancillary_Navy_Naval_Surveryor"	"naval_officer"	"character"	true	false	true	6	1700	1900
"Ancillary_Navy_Prize_Agent_Good"	"wealthy_merchant"	"character"	true	false	true	6	1700	1900
"Ancillary_Navy_Purser"	"sailor"	"character"	false	false	false	6	1700	1900
"Ancillary_Navy_Sailing_Master"	"sailor"	"character"	true	false	false	6	1700	1900
"Ancillary_Navy_Surgeon"	"inventor"	"character"	true	false	false	6	1700	1900
"Ancillary_Navy_Watch"	"pocketwatch"	"character"	false	false	false	6	1700	1900
"Ancillary_Numismatist"	"craftsman"	"character"	true	false	true	6	1700	1900
"Ancillary_Outstanding_Choirmaster"	"professional_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Pamphleteer_Government"	"clerk_type_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Pamphleteer_Radical"	"clerk_type_servant"	"character"	false	false	false	6	1700	1900
"Ancillary_Personal_Physician"	"professional_servant"	"character"	true	false	false	6	1700	1900
"Ancillary_Pet_Monkey"	"monkey"	"character"	true	false	true	6	1700	1900
"Ancillary_Pet_Sacred_Cow"	"cow"	"character"	true	false	true	6	1700	1900
"Ancillary_Pet_Tiger"	"tiger"	"character"	false	true	true	6	1700	1900
"Ancillary_Poet"	"florid_nobleman"	"character"	false	false	true	6	1700	1900
"Ancillary_Police_Torturer"	"thuggish_servant"	"character"	false	false	true	6	1700	1900
"Ancillary_Presentation_Sword_1"	"sword"	"character"	false	false	false	6	1700	1900
"Ancillary_Presentation_Sword_2"	"sword"	"character"	false	false	false	6	1700	1900
