version 1, schema ancillary_included_subcultures_tables
Ancillary_IDRef(string)	Subculture(string)
"Ancillary_African_Servant"	"sc_european_america"
"Ancillary_African_Servant"	"sc_european_east"
"Ancillary_African_Servant"	"sc_european_north"
"Ancillary_African_Servant"	"sc_european_south"
"Ancillary_African_Servant"	"sc_european_west"
"Ancillary_Air_Loom_Operator"	"sc_european_america"
"Ancillary_Air_Loom_Operator"	"sc_european_east"
"Ancillary_Air_Loom_Operator"	"sc_european_north"
"Ancillary_Air_Loom_Operator"	"sc_european_south"
"Ancillary_Air_Loom_Operator"	"sc_european_west"
"Ancillary_Amazing_Wine_Cellar"	"sc_european_america"
"Ancillary_Amazing_Wine_Cellar"	"sc_european_east"
"Ancillary_Amazing_Wine_Cellar"	"sc_european_north"
"Ancillary_Amazing_Wine_Cellar"	"sc_european_south"
"Ancillary_Amazing_Wine_Cellar"	"sc_european_west"
"Ancillary_Amusing_Cad"	"sc_european_america"
"Ancillary_Amusing_Cad"	"sc_european_east"
"Ancillary_Amusing_Cad"	"sc_european_north"
"Ancillary_Amusing_Cad"	"sc_european_south"
"Ancillary_Amusing_Cad"	"sc_european_west"
"Ancillary_Amusing_Cad"	"sc_indian_hindu"
"Ancillary_Amusing_Cad"	"sc_indian_islamic"
"Ancillary_Amusing_Cad"	"sc_indian_sikh"
"Ancillary_Amusing_Cad"	"sc_mideast_islamic"
"Ancillary_Army_ADC"	"sc_european_america"
"Ancillary_Army_ADC"	"sc_european_east"
"Ancillary_Army_ADC"	"sc_european_north"
"Ancillary_Army_ADC"	"sc_european_south"
"Ancillary_Army_ADC"	"sc_european_west"
"Ancillary_Army_Aide_Nephew"	"sc_european_america"
"Ancillary_Army_Aide_Nephew"	"sc_european_east"
"Ancillary_Army_Aide_Nephew"	"sc_european_north"
"Ancillary_Army_Aide_Nephew"	"sc_european_south"
"Ancillary_Army_Aide_Nephew"	"sc_european_west"
"Ancillary_Army_Aide_Nephew"	"sc_indian_hindu"
"Ancillary_Army_Aide_Nephew"	"sc_indian_islamic"
"Ancillary_Army_Aide_Nephew"	"sc_indian_sikh"
"Ancillary_Army_Aide_Nephew"	"sc_mideast_islamic"
"Ancillary_Army_Cleric"	"sc_european_america"
"Ancillary_Army_Cleric"	"sc_european_east"
"Ancillary_Army_Cleric"	"sc_european_north"
"Ancillary_Army_Cleric"	"sc_european_south"
"Ancillary_Army_Cleric"	"sc_european_west"
"Ancillary_Army_Drillmaster"	"sc_european_america"
"Ancillary_Army_Drillmaster"	"sc_european_east"
"Ancillary_Army_Drillmaster"	"sc_european_north"
"Ancillary_Army_Drillmaster"	"sc_european_south"
"Ancillary_Army_Drillmaster"	"sc_european_west"
"Ancillary_Army_European_Turncoat"	"sc_indian_hindu"
"Ancillary_Army_European_Turncoat"	"sc_indian_islamic"
"Ancillary_Army_European_Turncoat"	"sc_indian_sikh"
"Ancillary_Army_European_Turncoat"	"sc_mideast_islamic"
"Ancillary_Army_Exploring_Officer"	"sc_european_america"
"Ancillary_Army_Exploring_Officer"	"sc_european_east"
"Ancillary_Army_Exploring_Officer"	"sc_european_north"
"Ancillary_Army_Exploring_Officer"	"sc_european_south"
"Ancillary_Army_Exploring_Officer"	"sc_european_west"
"Ancillary_Army_Galloper"	"sc_european_america"
"Ancillary_Army_Galloper"	"sc_european_east"
"Ancillary_Army_Galloper"	"sc_european_north"
"Ancillary_Army_Galloper"	"sc_european_south"
"Ancillary_Army_Galloper"	"sc_european_west"
