version 1, schema ancillary_to_excluded_ancillaries_tables
Ancillary_IDRef1(string)	Ancillary_IDRef2(string)
"Ancillary_Army_Merc_Artilleryman"	"Ancillary_Army_Merc_Cavalryman"
"Ancillary_Army_Merc_Cavalryman"	"Ancillary_Army_Merc_Artilleryman"
"Ancillary_Army_Quartermaster"	"Ancillary_Army_Waggonmaster"
"Ancillary_Army_Waggonmaster"	"Ancillary_Army_Quartermaster"
"Ancillary_Government_Spymaster"	"Ancillary_Mistress_Spymistress"
"Ancillary_Government_Vampire_Hunter"	"Ancillary_Military_Riding_Master"
"Ancillary_Inventive_Genius_Loony"	"Ancillary_Inventive_Genius_Astronomer"
"Ancillary_Military_Riding_Master"	"Ancillary_Government_Vampire_Hunter"
"Ancillary_Mistress_Actress"	"Ancillary_Religion_Bishop"
"Ancillary_Mistress_Common_Floozy"	"Ancillary_Mistress_Gorgeous"
"Ancillary_Mistress_Common_Floozy"	"Ancillary_Mistress_Molly"
"Ancillary_Mistress_Gorgeous"	"Ancillary_Mistress_Common_Floozy"
"Ancillary_Mistress_Gorgeous"	"Ancillary_Mistress_Molly"
"Ancillary_Mistress_Gorgeous"	"Ancillary_Mistress_Noble"
"Ancillary_Mistress_Molly"	"Ancillary_Mistress_Common_Floozy"
"Ancillary_Mistress_Molly"	"Ancillary_Mistress_Gorgeous"
"Ancillary_Mistress_Molly"	"Ancillary_Mistress_Noble"
"Ancillary_Mistress_Noble"	"Ancillary_Mistress_Gorgeous"
"Ancillary_Mistress_Noble"	"Ancillary_Mistress_Molly"
"Ancillary_Mistress_Spycatcher_Lady"	"Ancillary_Mistress_Common_Floozy"
"Ancillary_Mistress_Spycatcher_Lady"	"Ancillary_Mistress_Gorgeous"
"Ancillary_Mistress_Spycatcher_Lady"	"Ancillary_Mistress_Molly"
"Ancillary_Mistress_Spycatcher_Lady"	"Ancillary_Mistress_Noble"
"Ancillary_Mistress_Spymistress"	"Ancillary_Government_Spymaster"
"Ancillary_Mistress_Spymistress"	"Ancillary_Mistress_Common_Floozy"
"Ancillary_Mistress_Spymistress"	"Ancillary_Mistress_Gorgeous"
"Ancillary_Mistress_Spymistress"	"Ancillary_Mistress_Molly"
"Ancillary_Mystic_Mysterious"	"Ancillary_Mystic_Useful"
"Ancillary_Mystic_Useful"	"Ancillary_Mystic_Mysterious"
"Ancillary_Navy_Sailing_Master"	"Ancillary_Navy_Watch"
"Ancillary_Navy_Watch"	"Ancillary_Navy_Sailing_Master"
"Ancilllary_Dead_Parrot_Pirate"	"Ancilllary_Pet_Parrot_Ordinary"
"Ancilllary_Dead_Parrot_Pirate"	"Ancilllary_Pet_Parrot_Pirate"
"Ancilllary_Pet_Parrot_Nasty"	"Ancilllary_Pet_Parrot_Ordinary"
"Ancilllary_Pet_Parrot_Nasty"	"Ancilllary_Pet_Parrot_Pirate"
"Ancilllary_Pet_Parrot_Ordinary"	"Ancilllary_Pet_Parrot_Nasty"
"Ancilllary_Pet_Parrot_Ordinary"	"Ancilllary_Pet_Parrot_Pirate"
"Ancilllary_Pet_Parrot_Pirate"	"Ancilllary_Pet_Parrot_Nasty"
"Ancilllary_Pet_Parrot_Pirate"	"Ancilllary_Pet_Parrot_Ordinary"
"Anc_Mistress_Captive_Wife_1"	"Anc_Tribal_Euro_Cap_Woman"
"Anc_Mistress_Captive_Wife_2"	"Anc_Tribal_Euro_Cap_Woman"
"Anc_Slave_Escaped"	"Anc_Slave_Escaped_Girl"
"Anc_Slave_Escaped_Girl"	"Anc_Slave_Escaped"
"Anc_Tribal_Combat_Tranny"	"Anc_Tribal_Contrary"
"Anc_Tribal_Contrary"	"Anc_Tribal_Combat_Tranny"
"Anc_Tribal_Euro_Cap_Woman"	"Anc_Mistress_Captive_Wife_1"
"Anc_Tribal_Euro_Cap_Woman"	"Anc_Mistress_Captive_Wife_2"
"Anc_Tribal_War_Axe"	"Anc_Tribal_War_Lance"
"Anc_Tribal_War_Lance"	"Anc_Tribal_War_Axe"
