version 1, schema ancillary_to_included_agents_tables
Ancillary_IDRef(string)	Agent_IDRef(string)
"Ancillary_African_Servant"	"minister"
"Ancillary_Air_Loom_Operator"	"rake"
"Ancillary_Amazing_Wine_Cellar"	"minister"
"Ancillary_Amusing_Cad"	"minister"
"Ancillary_Army_ADC"	"General"
"Ancillary_Army_Aide_Nephew"	"General"
"Ancillary_Army_Cleric"	"General"
"Ancillary_Army_Drillmaster"	"General"
"Ancillary_Army_European_Turncoat"	"General"
"Ancillary_Army_Exploring_Officer"	"General"
"Ancillary_Army_Galloper"	"General"
"Ancillary_Army_Hagiographer"	"General"
"Ancillary_Army_Loyal_Sowar"	"General"
"Ancillary_Army_Merc_Artilleryman"	"General"
"Ancillary_Army_Merc_Cavalryman"	"General"
"Ancillary_Army_Merc_Infantryman"	"General"
"Ancillary_Army_Military_Artist"	"General"
"Ancillary_Army_Military_Surveyor"	"General"
"Ancillary_Army_Ottoman_Turncoat"	"General"
"Ancillary_Army_Pox_Doctor"	"General"
"Ancillary_Army_Quartermaster"	"General"
"Ancillary_Army_Surgeon"	"General"
"Ancillary_Army_Tribal_Shaman"	"General"
"Ancillary_Army_Waggonmaster"	"General"
"Ancillary_Artillery_Expert"	"General"
"Ancillary_Assassin_Thug"	"assassin"
"Ancillary_Assassin_Thug"	"rake"
"Ancillary_Barber"	"General"
"Ancillary_Blood_Brother"	"General"
"Ancillary_Bodysnatcher"	"gentleman"
"Ancillary_Boxer"	"General"
"Ancillary_Duelling_Hidalgo_Fop"	"gentleman"
"Ancillary_Duelling_Hidalgo_Fop"	"rake"
"Ancillary_Duelling_Minx"	"gentleman"
"Ancillary_Duelling_Minx"	"rake"
"Ancillary_Duelling_Pistols"	"gentleman"
"Ancillary_Duelling_Pistols"	"rake"
"Ancillary_Duelling_Pistols_Manton"	"gentleman"
"Ancillary_Duelling_Pistols_Manton"	"rake"
"Ancillary_European_Captive_Ferang"	"admiral"
"Ancillary_European_Captive_Ferang"	"General"
"Ancillary_Foodtaster"	"minister"
"Ancillary_Garden_Hermit"	"minister"
"Ancillary_Government_Architect"	"minister"
"Ancillary_Government_Comptroller"	"minister"
"Ancillary_Government_Controller"	"minister"
"Ancillary_Government_Crimper"	"minister"
"Ancillary_Government_Cypher"	"rake"
"Ancillary_Government_Executioner_Nasty"	"minister"
"Ancillary_Government_Guardian"	"minister"
"Ancillary_Government_Secret_Policeman"	"minister"
"Ancillary_Government_Secretary_Efficient"	"minister"
"Ancillary_Government_Secretary_Gobby"	"minister"
"Ancillary_Government_Spymaster"	"minister"
"Ancillary_Government_Thieftaker"	"minister"
"Ancillary_Government_Vampire_Hunter"	"minister"
"Ancillary_Government_Wrestler"	"minister"
"Ancillary_Great_Composer"	"minister"
"Ancillary_Grizzly_Adams"	"General"
"Ancillary_Historian"	"minister"
"Ancillary_Inventive_Genius_Astronomer"	"gentleman"
"Ancillary_Inventive_Genius_Loony"	"gentleman"
"Ancillary_Inventive_Genius_Mill_Worker"	"gentleman"
"Ancillary_Justice_Witness"	"minister"
"Ancillary_Landscape_Gardener"	"minister"
"Ancillary_Madman"	"gentleman"
"Ancillary_Master_of_Lunacy"	"minister"
"Ancillary_Merchant_Corn_Factor"	"minister"
"Ancillary_Military_Riding_Master"	"minister"
"Ancillary_Mistress_Actress"	"admiral"
"Ancillary_Mistress_Actress"	"General"
"Ancillary_Mistress_Circassian"	"minister"
"Ancillary_Mistress_Common_Floozy"	"minister"
"Ancillary_Mistress_Gorgeous"	"minister"
"Ancillary_Mistress_Molly"	"minister"
"Ancillary_Mistress_Noble"	"minister"
"Ancillary_Mistress_Spycatcher_Lady"	"minister"
"Ancillary_Mistress_Spymistress"	"minister"
"Ancillary_Mystic_Mysterious"	"General"
"Ancillary_Mystic_Useful"	"indian_missionary"
"Ancillary_Mystic_Useful"	"middle_east_missionary"
"Ancillary_Navy_Cleric"	"admiral"
"Ancillary_Navy_Flag_Lieutenant"	"admiral"
"Ancillary_Navy_Merc_Sea_Captain"	"admiral"
"Ancillary_Navy_Naval_Architect"	"minister"
"Ancillary_Navy_Naval_Surveryor"	"minister"
"Ancillary_Navy_Prize_Agent_Good"	"admiral"
"Ancillary_Navy_Purser"	"admiral"
"Ancillary_Navy_Sailing_Master"	"admiral"
"Ancillary_Navy_Surgeon"	"admiral"
"Ancillary_Navy_Watch"	"admiral"
"Ancillary_Numismatist"	"minister"
"Ancillary_Outstanding_Choirmaster"	"minister"
"Ancillary_Pamphleteer_Government"	"minister"
"Ancillary_Pamphleteer_Radical"	"rake"
"Ancillary_Personal_Physician"	"General"
"Ancillary_Pet_Monkey"	"assassin"
"Ancillary_Pet_Monkey"	"rake"
"Ancillary_Pet_Sacred_Cow"	"minister"
"Ancillary_Pet_Tiger"	"minister"
"Ancillary_Poet"	"minister"
"Ancillary_Police_Torturer"	"minister"
"Ancillary_Presentation_Sword_1"	"General"
"Ancillary_Presentation_Sword_2"	"admiral"
"Ancillary_Rake_Bawd"	"rake"
"Ancillary_Rake_Professional_Second"	"gentleman"
"Ancillary_Rake_Professional_Second"	"rake"
"Ancillary_Religion_Bishop"	"minister"
"Ancillary_Religion_Imam_Learned"	"minister"
"Ancillary_Religion_Methodist"	"minister"
"Ancillary_Research_Librarian"	"Eastern_Scholar"
"Ancillary_Research_Librarian"	"gentleman"
"Ancillary_Research_Lunatic_Jack"	"gentleman"
"Ancillary_Research_Taxonomist"	"gentleman"
"Ancillary_Tax_Farmer"	"minister"
"Ancillary_Wife_Ambitious"	"minister"
"Ancillary_Wife_Unpleasant"	"minister"
"Ancilllary_Dead_Parrot_Pirate"	"admiral"
"Ancilllary_Pet_Parrot_Nasty"	"admiral"
"Ancilllary_Pet_Parrot_Ordinary"	"admiral"
"Ancilllary_Pet_Parrot_Pirate"	"admiral"
"Government_Spying_Locksmith"	"minister"
"Anc_Fake_Native_Chief"	"minister"
"Anc_Mistress_Captive_Wife_1"	"minister"
"Anc_Mistress_Captive_Wife_2"	"minister"
"Anc_Slave_Escaped"	"General"
"Anc_Slave_Escaped_Girl"	"General"
"Anc_Tribal_Combat_Tranny"	"General"
"Anc_Tribal_Contrary"	"General"
"Anc_Tribal_Euro_Cap_Woman"	"General"
"Anc_Tribal_Euro_Captive"	"minister"
"Anc_Tribal_Euro_Turncoat"	"General"
"Anc_Tribal_Headdress"	"General"
"Anc_Tribal_Horse"	"General"
"Anc_Tribal_Medicine_Bag"	"General"
"Anc_Tribal_Peace_Pipe"	"minister"
"Anc_Tribal_Stick"	"General"
"Anc_Tribal_Trade_Fur"	"minister"
