version 1, schema battle_personalities_tables
Battle_x0020_Personality_x0020_ID(string)	soldier_model(string)	man_animations_table(string)	equipment_theme(string)	type(string)
"african_citizenry_officer"	"armed_citizenry_africa"	"personality_officer"	"x_sword_pistol_only"	"officer"
"african_musketeers_officer"	"african_slaver_musketeers"	"personality_officer"	"x_sword_pistol_only"	"officer"
"african_spear_officer"	"african_tribal"	"personality_officer"	"x_sword_pistol_only"	"officer"
"african_standard_bearer"	"euro_african_infantry"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"cossack_bugler"	"cossack_cavalry"	"personality_bugler"	"euro_drummer"	"bugler"
"cossack_drummer"	"cossack_cavalry"	"personality_drummer"	"euro_drummer"	"drummer"
"cossack_officer"	"cossack_cavalry"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"cossack_standard_bearer"	"cossack_cavalry"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"east_armed_citizenry_officer"	"east_ethnic_peasants_fodder"	"personality_officer"	"x_east_sword_pistol"	"officer"
"east_desert_standard_bearer"	"east_desert_nomads"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"east_hillmen_officer"	"east_ethnic_hillmen_musketeers"	"personality_officer"	"x_sword_pistol_only"	"officer"
"east_hillmen_officer_afghan"	"east_ethnic_hillmen_musketeers_afghan"	"personality_officer"	"x_sword_pistol_only"	"officer"
"eastern_bugler"	"eastern_musician1"	"personality_bugler"	"east_bugler"	"bugler"
"eastern_camel_officer"	"eastern_officer1"	"personality_camel_officer"	"x_east_cavalry_sabre"	"officer"
"eastern_cavalry_officer_lance"	"eastern_officer1"	"personality_officer"	"x_east_cavalry_sabre"	"officer"
"eastern_drummer_common"	"east_artillerymen"	"personality_drummer"	"east_drummer"	"drummer"
"eastern_drummer1"	"eastern_musician1"	"personality_drummer"	"east_drummer"	"drummer"
"eastern_drummer2"	"eastern_musician1"	"personality_drummer"	"east_drummer"	"drummer"
"eastern_elephant_officer_lance"	"eastern_officer1"	"personality_elephant_officer"	"x_india_cavalry_pistol_lance"	"officer"
"eastern_elephant_officer_musket_lance"	"eastern_officer1"	"personality_elephant_officer"	"x_india_cavalry_pistol_lance"	"officer"
"eastern_flutist_common"	"east_artillerymen"	"personality_officer"	"euro_flutist"	"flutist"
"eastern_flutist1"	"eastern_musician1"	"personality_flutist"	"euro_flutist"	"flutist"
"eastern_flutist2"	"eastern_musician1"	"personality_flutist"	"euro_flutist"	"flutist"
"eastern_general"	"eastern_officer1"	"personality_elephant_officer"	"x_india_cavalry_pistol_lance"	"officer"
"eastern_naval_officer"	"eastern_officer1"	"personality_officer"	"euro_naval_captain"	"naval_officer"
"eastern_officer"	"eastern_officer1"	"personality_officer"	"x_east_sword_pistol"	"officer"
"eastern_officer_common"	"east_artillerymen"	"personality_officer"	"x_east_sword_pistol"	"officer"
"eastern_sikh_drummer"	"eastern_musician1"	"personality_drummer"	"east_drummer"	"drummer"
"eastern_sikh_officer"	"eastern_officer1"	"personality_officer"	"x_east_sword_pistol"	"officer"
"eastern_sikh_standard_bearer"	"east_sikh_infantry_musketeers"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"eastern_standard_bearer_common"	"east_artillerymen"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"episodic_general_washington_old"	"episodic_Washington"	"personality_officer"	"euro_officer"	"officer"
"episodic_general_washington_young"	"episodic_Washington_Young"	"personality_officer"	"euro_officer"	"officer"
"episodic_john_smith"	"Episodic_John_Smith"	"personality_officer"	"euro_officer"	"officer"
"episodic_mounted_native_officer"	"Episodic_American_Chief"	"personality_officer"	"x_natam_cavalry_axe"	"officer"
"episodic_officer"	"episodic_officer"	"personality_officer"	"euro_officer"	"officer"
"episodic_settler_officer"	"episodic_militia"	"personality_officer"	"euro_officer"	"officer"
"episodic_settler_standard_bearer"	"episodic_militia"	"personality_standard_bearer"	"euro_standard_bearer"	"standard_bearer"
"episodic_wahunsonacock"	"Episodic_American_Chief"	"man_pitchfork"	"x_pr_custom_spear_only"	"officer"
"episodic_washington_old_infantry"	"episodic_Washington"	"personality_officer"	"euro_officer"	"officer"
"euro_armed_citizenry_officer"	"armed_citizenry_europe"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"euro_bicorne_officer"	"euro_officer_bicorne"	"personality_officer"	"x_euro_sword_pistol"	"officer"
"euro_bugler"	"euro_musician1"	"personality_bugler"	"euro_bugler"	"bugler"
"euro_drummer1"	"euro_musician1"	"personality_drummer"	"euro_drummer"	"drummer"
