version 1, schema battle_script_strings_tables
Battle_Script_String_ID(string)	string(string)
"CreativeAssembly.BT_Rich_advance"	"This is a good opportunity to advance your army. Select a line infantry unit."
"CreativeAssembly.BT_Rich_British_Forces"	"In this tutorial you will take control of the British forces."
"CreativeAssembly.BT_Rich_Broken_Shattered_Morale"	"While enemy troops with broken morale can return to the fray once their resolve recovers, the will of these Spanish troops has been shattered. Leave them to flee for their lives."
"CreativeAssembly.BT_Rich_camera_raising"	"Whilst you are shelling the enemy, practice raising and lowering the camera by rolling the middle mouse button. Alternatively, you can use the Z or X keys."
"CreativeAssembly.BT_Rich_enemy_unit_routing"	"You have successfully routed an enemy unit. If you rout all enemy units from the battlefield you will be victorious."
"CreativeAssembly.BT_Rich_Farmhouse_Attack"	"The Spanish have taken cover in the Farmhouse. Select your cannon and right-click on the building to shell the enemy."
"CreativeAssembly.BT_Rich_Farmhouse_Attack_2"	"Select an infantry unit and right-click on the building to instruct your men to assault and flush out the garrisoned enemy."
"CreativeAssembly.BT_Rich_fire_at_will"	"Now left-click on the fire at will button on the review panel at the bottom right of the screen."
"CreativeAssembly.BT_Rich_fire_at_will2"	"This unit will now automatically fire at enemy units within range of their muskets. Left-clicking this button again will cancel the order. Units are set to fire at will by default."
"CreativeAssembly.BT_Rich_first_wave_routed"	"Well done. You have successfully routed the first wave of enemy units."
"CreativeAssembly.BT_Rich_General_Final_Push"	"Your General has joined your ranks for the final push."
"CreativeAssembly.BT_Rich_General_Help"	"Use your General’s unit to help see off what remains of the Spanish forces."
"CreativeAssembly.BT_Rich_General_In_Waiting"	"Your General will join the battle in due course but for now, we will leave him to survey your progress."
"CreativeAssembly.BT_Rich_General_Protect"	"Use him wisely and keep him protected, his presence in battle will strengthen the morale of nearby units"
"CreativeAssembly.BT_Rich_intro"	"Welcome to the Battle Tutorial. Here you will learn the basics of commanding your armies on the battlefield. You are controlling the British army. Camped in and around this farm are your Spanish enemies. Your task is to rout the Spanish army from the battlefield."
"CreativeAssembly.BT_Rich_keep_charge"	"Your infantry will now charge into melee. This is a very effective way of routing enemy troops that are already low on morale."
"CreativeAssembly.BT_Rich_keep_cover"	"A second wave of enemy is approaching. Keep your units behind this cover to give them an advantage over the enemy."
"CreativeAssembly.BT_Rich_keep_melee"	"You have seriously depleted the Spanish numbers. Select one of your infantry units and click on the melee attack button."
"CreativeAssembly.BT_Rich_kill_other_unit"	"Mouse over the remaining enemy unit and right-click to attack."
"CreativeAssembly.BT_Rich_line_infantry"	"Please select a line infantry unit"
"CreativeAssembly.BT_Rich_melee_attack"	"Now mouse over an enemy unit and right-click to engeage it in melee. You can double-click to charge into melee."
"CreativeAssembly.BT_Rich_morale"	"Keep up the pressure by firing your cannons at the enemy Militia. As they take damage their morale will be reduced and eventually cause them to rout."
"CreativeAssembly.BT_Rich_moving_units"	"Now right-click on the location indicated to order your unit to march there."
"CreativeAssembly.BT_Rich_next_cover"	"Another Spanish attack is imminent! Move your other other infantry unit to cover."
"CreativeAssembly.BT_Rich_next_melee_attack"	"You have seriously depleted the Spanish numbers. Click on the melee attack button in the unit panel."
"CreativeAssembly.BT_Rich_next_melee_attack2"	"Now mouse over an enemy unit and right-click to engage in melee. You can double-click to charge."
"CreativeAssembly.BT_Rich_Outgunned"	"The Spanish are outgunned and have suffered heavy losses. They are routing from the field."
"CreativeAssembly.BT_Rich_pan_on_select"	"Select a Line Infantry unit by left-clicking on the unit or left-clicking the unit card on the review panel at the bottom of the screen. You can double-click here to automatically pan the camera behind the unit."
"CreativeAssembly.BT_Rich_Remain_In_Melee"	"These men will remain in melee mode whilst the button is selected. Click it again to disable melee mode and have your men fire on the enemy when next ordered to attack."
"CreativeAssembly.BT_Rich_rest_of_army"	"This is the rest of your army."
"CreativeAssembly.BT_Rich_right_click_attack"	"Now move your cursor over an enemy unit, and right-click your mouse to order your Cannons to attack."
"CreativeAssembly.BT_Rich_right_click_drag"	"If you right-click and drag at your chosen destination, you can determine the depth and orientation that the troops in the unit will form up in when they reach the destination."
"CreativeAssembly.BT_Rich_rotating_camera"	"You can rotate the camera by clicking and holding the middle mouse button. Alternatively you can use the Q and E keys. Try this now."
"CreativeAssembly.BT_Rich_rout_enemy_army"	"Use the commands you have just learnt to rout the rest of the Spanish army!"
"CreativeAssembly.BT_Rich_Routine_Patrol"	"A routine patrol have stumbled upon a pocket of Spanish troops camped out in an abandoned farm."
"CreativeAssembly.BT_Rich_select_unit"	"Let's start by selecting your Cannons. Left click on the Cannons with your mouse."
"CreativeAssembly.BT_Rich_select_unit2"	"Alternatively, you can select a unit by clicking on its unit card on the review panel."
"CreativeAssembly.BT_Rich_strafing_camera"	"You can use the W and S keys to move the camera backwards and forwards, and the A and D keys to strafe left and right."
"CreativeAssembly.BT_Rich_Take_Control_Of_Cannon"	"First, let’s take control of the British cannons"
"CreativeAssembly.BT_Rich_Troops_Being_Used"	"You’ve been given two units of infantry and a powerful cannon to see off this threat."
"CreativeAssembly.BT_Rich_units_run"	"To increase the speed of your unit's movement click the run button on the review panel or double right-click when issuing a movement command."
"CreativeAssembly.BT_Rich_well_done"	"Well done."
"CreativeAssembly.Bunker_Hill_1"	"The War for Independence has begun and the fate of the city of Boston lies in the balance. Your men are entrenched on Bunker Hill with the British preparing to mount a determined assault. You must hold the hill and drive off the British at all costs."
"CreativeAssembly.Bunker_Hill_2"	"Your artillery are key to the outcome of the battle and will likely come under severe pressure from the British Army. Use them wisely."
"CreativeAssembly.Bunker_Hill_3"	"Expect the British to mount a full frontal assault for the hill but watch out for a flank attack from cavalry and light infantry. Use the terrain and buildings to your advantage and Boston will surely be ours."
"CreativeAssembly.Indian_battle_1"	"Steady!"
"CreativeAssembly.Indian_battle_10"	"On the right!"
"CreativeAssembly.Indian_battle_11"	"They're charging again!"
"CreativeAssembly.Indian_battle_12"	"Support the right!"
"CreativeAssembly.Indian_battle_13"	"Clear them from the hill!"
"CreativeAssembly.Indian_battle_14"	"Stay behind cover, men!"
"CreativeAssembly.Indian_battle_15"	"Ready yourselves men!"
"CreativeAssembly.Indian_battle_16"	"Prepare for the next wave"
"CreativeAssembly.Indian_battle_17"	"We're being outflanked by cavalry! Guard the rear!"
"CreativeAssembly.Indian_battle_18"	"Watch our right flank! Light infantry are approaching from the forest!"
"CreativeAssembly.Indian_battle_19"	"Clear the buildings!"
"CreativeAssembly.Indian_battle_2"	"Steady men!"
"CreativeAssembly.Indian_battle_20"	"Let's rout the British scum!"
