version 1, schema battle_terrain_farms_tables
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)	unknown7(string)	unknown8(string)	unknown9(string)	unknown10(string)	unknown11(string)	unknown12(optstring)	unknown13(string)	unknown14(string)	unknown15(string)
"American"	"BattleTerrain/farm_templates/tile_templates/American.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/American_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/American_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/American_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/American_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/American_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/American_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/American_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/American_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/American_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1a"	"BattleTerrain/walls/textures/Wall_Stone02"	"wall_end_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Bunker_Hill"	"BattleTerrain/farm_templates/tile_templates/Bunker_Hill.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Bunker_Hill_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/Bunker_Hill_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/Bunker_Hill_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/Bunker_Hill_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/Bunker_Hill_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/Bunker_Hill_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/Bunker_Hill_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/Bunker_Hill_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/Bunker_Hill_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1"	"BattleTerrain/walls/textures/Wall_Stone02"	"wall_end_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"EU_East"	"BattleTerrain/farm_templates/tile_templates/EU_East.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/EU_East_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_East_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_East_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_East_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_East_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_East_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_East_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_East_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_East_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1"	"BattleTerrain/walls/textures/Wall_EU_East"	"Wall_EU_East_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"EU_North"	"BattleTerrain/farm_templates/tile_templates/EU_North.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/EU_North_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_North_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_North_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_North_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_North_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_North_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_North_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_North_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_North_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1"	"BattleTerrain/walls/textures/Wall_EU_North"	"Wall_EU_North_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"EU_South"	"BattleTerrain/farm_templates/tile_templates/EU_South.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/EU_South_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_South_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_South_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_South_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_South_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_South_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_South_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_South_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_South_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1"	"BattleTerrain/walls/textures/Wall_EU_South"	"Wall_EU_South_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"EU_West"	"BattleTerrain/farm_templates/tile_templates/EU_West.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/EU_West_blend_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_West_blend_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/blend_map_templates/EU_West_blend_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_West_colour_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_West_colour_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/colour_map_templates/EU_West_colour_road.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_West_grass_field.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_West_grass_building.farm_fields_tile_texture"	"BattleTerrain/farm_templates/grass_map_templates/EU_West_grass_road.farm_fields_tile_texture"	"BattleTerrain/tiled_maps/farm_underlay1a"	"BattleTerrain/walls/textures/Wall_EU_West"	"Wall_EU_West_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Euro_Wooden"	"BattleTerrain/farm_templates/tile_templates/Fort_Euro_Wooden.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Euro_Wooden_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Euro_Wooden_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Euro_Wooden_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Euro_Wooden_Arid"	"BattleTerrain/farm_templates/tile_templates/Fort_Euro_Wooden.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Euro_Wooden_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Euro_Wooden_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Euro_Wooden_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Euro_Wooden_Desert"	"BattleTerrain/farm_templates/tile_templates/Fort_Euro_Wooden.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Euro_Wooden_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Euro_Wooden_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Euro_Wooden_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Euro_Wooden_Tundra"	"BattleTerrain/farm_templates/tile_templates/Fort_Euro_Wooden.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Euro_Wooden_blend_field.farm_template_tile"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Euro_Wooden_Tundra.farm_template_tile"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Euro_Wooden_grass_field.farm_template_tile"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian"	"BattleTerrain/farm_templates/tile_templates/Fort_Indian.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Indian_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Indian_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Indian_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Arid"	"BattleTerrain/farm_templates/tile_templates/Fort_Indian.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Indian_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Indian_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Indian_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Desert"	"BattleTerrain/farm_templates/tile_templates/Fort_Indian.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Indian_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Indian_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Indian_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Small"	"BattleTerrain/farm_templates/tile_templates/fort_indian_small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/fort_indian_small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/fort_indian_small_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/fort_indian_small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Small_Arid"	"BattleTerrain/farm_templates/tile_templates/fort_indian_small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/fort_indian_small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/fort_indian_small_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/fort_indian_small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Small_desert"	"BattleTerrain/farm_templates/tile_templates/fort_indian_small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/fort_indian_small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/fort_indian_small_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/fort_indian_small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Small_Tundra"	"BattleTerrain/farm_templates/tile_templates/fort_indian_small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/fort_indian_small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/fort_indian_small_Tundra_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/fort_indian_small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Indian_Tundra"	"BattleTerrain/farm_templates/tile_templates/Fort_Indian.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Indian_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Indian_Tundra_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Indian_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Arid"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Desert"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Small"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman_Small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_Small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Small_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_Small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Small_Arid"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman_Small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_Small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Small_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_Small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Small_Desert"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman_Small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_Small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Small_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_Small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Small_Tundra"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman_Small.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_Small_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Small_Tundra_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_Small_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Ottoman_Tundra"	"BattleTerrain/farm_templates/tile_templates/Fort_Ottoman.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Ottoman_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Ottoman_Tundra_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Ottoman_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Star"	"BattleTerrain/farm_templates/tile_templates/Fort_Star.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Star_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Star_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Star_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Star_Arid"	"BattleTerrain/farm_templates/tile_templates/Fort_Star.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Star_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Star_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Star_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Star_Desert"	"BattleTerrain/farm_templates/tile_templates/Fort_Star.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Star_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Star_Arid_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Star_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Star_Tundra"	"BattleTerrain/farm_templates/tile_templates/Fort_Star.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Star_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Star_Tundra_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Star_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
"Fort_Town"	"BattleTerrain/farm_templates/tile_templates/Fort_Town.farm_template_tile"	"BattleTerrain/farm_templates/blend_map_templates/Fort_Town_blend_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/colour_map_templates/Fort_Town_colour_field.farm_fields_tile_texture"	""	""	"BattleTerrain/farm_templates/grass_map_templates/Fort_Town_grass_field.farm_fields_tile_texture"	""	""	nil	"BattleTerrain/walls/textures/Wall_Asia"	"Wall_Asia_End_piece01_destruct01"	"BattleTerrain/walls/Wall01_XS.rigid_spline"
