version 1, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)
"american_bridge_basic"	"bridge"	"american_bridge_basic"	"wood"	150	nil	nil
"american_bridge_refined"	"bridge"	"american_bridge_refined"	"wood"	250	nil	nil
"american_church"	"church"	"american_church"	"wood"	500	nil	nil
"american_fence"	"house"	"american_fence"	"wood"	15	nil	"terrain_shear"
"american_fenceend"	"house"	"american_fenceend"	"wood"	15	nil	"terrain_shear"
"american_gaet"	"house"	"american_gaet"	"wood"	15	nil	"terrain_shear"
"american_house01"	"house"	"american_house01"	"wood"	200	nil	nil
"american_house01b"	"house"	"american_house01b"	"wood"	200	nil	nil
"american_house02"	"house"	"american_house02"	"wood"	200	nil	nil
"american_house02b"	"house"	"american_house02b"	"wood"	200	nil	nil
"american_house03"	"house"	"american_house03"	"wood"	200	nil	nil
"american_house03b"	"house"	"american_house03b"	"wood"	200	nil	nil
"american_house04"	"house"	"american_house04"	"wood"	150	nil	nil
"american_house04b"	"house"	"american_house04b"	"wood"	150	nil	nil
"american_house05"	"house"	"american_house05"	"brick"	300	nil	nil
"american_house05b"	"house"	"american_house05b"	"brick"	300	nil	nil
"american_house06"	"house"	"american_house06"	"wood"	300	nil	nil
"american_house06b"	"house"	"american_house06b"	"wood"	300	nil	nil
"american_monument"	"incidental"	"american_monument"	"stone"	100	nil	nil
"american_ruin01"	"ruins"	"american_ruin01"	"stone"	500	nil	nil
"american_rural01"	"house"	"american_rural01"	"wood"	150	nil	nil
"american_rural01b"	"house"	"american_rural01b"	"wood"	150	nil	nil
"american_rural02"	"house"	"american_rural02"	"wood"	150	nil	nil
"american_rural02b"	"house"	"american_rural02b"	"wood"	150	nil	nil
"american_rural03"	"house"	"american_rural03"	"wood"	150	nil	nil
"american_rural03b"	"house"	"american_rural03b"	"wood"	150	nil	nil
"american_stile"	"house"	"american_stile"	"wood"	15	nil	"terrain_shear"
"american_townhall"	"townhall"	"american_townhall"	"wood"	600	nil	nil
"american_warehouse"	"warehouse"	"american_warehouse"	"wood"	500	nil	nil
"boulder_collection_1"	"boulder"	"boulder_collection_1"	"stone"	15	nil	nil
"boulder_collection_2"	"boulder"	"boulder_collection_2"	"stone"	15	nil	nil
"boulder_collection_3"	"boulder"	"boulder_collection_3"	"stone"	15	nil	nil
"boulder_collection_4"	"boulder"	"boulder_collection_4"	"stone"	15	nil	nil
"boulder_collection_5"	"boulder"	"boulder_collection_5"	"stone"	15	nil	nil
"boulder_collection_6"	"boulder"	"boulder_collection_6"	"stone"	15	nil	nil
"boulder_collection_small_1"	"boulder"	"boulder_collection_small_1"	"stone"	15	nil	nil
"boulder_collection_small_2"	"boulder"	"boulder_collection_small_2"	"stone"	15	nil	nil
"boulder_collection_small_3"	"boulder"	"boulder_collection_small_3"	"stone"	15	nil	nil
"boulder_collection_small_4"	"boulder"	"boulder_collection_small_4"	"stone"	15	nil	nil
"boulder_collection_small_5"	"boulder"	"boulder_collection_small_5"	"stone"	15	nil	nil
"boulder_collection_small_6"	"boulder"	"boulder_collection_small_6"	"stone"	15	nil	nil
"east_euro_church"	"church"	"east_euro_church"	"brick"	600	nil	nil
"east_euro_farmhouse"	"farmhouse"	"east_euro_farmhouse"	"wood"	350	nil	nil
"east_euro_house01"	"house"	"east_euro_house01"	"brick"	150	nil	nil
"east_euro_house01b"	"house"	"east_euro_house01b"	"brick"	150	nil	nil
"east_euro_house02"	"house"	"east_euro_house02"	"brick"	150	nil	nil
"east_euro_house02b"	"house"	"east_euro_house02b"	"brick"	150	nil	nil
"east_euro_house03"	"house"	"east_euro_house03"	"brick"	150	nil	nil
"east_euro_house03b"	"house"	"east_euro_house03b"	"brick"	150	nil	nil
"east_euro_house04"	"house"	"east_euro_house04"	"brick"	150	nil	nil
"east_euro_house04b"	"house"	"east_euro_house04b"	"brick"	150	nil	nil
"east_euro_house05"	"house"	"east_euro_house05"	"brick"	150	nil	nil
"east_euro_house05b"	"house"	"east_euro_house05b"	"brick"	150	nil	nil
"east_euro_house06"	"house"	"east_euro_house06"	"brick"	150	nil	nil
"east_euro_house06b"	"house"	"east_euro_house06b"	"brick"	150	nil	nil
"east_euro_house07"	"house"	"east_euro_house07"	"brick"	150	nil	nil
"east_euro_house07b"	"house"	"east_euro_house07b"	"brick"	150	nil	nil
"east_euro_house08"	"house"	"east_euro_house08"	"brick"	150	nil	nil
"east_euro_house08b"	"house"	"east_euro_house08b"	"brick"	150	nil	nil
"east_euro_house09"	"house"	"east_euro_house09"	"brick"	150	nil	nil
"east_euro_house09b"	"house"	"east_euro_house09b"	"brick"	150	nil	nil
"east_euro_hut01"	"house"	"east_euro_hut01"	"wood"	150	nil	nil
"east_euro_hut02"	"house"	"east_euro_hut02"	"wood"	150	nil	nil
"east_euro_hut03"	"house"	"east_euro_hut03"	"wood"	150	nil	nil
"east_euro_hut04"	"house"	"east_euro_hut04"	"wood"	150	nil	nil
"east_euro_hut05"	"house"	"east_euro_hut05"	"wood"	150	nil	nil
"east_euro_monument"	"incidental"	"east_euro_monument"	"stone"	500	nil	nil
"east_euro_ruins"	"ruins"	"east_euro_ruins"	"stone"	500	nil	nil
"east_euro_rural01"	"house"	"east_euro_rural01"	"wood"	150	nil	nil
"east_euro_rural02"	"house"	"east_euro_rural02"	"wood"	150	nil	nil
"east_euro_rural03"	"house"	"east_euro_rural03"	"wood"	150	nil	nil
"east_euro_stone_bridge"	"bridge"	"east_euro_stone_bridge"	"stone"	500	nil	nil
"east_euro_townhall"	"townhall"	"east_euro_townhall"	"brick"	600	nil	nil
"east_euro_windmill"	"windmill"	"east_euro_windmill"	"wood"	150	nil	nil
"euro_stone_armoury01"	"armoury"	"euro_stone_armoury01"	"stone"	800	nil	nil
"euro_stone_armoury02"	"house"	"euro_stone_armoury02"	"stone"	600	nil	nil
"euro_stone_barracks"	"barracks"	"euro_stone_barracks"	"stone"	700	nil	nil
"euro_stone_command_hq"	"command_HQ"	"euro_stone_command_hq"	"stone"	800	nil	nil
"european_warehouse01"	"house"	"european_warehouse01"	"stone"	600	nil	nil
"european_warehouse02"	"warehouse"	"european_warehouse02"	"brick"	600	nil	nil
"european_warehouse03"	"warehouse"	"european_warehouse03"	"brick"	600	nil	nil
"european_warehouse04"	"warehouse"	"european_warehouse04"	"brick"	600	nil	nil
"fmv_cross2"	"house"	"fmv_cross2"	"stone"	15	nil	nil
"fmv_cross3"	"house"	"fmv_cross3"	"stone"	15	nil	nil
"fmv_cross4"	"house"	"fmv_cross4"	"stone"	15	nil	nil
"fmv_mayflower"	"house"	"fmv_mayflower"	"stone"	15	nil	nil
"fmv_rowboat"	"house"	"fmv_rowboat"	"stone"	15	nil	nil
"fmv_thirdrate"	"house"	"fmv_thirdrate"	"stone"	15	nil	nil
"fort_euro_wooden"	"fort"	"fort_euro_wooden"	"wood"	1000	"fort_12_pounder"	nil
"fort_indian"	"fort"	"fort_indian"	"stone"	900	"fort_32_pounder"	nil
"fort_indian_small"	"fort"	"fort_indian_small"	"stone"	900	"fort_24_pounder"	nil
"fort_jamestown"	"fort"	"fort_jamestown"	"wood"	800	"fort_12_pounder"	nil
"fort_ottoman"	"fort"	"fort_ottoman"	"stone"	1200	"fort_32_pounder"	nil
"fort_ottoman_small"	"fort"	"fort_ottoman_small"	"stone"	1200	"fort_32_pounder"	nil
"fort_star"	"fort"	"fort_star"	"stone"	1700	"fort_32_pounder"	nil
"fort_stockade"	"fort"	"fort_stockade"	"wood"	1000	"fort_12_pounder"	nil
"fort_town"	"fort"	"fort_town"	"stone"	1200	"fort_24_pounder"	nil
"indian_church"	"church"	"indian_church"	"stone"	800	nil	nil
"indian_farmhouse"	"farmhouse"	"indian_farmhouse"	"stone"	350	nil	nil
"indian_fort_armoury"	"armoury"	"indian_fort_armoury"	"stone"	600	nil	nil
"indian_fort_barracks"	"barracks"	"indian_fort_barracks"	"stone"	300	nil	nil
"indian_fort_command_hq"	"command_HQ"	"indian_fort_command_hq"	"stone"	800	nil	nil
"indian_house01"	"house"	"indian_house01"	"stone"	300	nil	nil
"indian_house01b"	"house"	"indian_house01b"	"stone"	300	nil	nil
"indian_house02"	"house"	"indian_house02"	"stone"	300	nil	nil
"indian_house02b"	"house"	"indian_house02b"	"stone"	300	nil	nil
"indian_house03"	"house"	"indian_house03"	"stone"	300	nil	nil
"indian_house03b"	"house"	"indian_house03b"	"stone"	300	nil	nil
"indian_house04"	"house"	"indian_house04"	"stone"	300	nil	nil
"indian_house04b"	"house"	"indian_house04b"	"stone"	300	nil	nil
"indian_house05"	"house"	"indian_house05"	"stone"	300	nil	nil
"indian_house05b"	"house"	"indian_house05b"	"stone"	300	nil	nil
"indian_house06"	"house"	"indian_house06"	"stone"	300	nil	nil
"indian_house06b"	"house"	"indian_house06b"	"stone"	300	nil	nil
"indian_house07"	"house"	"indian_house07"	"stone"	300	nil	nil
"indian_hut01"	"hut"	"indian_hut01"	"stone"	150	nil	nil
"indian_hut02"	"hut"	"indian_hut02"	"stone"	150	nil	nil
"indian_hut03"	"hut"	"indian_hut03"	"stone"	150	nil	nil
"indian_hut04"	"hut"	"indian_hut04"	"stone"	150	nil	nil
"indian_hut05"	"hut"	"indian_hut05"	"stone"	150	nil	nil
"indian_large_fort_armoury01"	"armoury"	"indian_large_fort_armoury01"	"stone"	600	nil	nil
"indian_large_fort_armoury02"	"armoury"	"indian_large_fort_armoury02"	"stone"	600	nil	nil
"indian_large_fort_hq"	"house"	"indian_large_fort_hq"	"stone"	150	nil	nil
"indian_ruins"	"ruins"	"indian_ruins"	"stone"	500	nil	nil
"indian_rural01"	"rural"	"indian_rural01"	"stone"	200	nil	nil
"indian_rural02"	"rural"	"indian_rural02"	"stone"	200	nil	nil
"indian_rural03"	"rural"	"indian_rural03"	"stone"	200	nil	nil
"indian_stone_bridge"	"bridge"	"indian_stone_bridge"	"stone"	500	nil	nil
"indian_town_hall"	"townhall"	"indian_town_hall"	"stone"	600	nil	nil
"indian_warehouse01"	"warehouse"	"indian_warehouse01"	"stone"	600	nil	nil
"indian_warehouse01b"	"warehouse"	"indian_warehouse01b"	"stone"	600	nil	nil
"indian_warehouse02"	"house"	"indian_warehouse02"	"stone"	150	nil	nil
"jamestown_church"	"church"	"jamestown_church"	"wood"	500	nil	nil
"jamestown_house01"	"house"	"jamestown_house01"	"wood"	150	nil	nil
"jamestown_house02"	"house"	"jamestown_house02"	"wood"	150	nil	nil
"jamestown_townhall"	"townhall"	"jamestown_townhall"	"wood"	300	nil	nil
"native_house01"	"house"	"native_house01"	"wood"	150	nil	nil
"native_house02"	"house"	"native_house02"	"wood"	15	nil	nil
"native_house02b"	"house"	"native_house02b"	"wood"	15	nil	nil
"native_house03"	"house"	"native_house03"	"wood"	150	nil	nil
"native_house03b"	"house"	"native_house03b"	"wood"	150	nil	nil
"native_house04"	"house"	"native_house04"	"wood"	150	nil	nil
"native_house05"	"house"	"native_house05"	"wood"	150	nil	nil
"native_house06"	"house"	"native_house06"	"wood"	150	nil	nil
"native_house07"	"house"	"native_house07"	"wood"	150	nil	nil
"native_house08"	"house"	"native_house08"	"wood"	150	nil	nil
"native_house09"	"house"	"native_house09"	"wood"	150	nil	nil
"native_house10"	"house"	"native_house10"	"wood"	150	nil	nil
"native_longhouse01"	"house"	"native_longhouse01"	"wood"	150	nil	nil
"native_longhouse02"	"house"	"native_longhouse02"	"wood"	150	nil	nil
"native_longhouse03"	"house"	"native_longhouse03"	"wood"	150	nil	nil
"native_teepee01"	"house"	"native_teepee01"	"wood"	150	nil	nil
"native_teepee02"	"house"	"native_teepee02"	"wood"	150	nil	nil
"native_townhall"	"house"	"native_townhall"	"wood"	30	nil	nil
"north_euro_church"	"church"	"north_euro_church"	"brick"	500	nil	nil
"north_euro_church02"	"church"	"north_euro_church02"	"brick"	500	nil	nil
"north_euro_clock_tower"	"house"	"north_euro_clock_tower"	"brick"	300	nil	nil
"north_euro_house01"	"house"	"north_euro_house01"	"brick"	150	nil	nil
"north_euro_house01b"	"house"	"north_euro_house01b"	"brick"	150	nil	nil
"north_euro_house02"	"house"	"north_euro_house02"	"brick"	150	nil	nil
"north_euro_house02b"	"house"	"north_euro_house02b"	"brick"	150	nil	nil
"north_euro_house03"	"house"	"north_euro_house03"	"brick"	150	nil	nil
"north_euro_house03b"	"house"	"north_euro_house03b"	"brick"	150	nil	nil
"north_euro_house04"	"house"	"north_euro_house04"	"brick"	150	nil	nil
"north_euro_house04b"	"house"	"north_euro_house04b"	"brick"	150	nil	nil
"north_euro_house05"	"house"	"north_euro_house05"	"brick"	150	nil	nil
"north_euro_house05b"	"house"	"north_euro_house05b"	"brick"	150	nil	nil
"north_euro_house06"	"house"	"north_euro_house06"	"stone"	150	nil	nil
"north_euro_house06b"	"house"	"north_euro_house06b"	"stone"	150	nil	nil
"north_euro_house07"	"house"	"north_euro_house07"	"brick"	300	nil	nil
"north_euro_house07a"	"house"	"north_euro_house07a"	"brick"	300	nil	nil
"north_euro_house07b"	"house"	"north_euro_house07b"	"brick"	300	nil	nil
"north_euro_house08"	"house"	"north_euro_house08"	"brick"	300	nil	nil
"north_euro_house08a"	"house"	"north_euro_house08a"	"brick"	300	nil	nil
"north_euro_house08b"	"house"	"north_euro_house08b"	"brick"	300	nil	nil
"north_euro_house08c"	"house"	"north_euro_house08c"	"brick"	300	nil	nil
"north_euro_house09"	"house"	"north_euro_house09"	"brick"	300	nil	nil
"north_euro_house09a"	"house"	"north_euro_house09a"	"brick"	300	nil	nil
"north_euro_house09b"	"house"	"north_euro_house09b"	"brick"	300	nil	nil
"north_euro_house10"	"house"	"north_euro_house10"	"brick"	300	nil	nil
"north_euro_house11"	"house"	"north_euro_house11"	"brick"	300	nil	nil
"north_euro_house11a"	"house"	"north_euro_house11a"	"brick"	300	nil	nil
"north_euro_house11b"	"house"	"north_euro_house11b"	"brick"	300	nil	nil
"north_euro_house12"	"house"	"north_euro_house12"	"brick"	300	nil	nil
"north_euro_house12a"	"house"	"north_euro_house12a"	"brick"	300	nil	nil
"north_euro_house12b"	"house"	"north_euro_house12b"	"brick"	300	nil	nil
"north_euro_house12c"	"house"	"north_euro_house12c"	"brick"	300	nil	nil
"north_euro_house13"	"house"	"north_euro_house13"	"brick"	300	nil	nil
"north_euro_house13a"	"house"	"north_euro_house13a"	"brick"	300	nil	nil
"north_euro_hut01"	"hut"	"north_euro_hut01"	"wood"	100	nil	nil
"north_euro_hut02"	"hut"	"north_euro_hut02"	"wood"	150	nil	nil
"north_euro_hut03"	"hut"	"north_euro_hut03"	"wood"	150	nil	nil
"north_euro_hut04"	"hut"	"north_euro_hut04"	"wood"	150	nil	nil
"north_euro_hut05"	"hut"	"north_euro_hut05"	"wood"	150	nil	nil
"north_euro_hut06"	"hut"	"north_euro_hut06"	"wood"	150	nil	nil
"north_euro_ruins"	"ruins"	"north_euro_ruins"	"stone"	500	nil	nil
"north_euro_rural01"	"rural"	"north_euro_rural01"	"wood"	100	nil	nil
"north_euro_rural02"	"rural"	"north_euro_rural02"	"brick"	250	nil	nil
"north_euro_rural03"	"rural"	"north_euro_rural03"	"wood"	150	nil	nil
"north_euro_rural04"	"rural"	"north_euro_rural04"	"wood"	150	nil	nil
"north_euro_stone_bridge"	"bridge"	"north_euro_stone_bridge"	"stone"	500	nil	nil
"north_euro_townhall"	"townhall"	"north_euro_townhall"	"stone"	650	nil	nil
"nwe_euro_ruins01"	"ruins"	"nwe_euro_ruins01"	"stone"	500	nil	nil
"nwe_euro_ruins02"	"ruins"	"nwe_euro_ruins02"	"stone"	500	nil	nil
"ottoman_farmhouse"	"farmhouse"	"ottoman_farmhouse"	"brick"	500	nil	nil
"ottoman_fort_armoury"	"armoury"	"ottoman_fort_armoury"	"stone"	600	nil	nil
"ottoman_fort_command_hq"	"command_HQ"	"ottoman_fort_command_hq"	"stone"	800	nil	nil
"ottoman_house01"	"house"	"ottoman_house01"	"stone"	150	nil	nil
"ottoman_house01b"	"house"	"ottoman_house01b"	"stone"	150	nil	nil
"ottoman_house02"	"house"	"ottoman_house02"	"stone"	150	nil	nil
"ottoman_house02b"	"house"	"ottoman_house02b"	"stone"	150	nil	nil
"ottoman_house03"	"house"	"ottoman_house03"	"stone"	150	nil	nil
"ottoman_house03b"	"house"	"ottoman_house03b"	"stone"	150	nil	nil
"ottoman_house04"	"house"	"ottoman_house04"	"stone"	150	nil	nil
"ottoman_house04b"	"house"	"ottoman_house04b"	"stone"	150	nil	nil
"ottoman_house05"	"house"	"ottoman_house05"	"stone"	150	nil	nil
"ottoman_house05b"	"house"	"ottoman_house05b"	"stone"	150	nil	nil
"ottoman_house06"	"house"	"ottoman_house06"	"stone"	150	nil	nil
"ottoman_house06b"	"house"	"ottoman_house06b"	"stone"	150	nil	nil
"ottoman_house07"	"house"	"ottoman_house07"	"stone"	150	nil	nil
"ottoman_hut01"	"house"	"ottoman_hut01"	"stone"	150	nil	nil
"ottoman_hut02"	"house"	"ottoman_hut02"	"stone"	150	nil	nil
"ottoman_hut03"	"house"	"ottoman_hut03"	"stone"	150	nil	nil
"ottoman_hut04"	"house"	"ottoman_hut04"	"stone"	150	nil	nil
"ottoman_hut05"	"house"	"ottoman_hut05"	"stone"	150	nil	nil
