version 1, schema battles_tables
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)
"afghan_mountains"	"classic"	false	"BattleTerrain/Presets/afghan_mountains/"	nil	false	1	1	true	true	true
"algeria"	"classic"	false	"BattleTerrain/Presets/algeria/"	nil	false	1	1	true	true	true
"alpine_pass"	"classic"	false	"BattleTerrain/Presets/alpine_pass/"	nil	false	1	1	true	true	true
"alsace"	"classic"	false	"BattleTerrain/Presets/alsace/"	nil	false	4	4	false	true	true
"anatolia"	"classic"	false	"BattleTerrain/Presets/anatolia/"	nil	false	1	1	true	true	true
"arctic"	"naval"	true	"BattleTerrain/Presets/arctic/"	nil	false	4	4	true	true	false
"battle_of_blenheim"	"classic"	false	"BattleTerrain/Presets/afghan_mountains/"	nil	false	2	2	false	false	false
"battle_of_brandywine_creek"	"historic"	false	"data/scenarios/Battle_of_Brandywine.xml"	"data/scenarios/Battle_of_Brandywine.tga"	false	1	1	true	false	true
"battle_of_cowpens"	"historic"	false	"data/scenarios/Battle_of_Cowpens.xml"	"data/scenarios/Battle_of_Cowpens.tga"	false	1	1	false	false	false
"battle_of_culloden"	"historic"	false	"data/scenarios/Battle_of_Culloden.xml"	nil	false	1	1	false	false	false
"battle_of_fontenoy"	"historic"	false	"data/scenarios/Battle_of_Fontenoy.xml"	"data/scenarios/Battle_of_Fontenoy.tga"	false	1	4	true	false	true
"battle_of_harlem_heights"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_kagul"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_lagos"	"historic"	true	"data/scenarios/Battle_of_Lagos.xml"	"data/scenarios/Battle_of_Lagos.tga"	false	1	2	true	false	true
"battle_of_leuthen"	"historic"	false	"data/scenarios/Battle_of_Leuthen.xml"	"data/scenarios/Battle_of_Leuthen.tga"	false	1	1	false	false	false
"battle_of_mellazo"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_petrovaradin"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_plassey"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
"battle_of_porto_novo"	"historic"	true	"data/scenarios/Battle_of_Porto_Novo.xml"	"data/scenarios/Battle_of_Porto_Novo.tga"	false	1	1	true	false	true
"battle_of_ramillies"	"historic"	false	"data/testdata/world/Balanced_Land_Battle.xml"	nil	false	1	1	false	false	false
