version 1, schema building_chains_tables
Building_Chain_ID(string)	String1(optstring)	String2(optstring)	Type(optstring)
"army-admin"	"military"	"0"	"military"
"coffee"	nil	nil	"money"
"corn"	"industry"	"0"	"agriculture"
"cotton"	nil	nil	"money"
"culture"	nil	nil	"happiness"
"education"	"enlightenment"	"0"	"research"
"fort"	nil	nil	"military"
"furs"	nil	nil	"money"
"gems"	nil	nil	"money"
"gold"	nil	nil	"money"
"government"	nil	nil	"government"
"government_minor"	nil	nil	"government"
"happiness"	nil	nil	"happiness"
"industry-metal"	"industry"	"1"	"money"
"industry-pottery"	nil	nil	"money"
"industry-textile"	"industry"	"2"	"money"
"iron"	nil	nil	"money"
"navy-admin"	"military"	"2"	"military"
"ordnance"	"military"	"1"	"military"
"port-fish"	nil	nil	"agriculture"
"port-navy"	nil	nil	"military"
"port-trade"	nil	nil	"money"
"rel_catholic"	nil	nil	"happiness"
"rel_hindu"	nil	nil	"happiness"
"rel_islam"	nil	nil	"happiness"
"rel_orthodox"	nil	nil	"happiness"
"rel_protestant"	nil	nil	"happiness"
"rice"	"industry"	"0"	"agriculture"
"roads"	nil	nil	"money"
"settlement_fortifications"	nil	nil	"military"
"sheep"	"industry"	"0"	"agriculture"
"silver"	nil	nil	"money"
"spices"	nil	nil	"money"
"sugar"	nil	nil	"money"
"tea"	nil	nil	"money"
"timber"	nil	nil	"money"
"tobacco"	nil	nil	"money"
"tribal_barracks"	"industry"	"1"	"military"
"tribal_corn"	nil	nil	"agriculture"
"tribal_culture"	"industry"	"0"	"happiness"
"tribal_government"	"industry"	"2"	"government"
"tribal_happiness"	nil	nil	"happiness"
"tribal_wheat"	nil	nil	"agriculture"
"wheat"	"industry"	"0"	"agriculture"
"wine"	nil	nil	"agriculture"
"tribal"	nil	nil	nil
"tribal_playable_barracks"	"tribal"	"1"	"military"
"tribal_playable_coffee"	nil	nil	nil
"tribal_playable_corn"	nil	nil	nil
"tribal_playable_cotton"	nil	nil	nil
"tribal_playable_culture"	"tribal"	"0"	"happiness"
"tribal_playable_furs"	nil	nil	"money"
"tribal_playable_gems"	nil	nil	nil
"tribal_playable_gold"	nil	nil	nil
"tribal_playable_government"	"tribal"	"2"	"government"
"tribal_playable_happiness"	nil	nil	"happiness"
"tribal_playable_industry_metal"	nil	nil	"money"
"tribal_playable_industry_textile"	nil	nil	"money"
"tribal_playable_iron"	nil	nil	nil
"tribal_playable_pioneer"	nil	nil	"money"
"tribal_playable_port-fish"	nil	nil	"agriculture"
"tribal_playable_prospector"	nil	nil	"money"
"tribal_playable_sheep"	nil	nil	nil
"tribal_playable_silver"	nil	nil	nil
"tribal_playable_sugar"	nil	nil	nil
"tribal_playable_tobacco"	nil	nil	nil
"tribal_playable_wheat"	nil	nil	nil
