version 1, schema building_culture_gov_type_variants_tables
Building_IDRef(string)	Culture(string)	Gov_Type(string)	artpiece(optstring)	Unknown1(boolean)	Description(string)	icon(optstring)
"governors_mansion"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"EU_city_government_lvl3"
"governors_mansion"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"EU_city_government_lvl3"
"governors_mansion"	"european"	"gov_republic"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"EU_city_government_lvl3"
"governors_mansion"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"IND_city_government_lvl3"
"governors_mansion"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"IND_city_government_lvl3"
"governors_mansion"	"indian"	"gov_republic"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"IND_city_government_lvl3"
"governors_mansion"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"OTT_city_government_lvl3"
"governors_mansion"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"OTT_city_government_lvl3"
"governors_mansion"	"middle_east"	"gov_republic"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"OTT_city_government_lvl3"
"governors_palace"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"EU_city_government_lvl4"
"governors_palace"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"EU_city_government_lvl4"
"governors_palace"	"european"	"gov_republic"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"EU_city_government_lvl4"
"governors_palace"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"IND_city_government_lvl4"
"governors_palace"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"IND_city_government_lvl4"
"governors_palace"	"indian"	"gov_republic"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"IND_city_government_lvl4"
"governors_palace"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"OTT_city_government_lvl4"
"governors_palace"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"OTT_city_government_lvl4"
"governors_palace"	"middle_east"	"gov_republic"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"OTT_city_government_lvl4"
"imperial_palace"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl6"	false	"imperial_palace_european_gov_absolute_monarchy"	"EU_city_government_lvl6"
"imperial_palace"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl6"	false	"imperial_palace_european_gov_constitutional_monarc"	"EU_city_government_lvl6"
"imperial_palace"	"european"	"gov_republic"	"EU_city_government_lvl6"	false	"imperial_palace_european_gov_republic"	"EU_city_government_lvl6"
"imperial_palace"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl6"	false	"imperial_palace_european_gov_absolute_monarchy"	"IND_city_government_lvl6"
"imperial_palace"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl6"	false	"imperial_palace_european_gov_constitutional_monarc"	"IND_city_government_lvl6"
"imperial_palace"	"indian"	"gov_republic"	"IND_city_government_lvl6"	false	"imperial_palace_european_gov_republic"	"IND_city_government_lvl6"
"imperial_palace"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl6"	false	"imperial_palace_european_gov_absolute_monarchy"	"OTT_city_government_lvl6"
"imperial_palace"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl6"	false	"imperial_palace_european_gov_constitutional_monarc"	"OTT_city_government_lvl6"
"imperial_palace"	"middle_east"	"gov_republic"	"OTT_city_government_lvl6"	false	"imperial_palace_european_gov_republic"	"OTT_city_government_lvl6"
"minor_governors_mansion"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"EU_city_government_lvl3"
"minor_governors_mansion"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"EU_city_government_lvl3"
"minor_governors_mansion"	"european"	"gov_republic"	"EU_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"EU_city_government_lvl3"
"minor_governors_mansion"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"IND_city_government_lvl3"
"minor_governors_mansion"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"IND_city_government_lvl3"
"minor_governors_mansion"	"indian"	"gov_republic"	"IND_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"IND_city_government_lvl3"
"minor_governors_mansion"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_absolute_monarchy"	"OTT_city_government_lvl3"
"minor_governors_mansion"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_constitutional_mona"	"OTT_city_government_lvl3"
"minor_governors_mansion"	"middle_east"	"gov_republic"	"OTT_city_government_lvl3"	false	"governors_mansion_european_gov_republic"	"OTT_city_government_lvl3"
"minor_governors_palace"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"EU_city_government_lvl4"
"minor_governors_palace"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"EU_city_government_lvl4"
"minor_governors_palace"	"european"	"gov_republic"	"EU_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"EU_city_government_lvl4"
"minor_governors_palace"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"IND_city_government_lvl4"
"minor_governors_palace"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"IND_city_government_lvl4"
"minor_governors_palace"	"indian"	"gov_republic"	"IND_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"IND_city_government_lvl4"
"minor_governors_palace"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_absolute_monarchy"	"OTT_city_government_lvl4"
"minor_governors_palace"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_constitutional_monar"	"OTT_city_government_lvl4"
"minor_governors_palace"	"middle_east"	"gov_republic"	"OTT_city_government_lvl4"	false	"governors_palace_european_gov_republic"	"OTT_city_government_lvl4"
"minor_royal_palace"	"european"	"gov_absolute_monarchy"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"EU_city_government_lvl5"
"minor_royal_palace"	"european"	"gov_constitutional_monarchy"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"EU_city_government_lvl5"
"minor_royal_palace"	"european"	"gov_republic"	"EU_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"EU_city_government_lvl5"
"minor_royal_palace"	"indian"	"gov_absolute_monarchy"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"IND_city_government_lvl5"
"minor_royal_palace"	"indian"	"gov_constitutional_monarchy"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"IND_city_government_lvl5"
"minor_royal_palace"	"indian"	"gov_republic"	"IND_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"IND_city_government_lvl5"
"minor_royal_palace"	"middle_east"	"gov_absolute_monarchy"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_absolute_monarchy"	"OTT_city_government_lvl5"
"minor_royal_palace"	"middle_east"	"gov_constitutional_monarchy"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_constitutional_monarchy"	"OTT_city_government_lvl5"
"minor_royal_palace"	"middle_east"	"gov_republic"	"OTT_city_government_lvl5"	false	"royal_palace_european_gov_republic"	"OTT_city_government_lvl5"
"royal_academy"	"european"	"gov_absolute_monarchy"	"EU_city_culture_lvl4_academy"	false	"royal_academy_european_gov_absolute_monarchy"	"EU_city_culture_lvl4_academy"
