version 1, schema building_culture_variants_tables
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"admiralty"	"european"	nil	"EU_city_naval_lvl1"	nil	"admiralty_european"	"EU_city_naval_lvl1"
"admiralty"	"indian"	nil	"IND_city_naval_lvl1"	nil	"admiralty_european"	"IND_city_naval_lvl1"
"admiralty"	"middle_east"	nil	"OTT_city_naval_lvl1"	nil	"admiralty_european"	"OTT_city_naval_lvl1"
"army_barracks"	"european"	nil	"EU_town_military_lvl3"	nil	"army_barracks_european"	"EU_town_military_lvl3"
"army_barracks"	"indian"	nil	"IND_town_military_lvl3"	nil	"army_barracks_european"	"IND_town_military_lvl3"
"army_barracks"	"middle_east"	nil	"OTT_town_military_lvl3"	nil	"army_barracks_european"	"OTT_town_military_lvl3"
"army_board"	"european"	nil	"EU_town_military_lvl5_artillery"	nil	"army_board_european"	"EU_town_military_lvl5_artillery"
"army_board"	"indian"	nil	"IND_town_military_lvl5_artillery"	nil	"army_board_european"	"IND_town_military_lvl5_artillery"
"army_board"	"middle_east"	nil	"OTT_town_military_lvl5_artillery"	nil	"army_board_european"	"OTT_town_military_lvl5_artillery"
"army_encampment"	"european"	nil	"EU_town_military_lvl1"	nil	"army_encampment_european"	"EU_town_military_lvl1"
"army_encampment"	"indian"	nil	"IND_town_military_lvl1"	nil	"army_encampment_indian"	"IND_town_military_lvl1"
"army_encampment"	"middle_east"	nil	"OTT_town_military_lvl1"	nil	"army_encampment_indian"	"OTT_town_military_lvl1"
"army_staff_college"	"european"	nil	"EU_city_military_lvl5"	nil	"army_staff_college_european"	"EU_city_military_lvl5"
"army_staff_college"	"indian"	nil	"IND_city_military_lvl5"	nil	"army_staff_college_european"	"IND_city_military_lvl5"
"army_staff_college"	"middle_east"	nil	"OTT_city_military_lvl5"	nil	"army_staff_college_european"	"OTT_city_military_lvl5"
"basic_roads"	"european"	nil	"EU_building_placeholder"	nil	"roads_basic"	"roads_basic"
"basic_roads"	"indian"	nil	"EU_building_placeholder"	nil	"roads_basic"	"roads_basic"
"basic_roads"	"middle_east"	nil	"EU_building_placeholder"	nil	"roads_basic"	"roads_basic"
"basic_roads"	"tribal"	nil	"EU_building_placeholder"	nil	"roads_basic"	"roads_basic"
"bawdy_house"	"european"	nil	"EU_town_happy_lvl2"	nil	"bawdy_house_european"	"EU_town_happy_lvl2"
"bawdy_house"	"indian"	nil	"IND_town_happy_lvl2"	nil	"bawdy_house_european"	"IND_town_happy_lvl2"
"bawdy_house"	"middle_east"	nil	"OTT_town_happy_lvl2"	nil	"bawdy_house_middle_east"	"OTT_town_happy_lvl2"
"cannon_foundry"	"european"	nil	"EU_city_artillery_lvl1"	nil	"cannon_foundry_european"	"EU_city_artillery_lvl1"
"cannon_foundry"	"indian"	nil	"IND_city_artillery_lvl1"	nil	"cannon_foundry_european"	"IND_city_artillery_lvl1"
"cannon_foundry"	"middle_east"	nil	"OTT_city_artillery_lvl1"	nil	"cannon_foundry_european"	"OTT_city_artillery_lvl1"
"ceramics_factory"	"european"	nil	"EU_town_ind_lvl4_pottery"	nil	"ceramics_factory_european"	"EU_town_ind_lvl4_pottery"
"ceramics_factory"	"indian"	nil	"IND_town_ind_lvl4_pottery"	nil	"ceramics_factory_european"	"IND_town_ind_lvl4_pottery"
"ceramics_factory"	"middle_east"	nil	"OTT_town_ind_lvl4_pottery"	nil	"ceramics_factory_european"	"OTT_town_ind_lvl4_pottery"
"coaching_inn"	"european"	nil	"EU_town_happy_lvl1"	nil	"coaching_inn_european"	"EU_town_happy_lvl1"
"coaching_inn"	"indian"	nil	"IND_town_happy_lvl1"	nil	"coaching_inn_indian"	"IND_town_happy_lvl1"
"coaching_inn"	"middle_east"	nil	"OTT_town_happy_lvl1"	nil	"coaching_inn_middle_east"	"OTT_town_happy_lvl1"
"coffee_warehouse"	"european"	nil	"EU_resource_plantation_coffee_lvl3"	nil	"coffee_warehouse_european"	"EU_resource_plantation_coffee_lvl3"
"coffee_warehouse"	"indian"	nil	"IND_resource_plantation_coffee_lvl3"	nil	"coffee_warehouse_european"	"IND_resource_plantation_coffee_lvl3"
"coffee_warehouse"	"middle_east"	nil	"OTT_resource_plantation_coffee_lvl3"	nil	"coffee_warehouse_european"	"OTT_resource_plantation_coffee_lvl3"
"college"	"european"	nil	"EU_town_education_lvl2_secular"	nil	"college_european"	"EU_town_education_lvl2_secular"
"college"	"indian"	nil	"IND_town_education_lvl2_secular"	nil	"college_indian"	"IND_town_education_lvl2_secular"
"college"	"middle_east"	nil	"OTT_town_education_lvl2_secular"	nil	"college_ottoman"	"OTT_town_education_lvl2_secular"
"commercial_basin"	"european"	nil	"EU_port_trade_lvl3"	nil	"commercial_basin_european"	"EU_port_trade_lvl3"
"commercial_basin"	"indian"	nil	"IND_port_trade_lvl3"	nil	"commercial_basin_european"	"IND_port_trade_lvl3"
"commercial_basin"	"middle_east"	nil	"OTT_port_trade_lvl3"	nil	"commercial_basin_european"	"OTT_port_trade_lvl3"
"commercial_port"	"european"	nil	"EU_port_trade_lvl2"	nil	"commercial_port_european"	"EU_port_trade_lvl2"
"commercial_port"	"indian"	nil	"IND_port_trade_lvl2"	nil	"commercial_port_european"	"IND_port_trade_lvl2"
"commercial_port"	"middle_east"	nil	"OTT_port_trade_lvl2"	nil	"commercial_port_european"	"OTT_port_trade_lvl2"
"conservatorium"	"european"	nil	"EU_city_culture_lvl1"	nil	"conservatorium_european"	"EU_city_culture_lvl1"
"conservatorium"	"indian"	nil	"IND_city_culture_lvl1"	nil	"conservatorium_indian"	"IND_city_culture_lvl1"
"conservatorium"	"middle_east"	nil	"OTT_city_culture_lvl1"	nil	"conservatorium_middle_east"	"OTT_city_culture_lvl1"
"corn_clearances"	"european"	nil	nil	"EU_resource_farm_lvl3_corn"	"sheep_clearances_european"	"EU_resource_farm_lvl3_corn"
"corn_clearances"	"indian"	nil	nil	"IND_resource_farm_lvl3_corn"	"sheep_clearances_european"	"IND_resource_farm_lvl3_corn"
"corn_clearances"	"middle_east"	nil	nil	"Ott_resource_farm_lvl3_corn"	"sheep_clearances_european"	"OTT_resource_farm_lvl3_wheat"
"corn_great_estates"	"european"	nil	nil	"EU_resource_farm_lvl4_corn"	"sheep_great_estates_european"	"EU_resource_farm_lvl4_corn"
"corn_great_estates"	"indian"	nil	nil	"IND_resource_farm_lvl4_corn"	"sheep_great_estates_european"	"IND_resource_farm_lvl4_corn"
"corn_great_estates"	"middle_east"	nil	nil	"Ott_resource_farm_lvl4_corn"	"sheep_great_estates_european"	"OTT_resource_farm_lvl4_wheat"
