version 1, schema building_research_thread_junction_tables
Building_IDRef(string)	Thread_IDRef(string)	Magnitude(float)
"army_barracks"	"techtree_army"	0
"army_board"	"techtree_army"	0.25
"army_encampment"	"techtree_army"	0.025
"cannon_foundry"	"techtree_army"	0
"ceramics_factory"	"techtree_industry"	0.25
"coffee_warehouse"	"techtree_agriculture"	0.2
"college"	"techtree_philosophy"	0.1
"corn_clearances"	"techtree_agriculture"	0.2
"corn_great_estates"	"techtree_agriculture"	0.3
"corn_peasant_farms"	"techtree_agriculture"	0
"corn_tenanted_farms"	"techtree_agriculture"	0.1
"cotton_warehouse"	"techtree_agriculture"	0.2
"craft_workshops_pottery"	"techtree_industry"	0
"deep_gem_shaft"	"techtree_industry"	0.1
"dockyard"	"techtree_naval"	0.1
"drill_school"	"techtree_army"	0.1
"drydock"	"techtree_naval"	0.2
"engineer_school"	"techtree_army"	0.4
"enlightened_university"	"techtree_philosophy"	0.4
"gold_mine"	"techtree_industry"	0
"great_arsenal"	"techtree_army"	0.2
"great_museum"	"techtree_philosophy"	0.15
"gunnery_school"	"techtree_army"	0.35
"industrial_gold_mining_complex"	"techtree_industry"	0.2
"industrial_iron_mining_complex"	"techtree_industry"	0.2
"industrial_silver_mining_complex"	"techtree_industry"	0.2
"iron_mine"	"techtree_industry"	0
"iron_workshops"	"techtree_industry"	0.1
"ironmasters_works"	"techtree_industry"	0.2
"kilns"	"techtree_industry"	0.15
"large_coffee_plantation"	"techtree_agriculture"	0.1
"large_cotton_plantation"	"techtree_agriculture"	0.1
"large_spices_plantation"	"techtree_agriculture"	0.1
"large_sugar_plantation"	"techtree_agriculture"	0.1
"large_tea_plantation"	"techtree_agriculture"	0.1
"large_tobacco_plantation"	"techtree_agriculture"	0.1
"military_academy"	"techtree_army"	0.3
"naval_hospital"	"techtree_naval"	0.3
"open_gem_pit"	"techtree_industry"	0
"ordnance_board"	"techtree_army"	0.3
"ordnance_factory"	"techtree_army"	0.1
"pottery_workshops"	"techtree_industry"	0.05
"rice_farming_commune"	"techtree_agriculture"	0.15
"rice_farms"	"techtree_agriculture"	0.05
"rice_paddies"	"techtree_agriculture"	0
"royal_academy"	"techtree_agriculture"	0.25
"royal_observatory"	"techtree_philosophy"	0.15
"school"	"techtree_philosophy"	0
"sheep_clearances"	"techtree_agriculture"	0.2
"sheep_great_estates"	"techtree_agriculture"	0.3
"sheep_peasant_farms"	"techtree_agriculture"	0
"sheep_tenanted_farms"	"techtree_agriculture"	0.1
"shipyard"	"techtree_naval"	0
"silver_mine"	"techtree_industry"	0
"small_coffee_plantation"	"techtree_agriculture"	0
"small_cotton_plantation"	"techtree_agriculture"	0
"small_spices_plantation"	"techtree_agriculture"	0
"small_sugar_plantation"	"techtree_agriculture"	0
"small_tea_plantation"	"techtree_agriculture"	0
"small_tobacco_plantation"	"techtree_agriculture"	0
"spices_warehouse"	"techtree_agriculture"	0.2
"steam_drydock"	"techtree_naval"	0.3
"steam_engine_factory"	"techtree_industry"	0.3
"steam-powered_cloth_mill"	"techtree_industry"	0.3
"steam-powered_sugar_mill"	"techtree_industry"	0.25
"steam-pumped_gold_mine"	"techtree_industry"	0.1
"steam-pumped_iron_mine"	"techtree_industry"	0.1
"steam-pumped_silver_mine"	"techtree_industry"	0.1
"sugar_warehouse"	"techtree_agriculture"	0.2
"tea_warehouse"	"techtree_agriculture"	0.2
"tobacco_warehouse"	"techtree_agriculture"	0.2
"tribal_gunsmith"	"techtree_army"	0.025
"tribal_horse_breeder"	"techtree_army"	0.025
"tribal_hunting_grounds"	"techtree_army"	0.025
"tribal_practice_fields"	"techtree_army"	0.05
"tribal_warrior_lodge"	"techtree_army"	0.05
"university"	"techtree_philosophy"	0.2
"vineyards"	"techtree_agriculture"	0
"water-powered_cloth_mill"	"techtree_industry"	0.2
"weavers_cottages"	"techtree_industry"	0.1
"wheat_clearances"	"techtree_agriculture"	0.2
"wheat_great_estates"	"techtree_agriculture"	0.3
"wheat_peasant_farms"	"techtree_agriculture"	0
"wheat_tenanted_farms"	"techtree_agriculture"	0.1
"wine_estates"	"techtree_agriculture"	0.2
"wineries"	"techtree_agriculture"	0.1
