version 1, schema campaign_ai_personalities_tables
Campaign_Personality_ID(string)	Used_by_default(boolean)
"continental_progressive"	false
"continental_repressive"	false
"default"	true
"episode_2_britain"	false
"episode_2_france"	false
"episode_2_huron"	false
"episode_2_iroquois"	false
"episode_3_britain"	false
"episode_3_dutch"	false
"episode_3_france"	false
"episode_3_native_americans"	false
"episode_3_spain"	false
"industrialist"	false
"main_britain"	false
"maritime_progressive"	false
"maritime_repressive"	false
"mixed_progressive"	false
"mixed_repressive"	false
"new_age"	false
"non_euro"	false
"pirates"	false
"trader"	false
"natives"	false
