version 1, schema campaign_map_famous_battles_tables
id(string)	Description(string)	Date(string)	unknown2(string)	X(float)	Y(float)
"alcantara"	"Battle of Alcantara"	"1850-08-01T00:00:00"	"placeholder"	-65.304	275.20001
"berestechko"	"Battle of Berestechko"	"1651-06-01T00:00:00"	"placeholder"	178.60699	358.04401
"dunes"	"Battle of the Dunes"	"1658-06-01T00:00:00"	"placeholder"	16.907	362.939
"edgehill"	"Battle of Edgehill"	"1642-10-01T00:00:00"	"placeholder"	-11.745	373.94199
"fehrbellin"	"Battle of Fehrbellin"	"1675-07-01T00:00:00"	"placeholder"	90.785	375.46701
"klushino"	"Battle of Klushino"	"1610-07-01T00:00:00"	"placeholder"	249.26801	395.88101
"lens"	"Battle of Lens"	"1648-08-01T00:00:00"	"placeholder"	27.733	359.46701
"lutzen"	"Battle of Lutzen"	"1632-11-01T00:00:00"	"placeholder"	86.281	364.444
"mohacs"	"Battle of Mohacs"	"1687-08-01T00:00:00"	"placeholder"	132.834	327.082
"naseby"	"Battle of Naseby"	"1645-06-01T00:00:00"	"placeholder"	-7.05	372.59698
"nieuwpoort"	"Battle of Nieuwpoort"	"1600-07-01T00:00:00"	"placeholder"	19.556	363.496
"nordlingen"	"Battle of Nordlingen"	"1645-08-01T00:00:00"	"placeholder"	74.667	347.37799
"preston"	"Battle of Preston"	"1648-08-01T00:00:00"	"placeholder"	-19.224	382.27802
"sablat"	"Battle of Sablat"	"1619-07-01T00:00:00"	"placeholder"	102.931	348.26501
"stadtlohn"	"Battle of Stadtlohn"	"1623-08-01T00:00:00"	"placeholder"	49.067	369.659
"turnhout"	"Battle of Turnhout"	"1597-01-01T00:00:00"	"placeholder"	35.2	364.91901
"vienna"	"Battle of Vienna"	"1683-09-01T00:00:00"	"placeholder"	116.423	342.81699
"warsaw"	"Battle of Warsaw"	"1656-07-01T00:00:00"	"placeholder"	149.41	371.41299
"zusmarshausen"	"Battle of Zusmarshausen"	"1645-05-01T00:00:00"	"placeholder"	77.393	343.94101
