version 1, schema campaign_map_playable_areas_tables
Random_value_x0020__x0028__x003F__x0029_(string)	Unknown2(boolean)	Unknown3(boolean)	Map__x0022_texture_x0022_.tga(string)	Map_lookup.tga(optstring)	unknown4(optstring)	Unknown5(string)	Unknown6(int)	Unknown7(int)	Unknown8(int)
"-1133129049"	true	true	"east_indies_map.tga"	"east_indies_lookup.tga"	"stratradar_east_indies.tga"	"east_indies"	0	0	0
"1"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	128	146	247
"2"	false	true	"europe_map.tga"	"europe_lookup.tga"	"stratradar_europe.tga"	"europe"	400	236	0
"3"	false	true	"india_map.tga"	"india_lookup.tga"	"stratradar_india.tga"	"india"	128	146	247
"628219853"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	128	146	247
"836795134"	true	true	"madagascar_map.tga"	"east_indies_lookup.tga"	"stratradar_madagascar.tga"	"east_africa"	0	0	0
"1193846682"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	400	236	247
"1197997136"	true	true	"brazil_map.tga"	"east_indies_lookup.tga"	"stratradar_brazil.tga"	"south_america"	0	0	0
"1217329432"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	128	146	247
"1223547544"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	128	146	247
"1245063469"	false	true	"america_map.tga"	"america_lookup.tga"	"stratradar_america.tga"	"america"	128	146	247
"2113354257"	true	true	"ivory_coast_map.tga"	"east_indies_lookup.tga"	"stratradar_ivory_coast.tga"	"west_africa"	0	0	0
