version 1, schema campaign_map_settlements_tables
Settlement_ID(string)	Region(string)	Capital(string)	Unknown2(int)	Slot(string)
"settlement:acadia:fort_nashwaak"	"acadia"	"Fort Nashwaak"	1	"settlement"
"settlement:acadia:louisbourg_ep3"	"acadia"	"Louisbourg"	1	"settlement"
"settlement:afghanistan:kabul"	"afghanistan"	"Kabul"	1	"settlement"
"settlement:ahmadnagar:ahmadnagar"	"ahmadnagar"	"Ahmadnagar"	1	"settlement"
"settlement:algiers:algiers"	"algiers"	"Algiers"	1	"settlement"
"settlement:algonquin_territory:niagara"	"algonquin_territory"	"Niagara"	1	"settlement"
"settlement:alsace:strasbourg"	"alsace"	"Strasbourg"	1	"settlement"
"settlement:anatolia:angora"	"anatolia"	"Ankara"	4	"settlement"
"settlement:arkhangelsk:arkhangelsk"	"arkhangelsk"	"Arkhangelsk"	1	"settlement"
"settlement:armenia:yerevan"	"armenia"	"Yerevan"	1	"settlement"
"settlement:astrakhan:astrakhan"	"astrakhan"	"Astrakhan"	1	"settlement"
"settlement:austria:vienna"	"austria"	"Vienna"	5	"settlement"
"settlement:azerbaijan:ardabil"	"azerbaijan"	"Ardabil"	1	"settlement"
"settlement:bahamas:nassau"	"bahamas"	"Nassau"	1	"settlement"
"settlement:baluchistan:zahedan"	"baluchistan"	"Zahedan"	1	"settlement"
"settlement:bashkira:ufa"	"bashkira"	"Ufa"	1	"settlement"
"settlement:bavaria:munich"	"bavaria"	"Munich"	4	"settlement"
"settlement:belarus:minsk"	"belarus"	"Minsk"	1	"settlement"
"settlement:bengal:calcutta"	"bengal"	"Calcutta"	4	"settlement"
"settlement:berar:nagpur"	"berar"	"Nagpur"	1	"settlement"
"settlement:bijapur:satara"	"bijapur"	"Satara"	5	"settlement"
"settlement:bohemia:prague"	"bohemia"	"Prague"	4	"settlement"
"settlement:bosnia:sarajevo"	"bosnia"	"Sarajevo"	1	"settlement"
"settlement:bulgaria:sofia"	"bulgaria"	"Sofia"	1	"settlement"
"settlement:carnatica:arcot"	"carnatica"	"Arcot"	1	"settlement"
"settlement:carolinas:charleston"	"carolinas"	"Charleston"	1	"settlement"
"settlement:ceylon:trincomalee"	"ceylon"	"Trincomalee"	4	"settlement"
"settlement:chechenya-dagestan:tarki"	"chechenya-dagestan"	"Tarki"	1	"settlement"
"settlement:cherokee_territory:tellico"	"cherokee_territory"	"Tellico"	1	"settlement"
"settlement:corsica:bastia"	"corsica"	"Bastia"	1	"settlement"
"settlement:courland:jelgava"	"courland"	"Jelgava"	1	"settlement"
"settlement:crimea:bakhchisaray"	"crimea"	"Bakhchisaray"	1	"settlement"
"settlement:croatia:zagreb"	"croatia"	"Zagreb"	1	"settlement"
"settlement:cuba:la_habana"	"cuba"	"La Habana"	1	"settlement"
"settlement:curacao:punda"	"curacao"	"Punda"	1	"settlement"
"settlement:denmark:copenhagen"	"denmark"	"Copenhagen"	4	"settlement"
"settlement:don_voisko:cherkassk"	"don_voisko"	"Cherkassk"	1	"settlement"
