version 1, schema commodities_demand_junction_tables
Commodity_IDRef(string)	Demand_junction_IDRef(string)	Demand_Base_value_x003F_(float)	Demand_modifier_percentage_x0020__x0023__Applied_to_Base_Prize(float)
"res_coffee"	"ddr_GDP"	1.1	0.5
"res_coffee"	"ddr_TW"	1.1	0.5
"res_cotton"	"ddr_GDP"	1.1	0.5
"res_cotton"	"ddr_textile_production"	1.1	0.5
"res_furs"	"ddr_GDP"	1.1	0.3
"res_furs"	"ddr_TW"	1.1	0.7
"res_ivory"	"ddr_GDP"	1.1	0.1
"res_ivory"	"ddr_TW"	1.1	0.9
"res_spices"	"ddr_GDP"	1.1	0.2
"res_spices"	"ddr_TW"	1.1	0.8
"res_sugar"	"ddr_GDP"	1.1	0.8
"res_sugar"	"ddr_TW"	1.1	0.2
"res_tea"	"ddr_GDP"	1.1	0.5
"res_tea"	"ddr_TW"	1.1	0.5
"res_tobacco"	"ddr_GDP"	1.1	0.6
"res_tobacco"	"ddr_TW"	1.1	0.4
