version 1, schema events_view_group_junct_tables
Historic_event_ID(string)	Corrospondents_to_faction_ID(string)
"3_colour_printing"	"faction_austria"
"3_colour_printing"	"faction_france"
"3_colour_printing"	"faction_netherlands"
"3_colour_printing"	"faction_prussia"
"air_loom"	"faction_britain"
"air_loom"	"faction_france"
"alcoholic_apothecary"	"faction_britain"
"alcoholic_apothecary_dies"	"faction_britain"
"american_blizzard"	"factions_in_america"
"american_blizzard"	"region_massachusetts"
"amish_to_america"	"faction_austria"
"amish_to_america"	"faction_netherlands"
"amish_to_america"	"faction_prussia"
"amish_to_america"	"factions_in_america"
"ascending_mont_blanc"	"faction_austria"
"ascending_mont_blanc"	"faction_france"
"ascending_mont_blanc"	"faction_us"
"ascending_triglav"	"faction_austria"
"astronomical_aberration"	"all_factions"
"australia_day"	"faction_britain"
"australia_day"	"faction_us"
"autobiography_colley_cibber"	"faction_britain"
"bach_brandenburg_concertos"	"faction_austria"
"bach_brandenburg_concertos"	"faction_france"
"bach_brandenburg_concertos"	"faction_prussia"
"bach_brandenburg_concertos"	"faction_russia"
"bach_brandenburg_concertos"	"faction_sweden"
"bach_dies"	"faction_austria"
"bach_dies"	"faction_france"
"bach_dies"	"faction_prussia"
"bach_dies"	"faction_russia"
"bach_dies"	"faction_sweden"
"bach_toccata_and_fugue_in_d_minor"	"faction_austria"
"bach_toccata_and_fugue_in_d_minor"	"faction_france"
"bach_toccata_and_fugue_in_d_minor"	"faction_prussia"
"bach_toccata_and_fugue_in_d_minor"	"faction_russia"
"bach_toccata_and_fugue_in_d_minor"	"faction_sweden"
"bach_well_tempered_clavier_1"	"faction_austria"
"bach_well_tempered_clavier_1"	"faction_france"
"bach_well_tempered_clavier_1"	"faction_prussia"
"bach_well_tempered_clavier_1"	"faction_russia"
"bach_well_tempered_clavier_1"	"faction_sweden"
"bach_well_tempered_clavier_2"	"faction_austria"
"bach_well_tempered_clavier_2"	"faction_france"
"bach_well_tempered_clavier_2"	"faction_prussia"
"bach_well_tempered_clavier_2"	"faction_russia"
"bach_well_tempered_clavier_2"	"faction_sweden"
"ballistics_advanced"	"faction_austria"
"ballistics_advanced"	"faction_britain"
"ballistics_advanced"	"faction_france"
"ballistics_advanced"	"faction_netherlands"
"ballistics_advanced"	"faction_ottomans"
"ballistics_advanced"	"faction_prussia"
"ballistics_advanced"	"faction_russia"
"bangorian_controversy"	"faction_britain"
"bavarian_illuminai"	"faction_austria"
"bavarian_illuminai"	"faction_france"
"bavarian_illuminai"	"faction_netherlands"
"bavarian_illuminai"	"faction_prussia"
"bavarian_illuminai"	"faction_us"
"belfast_news_letter_published"	"region_ireland"
"bellamy_killed"	"all_european_factions"
"bellamy_killed"	"factions_in_caribbean"
"biathlon_norway"	"faction_poland"
"biathlon_norway"	"faction_prussia"
"biathlon_norway"	"faction_russia"
"biathlon_norway"	"faction_sweden"
"big_bottom_massacre"	"faction_us"
"big_bottom_massacre"	"factions_in_america"
"bioelectricity_discovered"	"all_factions"
"blackbeard_killed"	"all_european_factions"
"blackbeard_killed"	"factions_in_caribbean"
"blood_pressure"	"faction_britain"
"bonnet_hanged"	"factions_in_caribbean"
"bow_street_runners"	"faction_britain"
"british_museum"	"faction_britain"
"brotherhood_of_the_wolf"	"faction_france"
"broughton_rules"	"faction_britain"
"calendar_changes"	"faction_britain"
"cast_steel"	"all_factions"
"celsius_scale"	"all_european_factions"
"cheese_revolution"	"faction_britain"
"chlorine_disinfectant"	"all_factions"
"circular_saw"	"faction_britain"
"circus_london"	"all_european_factions"
"clever_stick"	"faction_austria"
"clever_stick"	"faction_netherlands"
"clever_stick"	"faction_poland"
"clever_stick"	"faction_prussia"
"clever_stick"	"faction_russia"
"clever_stick"	"faction_sweden"
"company_of_quenching_fire"	"faction_britain"
"copyright_act"	"faction_britain"
"cornish_cumudgeonly_ways"	"faction_britain"
"critique_of_pure_reason"	"faction_austria"
"critique_of_pure_reason"	"faction_netherlands"
"critique_of_pure_reason"	"faction_poland"
"critique_of_pure_reason"	"faction_prussia"
"critique_of_pure_reason"	"faction_russia"
"critique_of_pure_reason"	"faction_sweden"
"cuckoo_clock"	"faction_austria"
"cuckoo_clock"	"faction_france"
"daily_courant_published"	"faction_britain"
"daily_universal_published"	"faction_britain"
"dark_day_new_england"	"factions_in_america"
"dark_day_new_england"	"region_massachusetts"
"death_penalty_rescinded"	"faction_austria"
"death_penalty_rescinded"	"faction_france"
"death_penalty_rescinded"	"faction_spain"
"death_penalty_rescinded"	"faction_us"
"decline_and_fall_roman_empire"	"all_factions"
"defoe_pillaried"	"faction_britain"
"denmark_norway_germany_adopt_gregorian_calendar"	"faction_britain"
"denmark_norway_germany_adopt_gregorian_calendar"	"faction_netherlands"
"denmark_norway_germany_adopt_gregorian_calendar"	"faction_prussia"
"denmark_norway_germany_adopt_gregorian_calendar"	"faction_sweden"
