version 1, schema mount_variants_tables
Mount_variant(string)	Mount_ID(string)	unknown3(float)
"horse_artillery"	"horse_A_artillery"	1
"horse_mixed_browns"	"horse_A_default"	0.5
"camel_base"	"camel_base"	1
"horse_irregular"	"horse_A_default"	0.5
"horse_irregular"	"horse_D_default"	0.5
"horse_eastern"	"horse_A_eastern"	1
"horse_cavalry"	"horse_A_default"	1
"horse_irregular"	"horse_C_default"	0.1
"horse_heavy_mixed_browns"	"horse_D_heavy"	0.7
"horse_all_dark_brown"	"horse_D_default"	1
"horse_all_light_brown"	"horse_A_default"	1
"horse_irregular"	"horse_E_default"	0.1
"horse_heavy_all_white"	"horse_E_heavy"	1
"horse"	"horse_A_default"	1
"horse_irregular"	"horse_B_default"	0.1
"horse_mixed_browns"	"horse_D_default"	0.5
"elephant"	"elephant"	1
"horse_all_white"	"horse_E_default"	1
"horse_heavy_all_black"	"horse_C_heavy"	1
"horse_heavy_mixed_browns"	"horse_A_heavy"	0.3
"horse_heavy_all_grey"	"horse_B_heavy"	1
"na_horse"	"na_horse_A"	1
"na_horse"	"na_horse_B"	1
"na_horse"	"na_horse_C"	1
"na_horse"	"na_horse_D"	1
"na_horse"	"na_horse_E"	1
"na_horse"	"na_horse_F"	1
"na_generals_horse"	"na_horse_B"	1
"na_generals_horse"	"na_horse_E"	1
