version 1, schema names_royalty_tables
Faction_IDRef(string)	Name(string)	unknown1(int)	gender(string)	unknown2(int)	unknown3(int)
"afghanistan"	"Abd al-Aziz"	1	"m"	1	2114940813
"afghanistan"	"Ahmad"	1	"m"	3	-213832440
"afghanistan"	"Ashraf"	1	"m"	1	2048619651
"afghanistan"	"Gurgin"	1	"m"	2	1263476231
"afghanistan"	"Mahmud"	1	"m"	3	1917979327
"afghanistan"	"Mir Mahmud"	1	"m"	2	-257781444
"afghanistan"	"Mirwais"	1	"m"	2	1214410718
"afghanistan"	"Safi"	1	"m"	1	-382776886
"afghanistan"	"Shuja"	1	"m"	3	47414676
"afghanistan"	"Timur"	1	"m"	3	1793727081
"afghanistan"	"Zaman"	1	"m"	3	1814100598
"afghanistan"	"Zulfikar"	1	"m"	1	-114790942
"austria"	"Anton"	1	"m"	1	161011545
"austria"	"Eleonore"	1	"f"	1	-1968636092
"austria"	"Elisabeth"	1	"f"	1	-1119333220
"austria"	"Elisabeth Amalia"	1	"f"	1	1034211631
"austria"	"Elisabeth Christine"	1	"f"	1	-1069906158
"austria"	"Ferdinand"	1	"m"	3	-116724355
"austria"	"Franz"	1	"m"	3	1081265040
"austria"	"Franz Joseph"	1	"m"	3	-1961809839
"austria"	"Joseph"	1	"m"	3	1243867691
"austria"	"Karl"	1	"m"	3	1248650227
"austria"	"Leopold"	1	"m"	3	1183452410
"austria"	"Ludwig"	1	"m"	1	1739613112
"austria"	"Maria"	1	"f"	1	461167678
"austria"	"Maria Anna"	1	"f"	1	-627584858
"austria"	"Maria Leopoldine"	1	"f"	1	1548905191
"austria"	"Maria Theresia"	1	"f"	3	-1307838731
"barbary_states"	"Abdul Hasan"	1	"m"	1	-25947026
"barbary_states"	"Abdy"	1	"m"	1	1009814772
"barbary_states"	"Ahmed Sharban"	1	"m"	1	1555761005
"barbary_states"	"Al-Husayn"	1	"m"	1	512823105
"barbary_states"	"Ali"	1	"m"	1	-481553344
"barbary_states"	"Ali Chauch"	1	"m"	1	-1851469098
"barbary_states"	"Al-Mustafa"	1	"m"	1	-1931671476
"barbary_states"	"Baba Ali"	1	"m"	1	-1055591525
"barbary_states"	"Baba Hassan"	1	"m"	1	-1116450973
"barbary_states"	"Deli Ibrahim"	1	"m"	1	1314779209
