version 2, schema quotes_tables
Text(string)	Author(string)	Quote_ID(string)	unknown1(optstring)
"Sir, I had little hopes on Monday last but to have supped in your cabin:\\n\\nbut it pleased God to order it otherwise. I am thankful for it. As for those cowardly captains who deserted you,\\n\\nhang them up, for by God they deserve it. Yours, Du Casse"	"jean_du_casse"	"1"	nil
"When the sword is once drawn, the passions of men observe no bounds of moderation."	"alexander_hamilton"	"2"	nil
"Why has government been instituted at all? Because the passions of men will\\n\\nnot conform to the dictates of reason and justice, without constraint."	"alexander_hamilton"	"3"	nil
"Let us recollect that peace or war will not always be left to our option;\\n\\nthat however moderate or unambitious we may be, we cannot count upon the moderation,\\n\\nor hope to extinguish the ambition of others."	"alexander_hamilton"	"4"	nil
"To err is human, to forgive divine."	"alexander_pope"	"5"	nil
"Pride, the never failing vice of fools."	"alexander_pope"	"6"	nil
"Wars are always fought for old men, by young boys."	"anon"	"7"	nil
"History repeats itself because no one was listening the first time."	"anon"	"8"	nil
"We make war that we may live in peace."	"aristotle"	"9"	nil
"The most persistent sound which reverberates through man’s history\\n\\nis the beating of war drums."	"arthur_koestler"	"10"	nil
"Intellect is invisible to the man who has none."	"arthur_schopenhauer"	"11"	nil
"Nothing except a battle lost can be half so melancholy as a battle won."	"arthur_wellesley_1"	"12"	nil
"The hardest thing of all for a soldier is to retreat."	"arthur_wellesley_1"	"13"	nil
"I don't know what effect these men will have upon the enemy,\\n\\nbut by God, they frighten me."	"arthur_wellesley_1"	"14"	nil
"Nothing except a battle lost can be half as melancholy as a battle won."	"arthur_wellesley_1"	"15"	nil
"The whole art of war consists in getting at what is on the other side of the hill."	"arthur_wellesley_1"	"16"	nil
"Up, Guards, and at 'em."	"arthur_wellesley_1"	"17"	nil
"The only thing I am afraid of is fear."	"arthur_wellesley_1"	"18"	nil
"Hard pounding, gentlemen. Let's see who pounds the longest."	"arthur_wellesley_1"	"19"	nil
"We always have been, we are, and I hope that we always shall be detested in France."	"arthur_wellesley_1"	"20"	nil
"As Lord Chesterfield said of the generals of his day,\\n\\n'I only hope that when the enemy reads the list of their names, he trembles as I do.'"	"arthur_wellesley_1"	"21"	nil
"I used to say of him that his presence on the field made the difference of forty thousand men."	"arthur_wellesley_2"	"22"	nil
"I never saw so many shocking bad hats in my life."	"arthur_wellesley_3"	"23"	nil
"Strange, that I came into the world with nothing,\\n\\nand now I am going away with this stupendous caravan of sin! Wherever I look, I see only God…\\n\\nI have sinned terribly, and I do not know what punishment awaits me."	"aurangzeb"	"24"	nil
"The measure of a man's character is what he would do if he knew he never would be found out."	"thomas_babington_macaulay"	"25"	nil
"I have been apt to think that there has never been, nor ever will be,\\n\\nany such thing as a good war, or a bad peace."	"benjamin_franklin"	"26"	nil
"They who can give up essential liberty to obtain a little temporary safety,\\n\\ndeserve neither liberty nor safety."	"benjamin_franklin"	"27"	nil
"He that would live in peace and at ease, must not speak all he knows or all he sees."	"benjamin_franklin"	"28"	nil
"Even peace may be purchased at too high a price."	"benjamin_franklin"	"29"	nil
"'Tis a common observation here that our cause is the cause of all mankind,\\n\\nand that we are fighting for their liberty in defending our own."	"benjamin_franklin"	"30"	nil
"You may delay, but time will not."	"benjamin_franklin"	"31"	nil
"Words may show a man's wit, but actions his meaning."	"benjamin_franklin"	"32"	nil
"There is no kind of dishonesty into which otherwise good people more easily\\n\\nand frequently fall than that of defrauding the government."	"benjamin_franklin"	"33"	nil
"Man will ultimately be governed by God or by tyrants."	"benjamin_franklin"	"34"	nil
"In this world nothing is certain but death and taxes."	"benjamin_franklin"	"35"	nil
"Democracy is two wolves and a lamb voting on what to have for lunch."	"benjamin_franklin"	"36"	nil
"By failing to prepare, you are preparing to fail."	"benjamin_franklin"	"37"	nil
"All mankind is divided into three classes: those that are immovable, those that are movable, and those that move."	"benjamin_franklin"	"38"	nil
"I have lived, Sir, a long time, and the longer I live, the more convincing proofs I see of this truth - that God Governs the affairs of men.\\n\\nAnd if a sparrow cannot fall to the ground without His notice, is it probable that an empire can rise without His aid?"	"benjamin_franklin"	"40"	nil
"To be thrown upon one's own resources,\\n\\nis to be cast into the very lap of fortune; for our faculties then undergo a development\\n\\nand display an energy of which they were previously unsusceptible."	"benjamin_franklin"	"41"	nil
"Rule 1, on page 1 of the book of war, is: 'Do not march on Moscow'…\\n\\nRule 2 is: 'Do not go fighting with your land armies in China.'"	"bernard_law_montgomery"	"42"	nil
"War always finds a way."	"bertolt_brecht"	"43"	nil
"War is nothing but a duel on a larger scale."	"carl_von_clausewitz"	"44"	nil
