version 1, schema region_unit_resources_tables
Region_IDRef(string)	Screen_name(string)
"afghans"	"North Western India"
"africa_west_indies"	"Africa, the West Indies, Middle East and Americas"
"americas"	"The Americas"
"americas_coastal"	"Coastal Americas"
"americas_inland"	"Inland Americas"
"anatolia"	"Anatolia"
"austria_home_regions"	"Central Europe"
"balkans"	"The Balkans"
"britain_home_regions"	"The British Isles"
"camels"	"North Africa, The Middle East, India"
"colonial_euro_factions"	"The Colonies"
"dahomey"	"North West Africa"
"denmark_home_regions"	"Scandinavia"
"desert"	"North Africa, The Middle East, North Western India"
"displaced_irish"	"Western Europe, The Americas"
"displaced_scots"	"Western Europe, The Americas"
"england"	"England"
"episodic_1"	"The Colonies"
"episodic_2"	"The Colonies"
"episodic_3"	"The Colonies"
"episodics"	"The Colonies"
"eua_alsace_lorraine"	"Alsace-Lorraine"
"eua_england"	"England"
"eua_maryland"	"Maryland"
"eua_new_england"	"Confederation of New England"
"eua_new_york"	"New York"
"eua_pennsylvania"	"Pennsylvania"
"eua_upper_canada"	"Upper Canada"
"eua_virginia"	"Virginia"
"europe"	"Europe"
"finland"	"Finland"
"france"	"France"
"galleys"	"The Mediterranean and Baltic Coasts"
"global"	"Worldwide"
"grenzers"	"Croatia"
"hindu"	"South Western India"
"holland_home_regions"	"The Netherlands"
"hungary"	"Hungary"
"india"	"India"
"ireland"	"Ireland"
"islam"	"Northern and Central India"
"italian_alps"	"The Italian Alps"
"kashmir"	"Kashmir"
"kurds"	"Central Middle East"
"lancers"	"France"
"med_coast"	"The Mediterranean Coast"
"middle_east"	"The Middle East"
"middle_east_and_europe"	"The Middle East, Europe"
"north_africa"	"North Africa"
"norway"	"Norway"
"peninsula"	"The Iberian Peninsula"
"poland_home_regions"	"Eastern Europe"
"prussia"	"Prussia"
"prussia_home_regions"	"The Baltic Coast"
"russia_home_regions"	"Russia"
"scotland"	"Scotland"
"scots"	"Scotland"
"siberia"	"Northern Russia"
"sikh"	"North Western India"
"spain"	"Spain"
"spain_home_regions"	"The Iberian Peninsula, Southern Italy"
"steppes"	"The Steppes"
"sweden_home_regions"	"Eastern Scandinavia"
"tatars"	"The Caucasus"
"uhlans"	"Central Europe"
"usa"	"North America"
"venice_home_regions"	"Northern Italy, The Balkans"
"west_indies"	"The West Indies"
"wallachia"	"Wallachia"
"bosnia"	"Bosnia"
"armenia"	"Armenia"
"palestine"	"Palestine"
"cairo"	"Cairo"
"rajput"	"Rajput"
