version 1, schema regions_tables
Region_ID(string)	Continent_IDRef(string)	R(int)	G(int)	B(int)
"acadia"	"cont_america_north"	125	93	51
"afghanistan"	"cont_india"	209	169	73
"ahmadnagar"	"cont_india"	222	162	0
"algiers"	"cont_middle_east"	7	0	140
"algonquin_territory"	"cont_america_north"	34	95	196
"alsace"	"cont_europe"	0	186	0
"amazonas"	"cont_impassable"	0	0	0
"anatolia"	"cont_middle_east"	222	146	0
"arabia"	"cont_impassable"	0	0	0
"arkhangelsk"	"cont_europe"	129	66	149
"armenia"	"cont_europe"	208	213	84
"astrakhan"	"cont_europe"	109	35	35
"austria"	"cont_europe"	147	0	0
"azerbaijan"	"cont_middle_east"	129	166	128
"bahamas"	"cont_america_north"	192	199	255
"baluchistan"	"cont_india"	136	107	38
"bashkira"	"cont_europe"	255	0	138
"bavaria"	"cont_europe"	220	202	0
"belarus"	"cont_europe"	127	134	229
"bengal"	"cont_india"	99	160	106
"berar"	"cont_india"	98	55	21
"bijapur"	"cont_india"	96	187	40
"bohemia"	"cont_europe"	0	44	157
"bosnia"	"cont_europe"	160	150	33
"bulgaria"	"cont_europe"	95	76	37
"carnatica"	"cont_india"	169	157	23
"carolinas"	"cont_america_north"	101	110	138
"central_africa"	"cont_impassable"	0	0	0
"ceylon"	"cont_india"	78	36	36
"chechenya-dagestan"	"cont_europe"	133	139	255
"cherokee_territory"	"cont_america_north"	199	168	143
"china"	"cont_impassable"	0	0	0
"congo_impassable"	"cont_impassable"	0	0	0
"corsica"	"cont_europe"	24	177	0
"courland"	"cont_europe"	130	0	135
"crimea"	"cont_europe"	229	145	240
"croatia"	"cont_europe"	146	0	151
"cuba"	"cont_america_latin"	116	108	85
"curacao"	"cont_america_latin"	148	98	45
"denmark"	"cont_europe"	187	0	0
"don_voisko"	"cont_europe"	190	179	60
"dutch_guyana"	"cont_america_latin"	172	169	101
"east_africa"	"cont_impassable"	0	0	0
"egypt"	"cont_middle_east"	66	86	186
"england"	"cont_europe"	158	0	0
"estonia_and_livonia"	"cont_europe"	157	157	204
"finland"	"cont_europe"	190	0	0
"flanders"	"cont_europe"	49	140	37
"florida"	"cont_america_north"	144	0	138
"france"	"cont_europe"	0	62	222
"french_guyana"	"cont_america_latin"	45	51	145
"galicia"	"cont_europe"	152	132	115
"genoa"	"cont_europe"	217	220	0
"georgia"	"cont_europe"	152	14	14
"georgia_usa"	"cont_america_north"	61	255	61
"gibraltar"	"cont_europe"	255	235	126
"great_plains"	"cont_america_north"	171	116	19
"greece"	"cont_europe"	90	68	144
"greenland"	"cont_impassable"	0	0	0
"guatemala"	"cont_america_latin"	215	183	6
"gujarat"	"cont_india"	86	110	81
"hannover"	"cont_europe"	221	203	0
"hausa"	"cont_impassable"	0	0	0
"himalayas"	"cont_impassable"	0	0	0
"hindukush"	"cont_impassable"	0	0	0
"hindustan"	"cont_india"	0	10	222
"hispaniola"	"cont_america_latin"	194	255	164
"hungary"	"cont_europe"	92	136	89
"huron_territory"	"cont_america_north"	219	212	0
"hyderabad"	"cont_india"	209	51	51
"iceland"	"cont_europe"	221	0	0
"indochina"	"cont_impassable"	0	0	0
"ingria"	"cont_europe"	155	140	67
"ireland"	"cont_europe"	2	128	2
"iroquois_territory"	"cont_america_north"	192	70	70
"ivory_coast"	"cont_impassable"	0	0	0
"jamaica"	"cont_america_latin"	161	91	91
"kaintuck_territory"	"cont_america_north"	74	45	21
"kalahari"	"cont_impassable"	0	0	0
"karelia"	"cont_europe"	52	178	0
"kashmir"	"cont_india"	205	18	18
"komi"	"cont_europe"	234	253	255
"labrador"	"cont_america_north"	142	171	26
"leeward_islands"	"cont_america_latin"	249	174	255
"lithuania"	"cont_europe"	193	255	181
"lower_louisiana"	"cont_america_north"	168	142	0
"maine"	"cont_america_north"	204	0	222
"malabar"	"cont_india"	206	208	22
"malta"	"cont_europe"	15	0	221
"malwa"	"cont_india"	255	141	141
"maryland"	"cont_america_north"	136	86	0
"mesopotamia"	"cont_middle_east"	174	144	144
"michigan_territory"	"cont_america_north"	127	211	132
"milan"	"cont_europe"	0	15	129
"moldavia"	"cont_europe"	163	75	75
"morea"	"cont_europe"	255	207	131
"morocco"	"cont_middle_east"	16	222	0
"muscovy"	"cont_europe"	101	71	71
"mysore"	"cont_india"	130	0	134
"naples"	"cont_europe"	236	213	97
"natives_algonquin_territory"	"cont_america_north"	78	47	106
"natives_apache_territory"	"cont_america_north"	239	189	141
"natives_black_hills"	"cont_america_north"	249	255	72
"natives_cheyenne_territory"	"cont_america_north"	112	79	197
"natives_chickasaw_territory"	"cont_america_north"	0	183	73
"natives_chihuahua"	"cont_america_north"	44	75	63
"natives_cree_territory"	"cont_america_north"	0	0	0
"natives_huron_territory"	"cont_america_north"	197	255	71
"natives_indiana_territory"	"cont_america_north"	185	255	163
"natives_labrador"	"cont_america_north"	172	255	223
"natives_michigan_territory"	"cont_america_north"	69	65	0
"natives_nw_territory"	"cont_america_north"	223	90	168
"natives_ohio_territory"	"cont_america_north"	105	0	91
"natives_ruperts_land"	"cont_america_north"	62	221	0
"natives_sioux_territory"	"cont_america_north"	100	109	0
"natives_u_louisiana"	"cont_america_north"	130	24	0
"natives_wichita_territory"	"cont_america_north"	232	222	61
"netherlands"	"cont_europe"	222	136	0
"new_andalusia"	"cont_america_latin"	75	115	74
"new_england"	"cont_america_north"	0	83	222
"new_france"	"cont_america_north"	82	90	186
"new_grenada"	"cont_america_latin"	146	194	130
"new_mexico"	"cont_america_north"	192	167	0
"new_spain"	"cont_america_latin"	221	0	0
"new_york"	"cont_america_north"	102	165	99
"newfoundland"	"cont_america_north"	161	153	107
"northwest_territories"	"cont_america_north"	255	204	220
"northwest_territorys"	"cont_impassable"	0	0	0
"norway"	"cont_europe"	221	193	0
"ontario"	"cont_america_north"	255	144	0
"orissa"	"cont_india"	172	111	55
"palestine"	"cont_middle_east"	0	210	0
"panama"	"cont_america_latin"	91	126	62
"pennsylvania"	"cont_america_north"	227	61	61
"persia"	"cont_middle_east"	44	44	145
"poland"	"cont_europe"	144	63	63
"portugal"	"cont_europe"	96	126	89
"prussia"	"cont_europe"	183	183	255
"punjab"	"cont_india"	60	255	0
"rajpootana"	"cont_india"	222	194	6
"rhineland"	"cont_europe"	133	0	153
"rift_valley"	"cont_impassable"	0	0	0
"rumelia"	"cont_europe"	30	145	109
"ruperts_land"	"cont_america_north"	117	220	25
"sahara"	"cont_impassable"	0	0	0
"sardinia"	"cont_europe"	0	16	217
"savoy"	"cont_europe"	28	170	0
"saxony"	"cont_europe"	222	131	0
"scotland"	"cont_europe"	141	136	82
"serbia"	"cont_europe"	229	120	120
"siberia"	"cont_impassable"	0	0	0
"silesia"	"cont_europe"	100	0	125
"sindh"	"cont_india"	222	0	0
"south_africa"	"cont_impassable"	0	0	0
"spain"	"cont_europe"	222	0	0
"sweden"	"cont_europe"	16	0	222
"syria"	"cont_middle_east"	169	155	0
"tatariya"	"cont_europe"	142	181	75
"tejas"	"cont_america_north"	7	109	0
"the_papal_states"	"cont_europe"	183	93	93
"transylvania"	"cont_europe"	36	111	122
"trinidad_tobago"	"cont_america_latin"	111	106	211
"tripoli"	"cont_middle_east"	157	153	59
"tunis"	"cont_middle_east"	200	0	207
"turkoman"	"cont_impassable"	0	0	0
"ukraine"	"cont_europe"	39	67	14
"unexplorable"	"cont_impassable"	0	0	0
"upper_louisiana"	"cont_america_north"	0	33	171
"venice"	"cont_europe"	6	157	24
"virginia"	"cont_america_north"	82	143	124
"west_pommerania"	"cont_europe"	114	61	18
"west_prussia"	"cont_europe"	173	198	75
"western_plain"	"cont_impassable"	0	0	0
"windward_islands"	"cont_america_latin"	209	209	209
"wurttemberg"	"cont_europe"	44	0	187
