version 1, schema sea_climate_details_tables
unknown1(string)	unknown2(float)	unknown3(float)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(float)	unknown8(float)	unknown9(float)	unknown10(float)	unknown11(float)	unknown12(float)	unknown13(float)
"lc_am_desert"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_great_plains"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_jungle"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_s_arid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_se_usa"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_tropical_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_us_east"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_as_temp_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_as_temp_s_arid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_as_trop_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_as_trop_s_arid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_boreal"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_desert"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_eu_north_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_eu_north_s_arid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_eu_south_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_eu_south_s_arid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_eu_central_humid"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_mediterranean"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_sand_desert"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_steppe"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_tundra"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_arctic"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_arctic_coast"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_lake"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_mediterranean"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_subtropic"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_subtropic_coast"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_temperate"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_temperate_coast"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_tropic"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"sc_tropic_coast"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
"lc_am_us_central"	0.020000001415610313	0.032	0.035	0.02200000174343586	0.063	0.08300000429153442	1	1	1	0.49	0.54	0.6500000357627869
