version 1, schema slots_art_tables
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(optstring)	unknown8(boolean)	unknown9(boolean)	unknown10(boolean)	unknown11(boolean)	unknown12(boolean)	unknown13(boolean)	unknown14(optstring)	unknown15(optstring)	unknown16(boolean)	unknown17(boolean)	unknown18(boolean)	unknown19(boolean)
"caribbean"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_caribbean"	nil	false	false	false	false
"caribbean"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_caribbean"	nil	false	false	false	false
"caribbean"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_caribbean"	nil	false	false	false	false
"caribbean"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_caribbean"	nil	false	false	false	false
"caribbean"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_caribbean"	nil	false	false	false	false
"corn"	"european"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_corn"	nil	false	false	false	false
"corn"	"indian"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_corn"	nil	false	false	false	false
"corn"	"middle_east"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_corn"	nil	false	false	false	false
"corn"	"tribal"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_corn"	nil	false	false	false	false
"corn"	"tribal_playable"	"na_corn_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_farm_corn"	nil	false	false	false	false
"cuba"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_cuba"	nil	false	false	false	false
"cuba"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_cuba"	nil	false	false	false	false
"cuba"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_cuba"	nil	false	false	false	false
"cuba"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_cuba"	nil	false	false	false	false
"cuba"	"tribal_playable"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_cuba"	nil	false	false	false	false
"egypt"	"european"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_egypt"	nil	false	false	false	false
"egypt"	"indian"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_egypt"	nil	false	false	false	false
"egypt"	"middle_east"	"ott_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_egypt"	nil	false	false	false	false
"egypt"	"tribal"	"eu_plantation_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"Slot_resource_plantation_egypt"	nil	false	false	false	false
