version 1, schema slots_gdp_values_tables
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(float)
"caribbean"	1	0	1
"caribbean"	2	0	1.25
"caribbean"	3	0	1.5
"caribbean"	4	0	1.75
"caribbean"	5	0	2
"corn"	1	0	1
"corn"	2	0	1.25
"corn"	3	0	1.5
"corn"	4	0	1.75
"corn"	5	0	2
"cuba"	1	0	1
"cuba"	2	0	1.25
"cuba"	3	0	1.5
"cuba"	4	0	1.75
"cuba"	5	0	2
"egypt"	1	0	1
"egypt"	2	0	1.25
"egypt"	3	0	1.5
"egypt"	4	0	1.75
"egypt"	5	0	2
"fish"	1	0	1
"fish"	2	0	1.25
"fish"	3	0	1.5
"fish"	4	0	1.75
"fish"	5	0	2
"fur"	1	0	1
"fur"	2	0	1.25
"fur"	3	0	1.5
"fur"	4	0	1.75
"fur"	5	0	2
"gems"	1	0	1
"gems"	2	0	1.25
"gems"	3	0	1.5
"gems"	4	0	1.75
"gems"	5	0	2
"gold"	1	0	1
"gold"	2	0	1.25
"gold"	3	0	1.5
"gold"	4	0	1.75
"gold"	5	0	2
"india_highlands"	1	0	1
"india_highlands"	2	0	1.25
"india_highlands"	3	0	1.5
"india_highlands"	4	0	1.75
"india_highlands"	5	0	2
"iron"	1	0	1
"iron"	2	0	1.25
"iron"	3	0	1.5
"iron"	4	0	1.75
"iron"	5	0	2
"port"	0	0	0.75
"port"	1	0	1
"port"	2	0	1.25
"port"	3	0	1.5
"port"	4	0	1.75
"port"	5	0	2
"rice"	1	0	1
"rice"	2	0	1.25
"rice"	3	0	1.5
"rice"	4	0	1.75
"rice"	5	0	2
"settlement"	1	0	1
"settlement"	2	0	1.25
"settlement"	3	0	1.5
"settlement"	4	0	1.75
"settlement"	5	0	2
"sheep"	1	0	1
"sheep"	2	0	1.25
"sheep"	3	0	1.5
"sheep"	4	0	1.75
"sheep"	5	0	2
"silver"	1	0	1
"silver"	2	0	1.25
"silver"	3	0	1.5
"silver"	4	0	1.75
"silver"	5	0	2
"southern_usa"	1	0	1
"southern_usa"	2	0	1.25
"southern_usa"	3	0	1.5
"southern_usa"	4	0	1.75
"southern_usa"	5	0	2
"timber"	1	0	1
"timber"	2	0	1.25
"timber"	3	0	1.5
"timber"	4	0	1.75
"timber"	5	0	2
"town"	0	0	0.75
"town"	1	0	1
"town"	2	0	1.25
"town"	3	0	1.5
"town"	4	0	1.75
"town"	5	0	2
"town-metal"	0	0	0.75
"town-metal"	1	0	1
"town-metal"	2	0	1.25
"town-metal"	3	0	1.5
"town-metal"	4	0	1.75
"town-metal"	5	0	2
"town-textile"	0	0	0.75
"town-textile"	1	0	1
"town-textile"	2	0	1.25
"town-textile"	3	0	1.5
"town-textile"	4	0	1.75
"town-textile"	5	0	2
"tropical_humid"	1	0	1
"tropical_humid"	2	0	1.25
"tropical_humid"	3	0	1.5
"tropical_humid"	4	0	1.75
"tropical_humid"	5	0	2
"wheat"	1	0	1
"wheat"	2	0	1.25
"wheat"	3	0	1.5
"wheat"	4	0	1.75
"wheat"	5	0	2
"wine"	1	0	1
"wine"	2	0	1.25
"wine"	3	0	1.5
"wine"	4	0	1.75
"wine"	5	0	2
