version 2, schema technologies_tables
Tech_ID(string)	Building_IDRef(string)	Tech_Tree_Position(int)	Research_Points(int)	Icon_x0020_Name(string)	Land_prestige(int)	Naval_prestige(int)	Economic_prestige(int)	Enlightenment_prestige(int)	Early_Availability(boolean)	Late_Availability(boolean)	Researched_Message_Picture(string)	unknown3(int)
"enlightenment_abolition_of_slavery"	"enlightened_university"	4	613	"enlightenment_abolition_of_slavery"	0	0	0	100	false	false	"culture_eu_university.tga"	0
"enlightenment_anti_clericism"	"enlightened_university"	6	627	"military_army_airguns"	0	0	0	0	false	false	"placeholder.tga"	0
"enlightenment_citizenship"	"enlightened_university"	0	389	"enlightenment_citizenship"	0	0	0	30	false	false	"culture_eu_university.tga"	0
"enlightenment_classical_economics"	"enlightened_university"	7	597	"enlightenment_classical_economics"	0	0	0	40	false	false	"culture_eu_university.tga"	0
"enlightenment_division_of_labour"	"college"	7	136	"enlightenment_division_of_labour"	0	0	0	20	false	false	"culture_eu_university.tga"	0
"enlightenment_empiricism"	"school"	4	38	"enlightenment_empiricism"	0	0	0	10	false	false	"culture_eu_university.tga"	1
"enlightenment_free_trade_doctrine"	"enlightened_university"	3	405	"enlightenment_free_trade_doctrine"	0	0	20	0	false	false	"culture_eu_university.tga"	0
"enlightenment_government_by_consent"	"college"	5	105	"enlightenment_government_by_consent"	0	0	0	20	false	false	"culture_eu_university.tga"	0
"enlightenment_joint_stock_companies"	"university"	3	189	"enlightenment_joint_stock_companies"	0	0	10	0	false	false	"culture_eu_university.tga"	0
"enlightenment_national_debt"	"university"	6	267	"enlightenment_national_debt"	0	0	20	0	false	false	"culture_eu_university.tga"	0
"enlightenment_physiocracy"	"school"	7	46	"enlightenment_physiocracy"	0	0	0	0	false	false	"culture_eu_university.tga"	0
"enlightenment_rights_of_man"	"university"	4	267	"enlightenment_rights_of_man"	0	0	0	20	false	false	"culture_eu_university.tga"	1
"enlightenment_secular_humanism"	"enlightened_university"	2	447	"enlightenment_secular_humanism"	0	0	0	30	false	false	"culture_eu_university.tga"	0
"enlightenment_separation_of_powers"	"university"	1	174	"enlightenment_separation_of_powers"	0	0	0	20	false	false	"culture_eu_university.tga"	0
"enlightenment_social_contract"	"school"	5	56	"enlightenment_social_contract"	0	0	0	10	false	false	"culture_eu_university.tga"	0
"enlightenment_utilitarianism"	"college"	4	125	"enlightenment_utilitarianism"	0	0	0	10	false	false	"culture_eu_university.tga"	1
"enlightenment_wealth_of_nations"	"university"	7	267	"enlightenment_wealth_of_nations"	0	0	20	0	false	false	"culture_eu_university.tga"	0
"industry_agriculture_advanced_irrigation"	"wheat_clearances"	3	234	"industry_agriculture_advanced_irrigation"	0	0	10	0	false	false	"agriculture_eu.tga"	0
"industry_agriculture_common_land_enclosures"	"wheat_peasant_farms"	4	45	"industry_agriculture_common_land_enclosures"	0	0	0	0	false	false	"agriculture_eu.tga"	1
"industry_agriculture_four_field_crop_rotation"	"wheat_tenanted_farms"	4	149	"industry_agriculture_four_field_crop_rotation"	0	0	0	0	false	false	"agriculture_eu.tga"	1
"industry_agriculture_improved_animal_husbandry"	"wheat_peasant_farms"	5	52	"industry_agriculture_improved_animal_husbandry"	0	0	0	0	false	false	"agriculture_eu.tga"	0
"industry_agriculture_seed_planting_drill"	"wheat_clearances"	2	234	"industry_agriculture_seed_planting_drill"	0	0	10	0	false	false	"agriculture_eu.tga"	0
"industry_agriculture_selective_breeding"	"wheat_clearances"	4	350	"industry_agriculture_selective_breeding"	0	0	0	0	false	false	"agriculture_eu.tga"	1
"industry_agriculture_steam-pumped_land_drainage"	"wheat_clearances"	7	371	"industry_agriculture_steam-pumped_land_drainage"	0	0	10	0	false	false	"agriculture_eu.tga"	0
"industry_agriculture_threshing_machine"	"wheat_great_estates"	1	538	"industry_agriculture_threshing_machine"	0	0	10	0	false	false	"agriculture_eu.tga"	0
"industry_metal_basic_steam_pump"	"iron_workshops"	0	52	"industry_metal_basic_steam_pump"	0	0	0	0	false	false	"steam.tga"	0
"industry_metal_coke_blast_furnace"	"iron_workshops"	4	97	"industry_metal_coke_blast_furnace"	0	0	10	0	false	false	"steam.tga"	1
"industry_metal_interchangeable_parts"	"steam_engine_factory"	0	583	"industry_metal_interchangeable_parts"	0	0	20	0	false	false	"steam.tga"	0
