version 1, schema trait_to_excluded_cultures_tables
Trait_IDRef(string)	Culture(string)
"C_Admiral_Attacker_Bad"	"tribal"
"C_Admiral_Attacker_Good"	"tribal"
"C_Admiral_Defender_Bad"	"tribal"
"C_Admiral_Defender_Good"	"tribal"
"C_Admiral_Drunkard"	"middle_east"
"C_Admiral_Sobriety"	"middle_east"
"C_General_Americas_Bad"	"tribal"
"C_General_Americas_Good"	"tribal"
"C_General_Drunkard"	"middle_east"
"C_General_India_Bad"	"indian"
"C_General_India_Bad"	"tribal"
"C_General_India_Good"	"indian"
"C_General_India_Good"	"tribal"
"C_General_of_Artillery"	"tribal"
"C_General_of_Infantry"	"tribal"
"C_General_Siege_Attack_Bad"	"tribal"
"C_General_Siege_Attack_Good"	"tribal"
"C_General_Siege_Defend_Bad"	"tribal"
"C_General_Siege_Defend_Good"	"tribal"
"C_General_Warlord"	"european"
"C_General_Warlord"	"indian"
"C_General_Warlord"	"middle_east"
"C_Honourable_Service"	"indian"
"C_Honourable_Service"	"middle_east"
"C_Honourable_Service"	"tribal"
"C_Personal_Piety"	"tribal"
"C_Sausage_Vice"	"indian"
"C_Sausage_Vice"	"middle_east"
"C_Sausage_Vice"	"tribal"
"C_Tribal_General_Attacker_Bad"	"european"
"C_Tribal_General_Attacker_Bad"	"indian"
"C_Tribal_General_Attacker_Bad"	"middle_east"
"C_Tribal_General_Attacker_Good"	"european"
"C_Tribal_General_Attacker_Good"	"indian"
"C_Tribal_General_Attacker_Good"	"middle_east"
"C_Tribal_General_Bad_Field_Commander"	"european"
"C_Tribal_General_Bad_Field_Commander"	"indian"
"C_Tribal_General_Bad_Field_Commander"	"middle_east"
"C_Tribal_General_Bloody"	"european"
"C_Tribal_General_Bloody"	"indian"
"C_Tribal_General_Bloody"	"middle_east"
"C_Tribal_General_Born_Soldier"	"european"
"C_Tribal_General_Born_Soldier"	"indian"
"C_Tribal_General_Born_Soldier"	"middle_east"
"C_Tribal_General_Brave"	"european"
"C_Tribal_General_Brave"	"indian"
"C_Tribal_General_Brave"	"middle_east"
"C_Tribal_General_Cherokee"	"european"
"C_Tribal_General_Cherokee"	"indian"
"C_Tribal_General_Cherokee"	"middle_east"
"C_Tribal_General_Coward"	"european"
"C_Tribal_General_Coward"	"indian"
"C_Tribal_General_Coward"	"middle_east"
"C_Tribal_General_Defender_Bad"	"european"
"C_Tribal_General_Defender_Bad"	"indian"
"C_Tribal_General_Defender_Bad"	"middle_east"
"C_Tribal_General_Defender_Good"	"european"
"C_Tribal_General_Defender_Good"	"indian"
"C_Tribal_General_Defender_Good"	"middle_east"
"C_Tribal_General_Good_Field_Commander"	"european"
"C_Tribal_General_Good_Field_Commander"	"indian"
"C_Tribal_General_Good_Field_Commander"	"middle_east"
"C_Tribal_General_Hates_Europeans"	"european"
"C_Tribal_General_Hates_Europeans"	"indian"
"C_Tribal_General_Hates_Europeans"	"middle_east"
"C_Tribal_General_Hates_Europeans_Reset"	"european"
"C_Tribal_General_Hates_Europeans_Reset"	"indian"
"C_Tribal_General_Hates_Europeans_Reset"	"middle_east"
"C_Tribal_General_Huron"	"european"
"C_Tribal_General_Huron"	"indian"
"C_Tribal_General_Huron"	"middle_east"
"C_Tribal_General_Iroquois"	"european"
"C_Tribal_General_Iroquois"	"indian"
"C_Tribal_General_Iroquois"	"middle_east"
"C_Tribal_General_Lampooned"	"european"
"C_Tribal_General_Lampooned"	"indian"
"C_Tribal_General_Lampooned"	"middle_east"
"C_Tribal_General_Mad"	"european"
"C_Tribal_General_Mad"	"indian"
"C_Tribal_General_Mad"	"middle_east"
"C_Tribal_General_of_Cavalry"	"european"
"C_Tribal_General_of_Cavalry"	"indian"
"C_Tribal_General_of_Cavalry"	"middle_east"
"C_Tribal_General_Plains"	"european"
"C_Tribal_General_Plains"	"indian"
"C_Tribal_General_Plains"	"middle_east"
"C_Tribal_General_Plains_Coup"	"european"
"C_Tribal_General_Plains_Coup"	"indian"
"C_Tribal_General_Plains_Coup"	"middle_east"
"C_Tribal_General_Press_Hero"	"european"
"C_Tribal_General_Press_Hero"	"indian"
"C_Tribal_General_Press_Hero"	"middle_east"
"C_Tribal_General_Pueblo"	"european"
"C_Tribal_General_Pueblo"	"indian"
"C_Tribal_General_Pueblo"	"middle_east"
"C_Tribal_General_Siege_Attack_Bad"	"european"
"C_Tribal_General_Siege_Attack_Bad"	"indian"
"C_Tribal_General_Siege_Attack_Bad"	"middle_east"
"C_Tribal_General_Siege_Attack_Good"	"european"
"C_Tribal_General_Siege_Attack_Good"	"indian"
"C_Tribal_General_Siege_Attack_Good"	"middle_east"
"C_Tribal_General_Siege_Defend_Bad"	"european"
"C_Tribal_General_Siege_Defend_Bad"	"indian"
"C_Tribal_General_Siege_Defend_Bad"	"middle_east"
"C_Tribal_General_Siege_Defend_Good"	"european"
"C_Tribal_General_Siege_Defend_Good"	"indian"
"C_Tribal_General_Siege_Defend_Good"	"middle_east"
"C_Tribal_Leader_Catholic"	"european"
"C_Tribal_Leader_Catholic"	"indian"
"C_Tribal_Leader_Catholic"	"middle_east"
"C_Tribal_Leader_Clever_Stick"	"european"
"C_Tribal_Leader_Clever_Stick"	"indian"
"C_Tribal_Leader_Clever_Stick"	"middle_east"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"european"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"indian"
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"middle_east"
"C_Tribal_Leader_Debauched"	"european"
"C_Tribal_Leader_Debauched"	"indian"
"C_Tribal_Leader_Debauched"	"middle_east"
"C_Tribal_Leader_Dullard"	"european"
"C_Tribal_Leader_Dullard"	"indian"
"C_Tribal_Leader_Dullard"	"middle_east"
"C_Tribal_Leader_Foreign_Tastes"	"european"
"C_Tribal_Leader_Foreign_Tastes"	"indian"
"C_Tribal_Leader_Foreign_Tastes"	"middle_east"
"C_Tribal_Leader_Harsh_Ruler"	"european"
"C_Tribal_Leader_Harsh_Ruler"	"indian"
"C_Tribal_Leader_Harsh_Ruler"	"middle_east"
"C_Tribal_Leader_Hindu"	"european"
"C_Tribal_Leader_Hindu"	"indian"
"C_Tribal_Leader_Hindu"	"middle_east"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"european"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"indian"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"middle_east"
"C_Tribal_Leader_Islamic"	"european"
"C_Tribal_Leader_Islamic"	"indian"
"C_Tribal_Leader_Islamic"	"middle_east"
"C_Tribal_Leader_Mad"	"european"
"C_Tribal_Leader_Mad"	"indian"
"C_Tribal_Leader_Mad"	"middle_east"
"C_Tribal_Leader_Orthodox"	"european"
"C_Tribal_Leader_Orthodox"	"indian"
"C_Tribal_Leader_Orthodox"	"middle_east"
"C_Tribal_Leader_Peacemaker"	"european"
"C_Tribal_Leader_Peacemaker"	"indian"
"C_Tribal_Leader_Peacemaker"	"middle_east"
"C_Tribal_Leader_Plains_Cursed"	"european"
"C_Tribal_Leader_Plains_Cursed"	"indian"
"C_Tribal_Leader_Plains_Cursed"	"middle_east"
"C_Tribal_Leader_Protestant"	"european"
"C_Tribal_Leader_Protestant"	"indian"
"C_Tribal_Leader_Protestant"	"middle_east"
"C_Tribal_Minister_Agriculturalist"	"european"
"C_Tribal_Minister_Agriculturalist"	"indian"
"C_Tribal_Minister_Agriculturalist"	"middle_east"
"C_Tribal_Minister_Army_Good"	"european"
"C_Tribal_Minister_Army_Good"	"indian"
"C_Tribal_Minister_Army_Good"	"middle_east"
"C_Tribal_Minister_Industrialist"	"european"
"C_Tribal_Minister_Industrialist"	"indian"
"C_Tribal_Minister_Industrialist"	"middle_east"
"C_Tribal_Minister_Trader"	"european"
"C_Tribal_Minister_Trader"	"indian"
"C_Tribal_Minister_Trader"	"middle_east"
"C_Tribal_Scout_Good_Army_Sabotage"	"european"
"C_Tribal_Scout_Good_Army_Sabotage"	"indian"
"C_Tribal_Scout_Good_Army_Sabotage"	"middle_east"
"C_Tribal_Scout_Good_Assassin"	"european"
"C_Tribal_Scout_Good_Assassin"	"indian"
"C_Tribal_Scout_Good_Assassin"	"middle_east"
"C_Tribal_Scout_Good_Spy"	"european"
"C_Tribal_Scout_Good_Spy"	"indian"
"C_Tribal_Scout_Good_Spy"	"middle_east"
"C_Tribal_Scout_Sabot_Good"	"european"
"C_Tribal_Scout_Sabot_Good"	"indian"
"C_Tribal_Scout_Sabot_Good"	"middle_east"
"C_Tribal_Shaman_Likes_Mushrooms"	"european"
"C_Tribal_Shaman_Likes_Mushrooms"	"indian"
"C_Tribal_Shaman_Likes_Mushrooms"	"middle_east"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"european"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"indian"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"middle_east"
"C_Tribal_Shaman_Powwow"	"european"
"C_Tribal_Shaman_Powwow"	"indian"
"C_Tribal_Shaman_Powwow"	"middle_east"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"european"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"indian"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"middle_east"
"C_Tribal_Shaman_Research_Military"	"european"
"C_Tribal_Shaman_Research_Military"	"indian"
"C_Tribal_Shaman_Research_Military"	"middle_east"
