version 1, schema unit_abilities_tables
Unit_Ability_ID(string)	Defensive_Ability(boolean)	Obsoletes(optstring)	Researchable_Technology_x0020__x0028__x003F__x0029_(boolean)
"chevaux_de_frise"	true	nil	false
"diamond_formation"	false	"wedge_formation"	true
"earthworks"	true	nil	false
"fire_and_advance"	false	nil	true
"fire_mounted"	false	nil	true
"fire_volley"	false	nil	false
"fougasse_basic"	true	nil	false
"fougasse_improved"	true	"fougasse_basic"	true
"gabionade"	true	nil	false
"improved_platoon_fire_grouped"	true	"platoon_fire_grouped"	true
"mass_fire"	false	"fire_volley"	true
"pike_square_formation"	false	nil	true
"pike_wall_formation"	false	nil	true
"platoon_fire_grouped"	false	"rank_fire"	true
"plug_bayonets"	false	nil	true
"rank_fire"	false	"mass_fire"	true
"ring_bayonets"	false	"plug_bayonets"	true
"socket_bayonets"	false	"ring_bayonets"	true
"square_formation"	false	"pike_square_formation"	true
"wedge_formation"	false	nil	true
"wooden_stakes"	false	nil	false
"light_infantry_behaviour"	false	nil	true
