version 1, schema unit_regiment_names_tables
Regiment_Name(string)	Unit_x0020_Class(string)	unknown2(string)	unknown3(int)
"names_english"	"artillery_fixed"	"euro_artillery_units_fixed_001"	-1
"names_english"	"artillery_foot"	"euro_artillery_units_052"	1
"names_english"	"artillery_foot"	"euro_artillery_units_053"	2
"names_english"	"artillery_foot"	"euro_artillery_units_054"	3
"names_english"	"artillery_foot"	"euro_artillery_units_055"	4
"names_english"	"artillery_foot"	"euro_artillery_units_056"	5
"names_english"	"artillery_foot"	"euro_artillery_units_057"	6
"names_english"	"artillery_foot"	"euro_artillery_units_058"	7
"names_english"	"artillery_foot"	"euro_artillery_units_059"	8
"names_english"	"artillery_foot"	"euro_artillery_units_060"	9
"names_english"	"artillery_foot"	"euro_artillery_units_061"	10
"names_english"	"artillery_foot"	"euro_artillery_units_062"	11
"names_english"	"artillery_foot"	"euro_artillery_units_063"	12
"names_english"	"artillery_foot"	"euro_artillery_units_064"	13
"names_english"	"artillery_foot"	"euro_artillery_units_065"	14
"names_english"	"artillery_foot"	"euro_artillery_units_066"	15
"names_english"	"artillery_foot"	"euro_artillery_units_067"	16
"names_english"	"artillery_foot"	"euro_artillery_units_068"	17
"names_english"	"artillery_foot"	"euro_artillery_units_069"	18
"names_english"	"artillery_foot"	"euro_artillery_units_070"	19
"names_english"	"artillery_foot"	"euro_artillery_units_071"	20
"names_english"	"artillery_foot"	"euro_artillery_units_072"	21
"names_english"	"artillery_foot"	"euro_artillery_units_073"	22
"names_english"	"artillery_foot"	"euro_artillery_units_074"	23
"names_english"	"artillery_foot"	"euro_artillery_units_075"	24
"names_english"	"artillery_foot"	"euro_artillery_units_076"	25
"names_english"	"artillery_foot"	"euro_artillery_units_077"	26
"names_english"	"artillery_foot"	"euro_artillery_units_078"	27
"names_english"	"artillery_foot"	"euro_artillery_units_079"	28
"names_english"	"artillery_foot"	"euro_artillery_units_080"	29
"names_english"	"artillery_foot"	"euro_artillery_units_081"	30
"names_english"	"artillery_foot"	"euro_artillery_units_082"	31
"names_english"	"artillery_foot"	"euro_artillery_units_083"	32
"names_english"	"artillery_foot"	"euro_artillery_units_084"	33
"names_english"	"artillery_foot"	"euro_artillery_units_085"	34
"names_english"	"artillery_foot"	"euro_artillery_units_086"	35
"names_english"	"artillery_foot"	"euro_artillery_units_087"	36
"names_english"	"artillery_foot"	"euro_artillery_units_088"	37
"names_english"	"artillery_foot"	"euro_artillery_units_089"	38
"names_english"	"artillery_foot"	"euro_artillery_units_090"	39
"names_english"	"artillery_foot"	"euro_artillery_units_091"	40
"names_english"	"artillery_foot"	"euro_artillery_units_092"	41
"names_english"	"artillery_foot"	"euro_artillery_units_093"	42
"names_english"	"artillery_foot"	"euro_artillery_units_094"	43
"names_english"	"artillery_foot"	"euro_artillery_units_095"	44
"names_english"	"artillery_foot"	"euro_artillery_units_096"	45
"names_english"	"artillery_foot"	"euro_artillery_units_097"	46
"names_english"	"artillery_foot"	"euro_artillery_units_098"	47
"names_english"	"artillery_foot"	"euro_artillery_units_099"	48
"names_english"	"artillery_foot"	"euro_artillery_units_100"	49
"names_english"	"artillery_foot"	"euro_artillery_units_101"	50
"names_english"	"artillery_foot"	"euro_artillery_units_102"	-1
"names_english"	"artillery_horse"	"euro_artillery_units_001"	1
"names_english"	"artillery_horse"	"euro_artillery_units_002"	2
"names_english"	"artillery_horse"	"euro_artillery_units_003"	3
"names_english"	"artillery_horse"	"euro_artillery_units_004"	4
"names_english"	"artillery_horse"	"euro_artillery_units_005"	5
