version 1, schema unit_stats_naval_crew_to_factions_tables
Faction_IDRef(string)	Crew_IDRef(string)	Crew_IDRef2(string)	Crew_IDRef3(string)	Crew_IDRef4(string)	Crew_IDRef5(string)	Crew_IDRef6(string)	Crew_IDRef7(string)
"afghanistan"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"american_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"amerind_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
"austria"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"austrian_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_officer1"
"barbary_rebels"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"barbary_states"	"barbary_marine"	"barbary_seaman"	"barbary_guncrew"	"ottoman_naval_admiral"	"ottoman_naval_commodore"	"ottoman_officer1"	"ottoman_officer2"
"bavaria"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"britain"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"british_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"british_settler_rebels"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"chechenya_dagestan"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"euro_naval_admiral"	"euro_naval_commodore"	"euro_naval_officer1"	"euro_naval_flutist"
"cherokee"	"euro_marine"	"euro_seaman"	"euro_guncrew"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"
