version 2, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)
"1st_rate"	10	20	220	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	270	0.7	3	420	0.7	5	595	0.95	3	420	0.7	5	595	0.95	1	26	0.1	5	595	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	70	0.95	false	false	false	"Low"	8368
"1st_rate_admiral"	12	20	220	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	27	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	true	false	"Low"	8948
"1st_rate_admiral_american"	13	20	220	"1st_rate_admiral_american"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	20	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	297	0.7	3	462	0.7	5	654	0.95	3	462	0.7	5	654	0.95	1	28	0.1	5	654	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	77	0.95	false	true	false	"Low"	9408
"1st_rate_admiral_british"	13	20	220	"1st_rate_admiral_british"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	25	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	297	0.7	3	462	0.7	5	654	0.95	3	462	0.7	5	654	0.95	1	28	0.1	5	654	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	77	0.95	false	true	false	"Low"	9408
"1st_rate_admiral_french"	12	20	220	"1st_rate_admiral_french"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	40	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	13	0.9	23	0.6	130	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	1.6275	3.9375	4.4625	4.9875	4.4625	3.9375	2.7825	1.2075	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	31	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	true	false	"Low"	9062
"1st_rate_admiral_russian"	12	20	220	"1st_rate_admiral_russian"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	31	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	true	false	"Low"	8948
"1st_rate_admiral_spanish"	12	20	220	"1st_rate_admiral_spanish"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	31	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	true	false	"Low"	8948
"1st_rate_american"	11	20	220	"1st_rate_admiral_american"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	20	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	12	0.7	23	0.6	128	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	27	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	false	false	"Low"	8772
"1st_rate_british"	11	20	220	"1st_rate_admiral_british"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	30	25	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	9	12	0.7	23	0.6	132	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.55	3.75	4.25	4.75	4.25	3.75	2.65	1.15	true	3	283	0.7	3	441	0.7	5	624	0.95	3	441	0.7	5	624	0.95	1	27	0.1	5	624	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	73	0.95	false	false	false	"Low"	8772
"1st_rate_french"	10	20	220	"1st_rate_admiral_french"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	204	40	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	13	0.9	23	0.6	128	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	1.6275	3.9375	4.4625	4.9875	4.4625	3.9375	2.7825	1.2075	true	3	270	0.7	3	420	0.7	5	595	0.95	3	420	0.7	5	595	0.95	1	30	0.1	5	595	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	70	0.95	false	false	false	"Low"	8568
