version 1, schema units_to_exclusive_faction_permissions_tables
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"12_lber_howitzer"	"crimean_khanate"	false
"12_lber_land_cannon"	"crimean_khanate"	false
"12_lber_ship_fort_cannon"	"crimean_khanate"	false
"18_lber_ship_fort_cannon"	"crimean_khanate"	false
"1st_rate"	"britain"	false
"1st_rate"	"crimean_khanate"	false
"1st_rate"	"france"	false
"1st_rate"	"knights_stjohn"	false
"1st_rate"	"russia"	false
"1st_rate"	"spain"	false
"1st_rate"	"united_states"	false
"1st_rate_admiral"	"britain"	false
"1st_rate_admiral"	"crimean_khanate"	false
"1st_rate_admiral"	"france"	false
"1st_rate_admiral"	"russia"	false
"1st_rate_admiral"	"spain"	false
"1st_rate_admiral"	"united_states"	false
"1st_rate_admiral_american"	"united_states"	true
"1st_rate_admiral_british"	"britain"	true
"1st_rate_admiral_french"	"france"	true
"1st_rate_admiral_russian"	"russia"	true
"1st_rate_admiral_spanish"	"spain"	true
"1st_rate_american"	"united_states"	true
"1st_rate_british"	"britain"	true
"1st_rate_french"	"france"	true
"1st_rate_russian"	"russia"	true
"1st_rate_spanish"	"spain"	true
"24_lber_howitzer"	"crimean_khanate"	false
"24_lber_land_cannon"	"crimean_khanate"	false
"24_lber_land_cannon_(demi_cannon)"	"crimean_khanate"	false
"24_lber_ship_fort_cannon"	"crimean_khanate"	false
"2nd_rate"	"britain"	false
"2nd_rate"	"crimean_khanate"	false
"2nd_rate"	"france"	false
"2nd_rate"	"knights_stjohn"	false
"2nd_rate"	"spain"	false
"2nd_rate"	"united_states"	false
"2nd_rate_american"	"united_states"	true
"2nd_rate_british"	"britain"	true
"2nd_rate_french"	"france"	true
"2nd_rate_spanish"	"spain"	true
"3_lber_land_cannon_galloper"	"crimean_khanate"	false
"3rd_rate"	"britain"	false
"3rd_rate"	"crimean_khanate"	false
"3rd_rate"	"france"	false
"3rd_rate"	"knights_stjohn"	false
"3rd_rate"	"russia"	false
"3rd_rate"	"spain"	false
"3rd_rate"	"united_states"	false
"3rd_rate_admiral"	"britain"	false
"3rd_rate_admiral"	"crimean_khanate"	false
"3rd_rate_admiral"	"france"	false
"3rd_rate_admiral"	"russia"	false
"3rd_rate_admiral"	"spain"	false
"3rd_rate_admiral"	"united_states"	false
"3rd_rate_admiral_american"	"united_states"	true
"3rd_rate_admiral_british"	"britain"	true
"3rd_rate_admiral_french"	"france"	true
"3rd_rate_admiral_russian"	"russia"	true
"3rd_rate_admiral_spanish"	"spain"	true
"3rd_rate_american"	"united_states"	true
"3rd_rate_british"	"britain"	true
"3rd_rate_french"	"france"	true
"3rd_rate_russian"	"russia"	true
"3rd_rate_spanish"	"spain"	true
"4_inch_mortar"	"crimean_khanate"	false
"4th_rate"	"britain"	false
"4th_rate"	"crimean_khanate"	false
"4th_rate"	"france"	false
"4th_rate"	"spain"	false
"4th_rate"	"united_states"	false
"4th_rate_american"	"united_states"	true
"4th_rate_british"	"britain"	true
"4th_rate_french"	"france"	true
"4th_rate_spanish"	"spain"	true
"5th_rate"	"britain"	false
"5th_rate"	"crimean_khanate"	false
"5th_rate"	"france"	false
"5th_rate"	"knights_stjohn"	false
"5th_rate"	"russia"	false
"5th_rate"	"spain"	false
"5th_rate"	"united_states"	false
"5th_rate_admiral"	"britain"	false
"5th_rate_admiral"	"crimean_khanate"	false
"5th_rate_admiral"	"france"	false
"5th_rate_admiral"	"pirates"	true
"5th_rate_admiral"	"russia"	false
"5th_rate_admiral"	"spain"	false
"5th_rate_admiral"	"united_states"	false
"5th_rate_admiral_american"	"united_states"	true
"5th_rate_admiral_british"	"britain"	true
"5th_rate_admiral_french"	"france"	true
"5th_rate_admiral_russian"	"russia"	true
"5th_rate_admiral_spanish"	"spain"	true
"5th_rate_american"	"united_states"	true
"5th_rate_british"	"britain"	true
"5th_rate_french"	"france"	true
"5th_rate_russian"	"russia"	true
"5th_rate_spanish"	"spain"	true
"6_lber_land_cannon_galloper"	"crimean_khanate"	false
"6th_rate"	"britain"	false
"6th_rate"	"crimean_khanate"	false
"6th_rate"	"france"	false
"6th_rate"	"russia"	false
"6th_rate"	"spain"	false
"6th_rate"	"united_states"	false
"6th_rate_american"	"united_states"	true
"6th_rate_british"	"britain"	true
"6th_rate_french"	"france"	true
"6th_rate_russian"	"crimean_khanate"	false
"6th_rate_russian"	"poland_lithuania"	false
"6th_rate_russian"	"russia"	true
"6th_rate_spanish"	"spain"	true
"9_lber_land_cannon_(saker)"	"crimean_khanate"	false
"american_heavy_frigate"	"united_states"	true
"armed_citizenry_matchlocks_europe"	"crimean_khanate"	false
"armed_citizenry_matchlocks_middle_east"	"crimean_khanate"	true
"armed_citizenry_middle_east"	"crimean_khanate"	true
"armed_citizenry_pirates"	"pirates"	true
"barbary_xebec"	"barbary_rebels"	true
"barbary_xebec"	"pirates"	true
"bomb_ketch"	"britain"	false
"bomb_ketch"	"crimean_khanate"	false
"bomb_ketch"	"france"	false
"bomb_ketch"	"knights_stjohn"	false
"bomb_ketch"	"spain"	false
"bomb_ketch_american"	"united_states"	true
"bomb_ketch_british"	"britain"	true
"bomb_ketch_french"	"france"	true
"bomb_ketch_spanish"	"spain"	true
"brig"	"britain"	false
"brig"	"crimean_khanate"	false
"brig"	"france"	false
"brig"	"knights_stjohn"	false
"brig"	"pirates"	true
"brig"	"spain"	false
"brig"	"united_states"	false
"brig_american"	"united_states"	true
"brig_british"	"britain"	true
"brig_french"	"france"	true
"brig_spanish"	"spain"	true
"carronade_frigate"	"britain"	false
"carronade_frigate"	"crimean_khanate"	false
"carronade_frigate"	"france"	false
"carronade_frigate"	"knights_stjohn"	false
"carronade_frigate"	"spain"	false
"carronade_frigate"	"united_states"	false
"carronade_frigate_american"	"united_states"	true
"carronade_frigate_british"	"britain"	true
"carronade_frigate_french"	"france"	true
"carronade_frigate_spanish"	"spain"	true
"cossack_cavalry"	"poland_lithuania"	false
"cossack_cavalry_hetman"	"poland_lithuania"	false
"cossack_infantry"	"poland_lithuania"	false
"east_grenade_launchers"	"ottomans"	true
"elite_2nd_hussars"	"prussia"	true
"elite_blue_guard"	"netherlands"	true
"elite_bosniaks"	"prussia"	true
"elite_frei-korps"	"prussia"	true
"elite_garde_a_cheval"	"russia"	true
"elite_garde_du_corp"	"netherlands"	true
"elite_guard_grenadiers"	"poland_lithuania"	true
"elite_horse_guards"	"britain"	true
"elite_hungarian_grenadiers"	"austria"	true
"elite_legion_united_states"	"united_states"	true
"elite_siemenovski_foot_guards"	"russia"	true
"elite_swiss_guard"	"france"	true
"elite_usmc"	"united_states"	true
"elite_walloon_guards"	"spain"	true
"episodic_1_arquebusiers"	"virginia_colonists"	true
"episodic_1_native_american_archers"	"powhatan"	true
"episodic_1_native_american_warriors"	"powhatan"	true
"episodic_1_settlers"	"virginia_colonists"	true
"episodic_2_24_lber_land_cannon"	"britain"	true
"episodic_2_24_lber_land_cannon"	"france"	true
"episodic_2_24_lber_land_cannon"	"virginia"	true
"episodic_2_5th_rate"	"britain"	true
"episodic_2_5th_rate"	"france"	true
"episodic_2_5th_rate"	"virginia"	true
"episodic_2_brig"	"britain"	true
"episodic_2_brig"	"france"	true
"episodic_2_brig"	"virginia"	true
"episodic_2_colonial_militia"	"britain"	true
"episodic_2_colonial_militia"	"virginia"	true
"episodic_2_french_marines"	"france"	true
"episodic_2_light_cavalry_colonial"	"britain"	true
"episodic_2_light_cavalry_colonial"	"france"	true
"episodic_2_light_cavalry_colonial"	"virginia"	true
"episodic_2_line_infantry"	"britain"	true
"episodic_2_line_infantry"	"virginia"	true
"episodic_2_natam_musketeers"	"cherokee"	true
"episodic_2_natam_musketeers"	"huron"	true
"episodic_2_natam_musketeers"	"iroquoi"	true
"episodic_2_native_american_musketeer_auxiliary"	"britain"	true
"episodic_2_native_american_musketeer_auxiliary"	"france"	true
"episodic_2_native_american_musketeer_auxiliary"	"virginia"	true
"episodic_2_rangers"	"britain"	true
"episodic_2_rangers"	"virginia"	true
"episodic_2_sloop"	"britain"	true
"episodic_2_sloop"	"france"	true
"episodic_2_sloop"	"virginia"	true
"episodics_armed_citizenry_europe"	"crimean_khanate"	false
"episodics_armed_citizenry_matchlocks_europe"	"crimean_khanate"	false
"eua_1st_delaware"	"united_states"	true
"eua_1st_maryland"	"united_states"	true
"eua_2nd_dragoons"	"united_states"	true
"eua_2nd_new_york"	"united_states"	true
"eua_33rd_foot"	"britain"	true
"eua_brunswick_dragoons"	"britain"	true
"eua_brunswick_dragoons"	"hannover"	true
"eua_hessian_grenadiers"	"britain"	true
"eua_hessian_grenadiers"	"hannover"	true
"eua_kings_royal"	"britain"	true
"eua_lees_legion"	"united_states"	true
"eua_morgans_rifles"	"united_states"	true
"eua_pulaskis_legion"	"united_states"	true
"eua_royal_deux_ponts"	"france"	true
"eua_royal_welch"	"britain"	true
"eua_select_marksmen"	"britain"	true
"eua_tarleton_dragoons"	"britain"	true
"euro_african_infantry"	"crimean_khanate"	false
"euro_company_cavalry"	"crimean_khanate"	false
"euro_company_infantry"	"crimean_khanate"	false
"euro_cuirassiers"	"austria"	false
"euro_cuirassiers"	"russia"	true
"euro_cuirassiers_austria"	"austria"	true
