version 1, schema units_to_special_editions_juncs_tables
unknown1(string)	Unit_IDRef(string)
"preorder_1"	"sp_ed_deaths_head_hussar"
"preorder_2"	"sp_ed_constitution"
"preorder_2"	"sp_ed_constitution_admiral"
"preorder_3"	"sp_ed_dahomey_amazon"
"special_edition"	"sp_ed_ghoorkas"
"special_edition"	"sp_ed_guerillas"
"special_edition"	"sp_ed_hms_victory"
"special_edition"	"sp_ed_hms_victory_admiral"
"special_edition"	"sp_ed_organ_gun"
"special_edition"	"sp_ed_rogers_rangers"
"special_edition"	"sp_ed_wild_geese"
