version 1, schema warscape_animated_tables
Filename_x0020_WA_ID(string)	Path(string)	Category(string)
"african_slaver_musketeers"	"unitmodels/textures/african_slaver_musketeers"	"animation"
"african_tribal"	"UnitModels/Textures/african_tribal"	"animation"
"all_resource_mining_gems_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_gold_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_iron_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_silver_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"All_upgrade_available_icon"	"RigidModels/CampaignBuildings/CampaignProps/Textures"	"campaign_building"
"american_bridge_basic_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_refined_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_church_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house01b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house02_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house02b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house03_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house03b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house04_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house04b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house05_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house05b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house06_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house06b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_monument_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_ruin01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural01b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural02_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural02b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural03_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural03b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_townhall_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_townhall_piece01_destruct02"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_warehouse_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"Ammo_Caisson_destruction"	"EngineModels/Textures"	"animation"
"ancient_field_cannon_24lb"	"Enginemodels/textures/"	"animation"
"ancient_field_cannon_24lb_destruction"	"Enginemodels/textures/"	"animation"
"ancient_field_cannon_9lb"	"Enginemodels/textures/"	"animation"
"ancient_field_cannon_9lb_destruction"	"Enginemodels/textures/"	"animation"
"armed_citizenry_africa"	"unitmodels/textures/armed_citizenry_africa"	"animation"
"armed_citizenry_europe"	"unitmodels/textures/armed_citizenry_europe"	"animation"
"austrian_hungarian_grenadiers"	"unitmodels/textures/austrian_hungarian_grenadiers"	"animation"
"barbary_pirates"	"UnitModels/Textures/barbary_pirates"	"animation"
"Bashi_Bazouks"	"UnitModels/Textures/bashi_bazouks"	"animation"
"british_horse_guards"	"unitmodels/textures/british_horse_guards"	"animation"
"camel_base"	"UnitModels/camel/Textures/camel_base"	"animation"
"campaign_eu_trade_ship"	"RigidModels\\CampaignTradeRoutes"	"campaign_animation"
"campaign_eu_tradecart"	"RigidModels\\CampaignTradeRoutes"	"campaign_animation"
"Campaign_euro_admiral"	"unitmodels/textures/Campaign_euro_admiral"	"animation"
"Campaign_Euro_Catholic_Priest"	"unitmodels/textures/Campaign_Euro_Catholic_Priest"	"animation"
"campaign_euro_colonel"	"unitmodels/textures/campaign_euro_colonel"	"animation"
"campaign_euro_general"	"UnitModels/Textures/campaign_euro_general"	"animation"
"campaign_euro_gentleman"	"unitmodels/textures/campaign_euro_gentleman"	"animation"
"Campaign_euro_orthodox_missionary"	"unitmodels/textures/Campaign_euro_orthodox_missionary"	"animation"
"Campaign_euro_protestant_missionary"	"unitmodels/textures/Campaign_euro_protestant_missionary"	"animation"
"Campaign_euro_rake"	"unitmodels/textures/Campaign_euro_rake"	"animation"
"campaign_indian_brahmin"	"unitmodels/textures/campaign_indian_brahmin"	"animation"
"campaign_indian_colonel"	"UnitModels\\Textures\\campaign_indian_colonel"	"animation"
