version 1, schema _kv_fatigue_tables, guid 443b47a4-1ecc-4006-ac75-d182d7baa3bd
Key(string)	Value(float)
"charging"	15
"climbing_walls"	15
"combat"	8
"fatigue_resistant_delta"	-1
"gradient_shallow"	7
"gradient_shallow_movement_multiplier"	100
"gradient_steep"	15
"gradient_steep_movement_multiplier"	150
"gradient_very_steep"	25
"gradient_very_steep_movement_multiplier"	200
"idle"	-8
"idle_in_building"	-10
"idle_rain"	-4
"idle_snow"	-2
"limbering"	6
"ready"	2
"reloading"	3
"reloading_artillery"	10
"running"	6
"running_artillery_horse"	6
"running_cavalry"	2
"running_cavalry_light"	1
"shooting"	6
"threshold_active"	1800
"threshold_exhausted"	21600
"threshold_fresh"	0
"threshold_max"	28800
"threshold_tired"	7200
"threshold_very_tired"	10800
"threshold_winded"	3600
"tight_formation"	6
"under_fire_artillery"	6
"under_fire_small_arms"	5
"walking"	0
"walking_artillery"	2
"walking_horse_artillery"	2
"working"	20
