version 1, schema _kv_morale_tables, guid e3356b04-98a8-4ebd-8667-9982584534c9
Key(string)	Value(float)
"army_destruction_alliance_strength_ratio"	0.3
"army_destruction_alliance_strength_ratio_mp"	0.18
"army_destruction_enemy_strength_ratio"	3.2
"army_destruction_enemy_strength_ratio_mp"	3.2
"artillery_near_miss_distance_squared"	144
"blood_bonus_12"	7
"blood_bonus_5"	2
"blood_bonus_7"	4
"broken_finish_base_timeout"	300
"cavalry_effect_range"	20
"charge_bonus"	5
"charge_timeout"	80
"defensive_fort"	6
"enemy_effect_range"	80
"extended_casualties_penalty_10"	-2
"extended_casualties_penalty_15"	-3
"extended_casualties_penalty_33"	-4
"extended_casualties_penalty_50"	-8
"extended_casualties_penalty_80"	-15
"fear_effect_range"	40
"fighting_cavalry"	-4
"general_aura_radius"	75
"losing_combat"	-2
"losing_combat_significantly"	-3
"morale_base"	0
"neighbour_effect_range"	160
"open_flanks_effect_range"	200
"recent_casualties_penalty_10"	-1
"recent_casualties_penalty_15"	-2
"recent_casualties_penalty_33"	-5
"recent_casualties_penalty_50"	-15
"recent_casualties_penalty_6"	-1
"recent_casualties_shock_threshold"	20
"routing_unit_effect_distance_flank"	100
"routing_unit_effect_distance_front"	75
"surprise_timeout"	200
"total_casualties_penalty_20"	-1
"total_casualties_penalty_40"	-3
"total_casualties_penalty_60"	-8
"total_casualties_penalty_80"	-30
"total_casualties_penalty_90"	-30
"ume_concerned_army_destruction"	-20
"ume_concerned_attacked_by_artillery"	-1
"ume_concerned_attacked_by_projectile"	-2
"ume_concerned_captain_died_recently"	-1
"ume_concerned_damaged_by_artillery"	-4
"ume_concerned_exhausted"	-4
"ume_concerned_flanks_exposed_multiple"	-5
"ume_concerned_flanks_exposed_single"	-2
"ume_concerned_general_dead"	-2
"ume_concerned_general_dead_ai"	-1
"ume_concerned_general_dead_mp"	-1
"ume_concerned_general_died_recently"	-4
"ume_concerned_general_died_recently_ai"	-2
"ume_concerned_general_died_recently_mp"	-2
"ume_concerned_general_fled_recently"	-4
"ume_concerned_general_fled_recently_ai"	-2
"ume_concerned_general_fled_recently_mp"	-2
"ume_concerned_horses_frightened"	-4
"ume_concerned_night_battle_unprepared"	-1
"ume_concerned_panic"	-50
"ume_concerned_surprised"	-4
"ume_concerned_tired"	-1
"ume_concerned_under_friendly_fire"	-6
"ume_concerned_unit_frightened"	-4
"ume_concerned_very_tired"	-2
"ume_encouraged_column_formation"	5
"ume_encouraged_flanks_secure"	4
"ume_encouraged_fortification"	6
"ume_encouraged_fortification_compromised"	3
"ume_encouraged_inspired"	4
"ume_encouraged_on_the_hill"	3
"ums_broken_threshold_lower"	-30
"ums_broken_threshold_upper"	-2
"ums_confident_threshold_lower"	11
"ums_confident_threshold_upper"	27
"ums_eager_threshold_lower"	24
"ums_eager_threshold_upper"	41
"ums_impetuous_threshold_lower"	36
"ums_shaken_threshold_lower"	2
"ums_shaken_threshold_upper"	8
"ums_steady_threshold_lower"	6
"ums_steady_threshold_upper"	13
"ums_wavering_threshold_lower"	-4
"ums_wavering_threshold_upper"	5
"warcry_effect_range"	225
"was_attacked_in_flank"	-3
"was_attacked_in_front"	0
"was_attacked_in_rear"	-6
"waver_base_timeout"	36
"winning_combat"	2
"winning_combat_significantly"	3
"winning_combat_slightly"	1
