version 1, schema _kv_naval_morale_tables, guid 31b7bf7a-dc8f-4cc8-a95e-b10db83be422
Key(string)	Value(float)
"admiral_influence_range"	400
"kill_and_damage_bonus_12"	4
"kill_and_damage_bonus_5"	2
"kill_and_damage_bonus_7"	1
"ship_broken_finish_base_timeout"	7200
"ship_casualty_surrender_threshold"	6
"ship_extended_casualties_penalty_13"	-6
"ship_extended_casualties_penalty_22"	-8
"ship_extended_casualties_penalty_30"	-10
"ship_extended_casualties_penalty_50"	-12
"ship_extended_casualties_penalty_7"	-1
"ship_extended_damage_penalty_10"	-2
"ship_extended_damage_penalty_20"	-3
"ship_extended_damage_penalty_40"	-5
"ship_extended_damage_penalty_5"	-1
"ship_fear_range"	180
"ship_inspiration_range"	180
"ship_morale_base"	0
"ship_neighbourhood_range"	300
"ship_operational_guns_penalty_40"	-4
"ship_operational_guns_penalty_75"	-8
"ship_recent_casualties_penalty_13"	-4
"ship_recent_casualties_penalty_2"	-2
"ship_recent_casualties_penalty_22"	-8
"ship_recent_casualties_penalty_30"	-12
"ship_recent_casualties_penalty_7"	-2
"ship_recent_casualties_shock_threshold"	30
"ship_recent_damage_penalty_10"	-2
"ship_recent_damage_penalty_15"	-3
"ship_recent_damage_penalty_30"	-6
"ship_recent_damage_penalty_6"	-1
"ship_total_casualties_penalty_10"	-4
"ship_total_casualties_penalty_20"	-6
"ship_total_casualties_penalty_40"	-8
"ship_total_casualties_penalty_5"	-2
"ship_total_casualties_penalty_60"	-10
"ship_total_damage_penalty_10"	-2
"ship_total_damage_penalty_20"	-3
"ship_total_damage_penalty_40"	-5
"ship_total_damage_penalty_5"	-1
"ship_total_damage_penalty_60"	-12
"ship_waver_base_timeout"	120
"sme_concerned_admiral_dead"	-2
"sme_concerned_admiral_dead_ai"	-2
"sme_concerned_admiral_dead_mp"	-2
"sme_concerned_admiral_died_recently"	-4
"sme_concerned_admiral_died_recently_ai"	-4
"sme_concerned_admiral_died_recently_mp"	-4
"sme_concerned_admiral_fled_recently"	-3
"sme_concerned_admiral_fled_recently_ai"	-3
"sme_concerned_admiral_fled_recently_mp"	-3
"sme_concerned_demasted"	-7
"sme_concerned_frightened"	-6
"sme_concerned_on_fire"	-2
"sme_concerned_panic"	-30
"sme_concerned_rear_attacked"	-4
"sme_concerned_rear_exposed"	-1
"sme_concerned_under_attack"	-2
"sme_encouraged_boarding"	2
"sme_encouraged_inspired"	5
"sme_encouraged_rear_secure"	3
"sms_broken_threshold_lower"	-25
"sms_broken_threshold_upper"	-4
"sms_confident_threshold_lower"	8
"sms_confident_threshold_upper"	20
"sms_eager_threshold_lower"	20
"sms_shaken_threshold_lower"	-3
"sms_shaken_threshold_upper"	4
"sms_steady_threshold_lower"	0
"sms_steady_threshold_upper"	10
"sms_wavering_threshold_lower"	-5
"sms_wavering_threshold_upper"	-1
