version 1, schema _kv_special_ability_effects_tables, guid 9d9014c2-19bb-4e12-9794-22626cd1a6f0
key(string)	value(float)
"special_ability_bonus_active_hide_charge_attack"	14
"special_ability_bonus_active_hide_melee_attack"	5
"special_ability_bonus_active_hide_spot_range"	0.2
"special_ability_bonus_artillery_accuracy"	40
"special_ability_bonus_artillery_rof"	60
"special_ability_bonus_banzai_charge_attack"	8
"special_ability_bonus_banzai_melee_attack"	3
"special_ability_bonus_banzai_move_speed"	0.6
"special_ability_bonus_banzai_naval_melee_attack"	2
"special_ability_bonus_banzai_naval_melee_defence"	2
"special_ability_bonus_battle_speed_naval_move_speed"	0.4
"special_ability_bonus_cantabrian_circle_marksmanship"	30
"special_ability_bonus_cantabrian_circle_reload_rate"	20
"special_ability_bonus_encourage_fleet_marksmanship"	50
"special_ability_bonus_encourage_fleet_melee_attack"	6
"special_ability_bonus_encourage_fleet_melee_defence"	6
"special_ability_bonus_encourage_fleet_reload_rate"	50
"special_ability_bonus_faster_reload_reload_rate"	40
"special_ability_bonus_faster_rowing_move_speed"	0.5
"special_ability_bonus_ganbatte_accuracy"	10
"special_ability_bonus_ganbatte_melee_attack"	2
"special_ability_bonus_ganbatte_morale"	2
"special_ability_bonus_ganbatte_reload"	10
"special_ability_bonus_heroic_assault_fatigue_reduction"	-8000
"special_ability_bonus_heroic_assault_morale"	4
"special_ability_bonus_heroic_assault_speed"	0.55
"special_ability_bonus_inspire_unit_marksmanship"	15
"special_ability_bonus_inspire_unit_melee_attack"	3
"special_ability_bonus_inspire_unit_morale"	10
"special_ability_bonus_inspire_unit_reload_rate"	10
"special_ability_bonus_kill_zone_accuracy"	30
"special_ability_bonus_overcharge_engines_move_speed"	0.8
"special_ability_bonus_rally_max"	2
"special_ability_bonus_rally_min"	2
"special_ability_bonus_rally_naval_non_routing"	1
"special_ability_bonus_rally_naval_routing_threshold"	6
"special_ability_bonus_rally_non_routing"	1
"special_ability_bonus_rally_routing_threshold"	6
"special_ability_bonus_ramming_speed_move_speed"	1
"special_ability_bonus_range_increase_max_range"	25
"special_ability_bonus_rapid_advance_charge_attack"	1
"special_ability_bonus_rapid_advance_speed"	1.4
"special_ability_bonus_rapid_volley_reload_rate"	15
"special_ability_bonus_second_wind_fatigue_reduction"	-11000
"special_ability_bonus_speed_increase"	1
"special_ability_bonus_stand_firm_melee_defence"	3
"special_ability_bonus_suppression_fire_reload"	20
"special_ability_bonus_tower_faster_firing_reload_rate"	-0.5
"special_ability_bonus_tower_faster_reload_rate"	-0.5
"special_ability_bonus_tower_rapid_volley_reload_rate"	-0.5
"special_ability_bonus_we_stand_and_fight_melee_attack"	2
"special_ability_bonus_we_stand_and_fight_reload_rate"	5
"special_ability_penalty_anti_rally"	-1
"special_ability_penalty_banzai_charge_attack"	0
"special_ability_penalty_banzai_melee_attack"	0
"special_ability_penalty_banzai_move_speed"	0
"special_ability_penalty_blinding_grenade_accuracy"	-75
"special_ability_penalty_blinding_grenade_melee_attack"	-10
"special_ability_penalty_blinding_grenade_tracking_duration"	8
"special_ability_penalty_faster_reload_reload_rate"	-20
"special_ability_penalty_overcharge_engines_move_speed"	-0.7
"special_ability_penalty_ramming_speed_turn_rate"	-0.8
"special_ability_penalty_stand_firm_move_speed"	0
"special_ability_penalty_suppression_fire_accuracy"	-20
"special_ability_penalty_suppression_fire_morale"	-4
"special_ability_penalty_suppression_fire_move_speed"	0.5
"special_ability_penalty_tower_faster_firing_reload_rate"	5
"special_ability_penalty_warcry_melee_defence"	-2
"special_ability_penalty_warcry_morale"	-4
"special_ability_penalty_warcry_move_speed"	-0.35
"special_ability_penalty_warcry_naval_melee_attack"	-15
"special_ability_penalty_warcry_naval_melee_defence"	-15
"special_ability_penalty_whistling_arrows_melee_attack"	-3
"special_ability_penalty_whistling_arrows_morale"	-4
"special_ability_penalty_whistling_arrows_naval_melee_attack"	-3
"special_ability_penalty_whistling_arrows_naval_morale"	-18
"special_ability_penalty_whistling_arrows_naval_reload_rate"	-35
"special_ability_penalty_whistling_arrows_reload_rate"	-35
"special_ability_penalty_whistling_arrows_tracking_duration"	25
"special_ability_unary_blinding_grenade_amount_for_full_effect"	0.5
"special_ability_unary_blinding_grenade_min_amount_for_effect"	0.1
"special_ability_unary_faster_reload_detrimental_effect"	0.5
"special_ability_unary_overcharge_explode_chance"	0.05
