version 2, schema achievements_tables, guid 98be6fc7-31bb-4ffe-bfe9-84ba10f0175f
Key(string)	unknown2(optstring)
"ACHIEVEMENT_A_5_CLAN_REGIONS_SIMULTANEOUSLY_OWNED"	"crest_ach_won_5_clanmap_regions"
"ACHIEVEMENT_A_CAPTURE_15_AVATAR_CAMPAIGN_REGIONS"	"legs_morning_glory"
"ACHIEVEMENT_A_CAPTURE_ALL_AVATAR_CAMPAIGN_REGIONS"	"sashimono_toyotomi_hideyoshi"
"ACHIEVEMENT_A_CREATE_SECOND_AVATAR"	nil
"ACHIEVEMENT_A_DEFEAT_BOSHIN_ARMY_WITH_SHOGUN"	nil
"ACHIEVEMENT_A_DEFEAT_SHOGUN_ARMY_WITH_BOSHIN"	nil
"ACHIEVEMENT_A_EARN_20_CLAN_TOKENS"	"crest_ach_won_clanmap_season"
"ACHIEVEMENT_A_JOIN_A_CLAN"	"crest_ach_joined_clan"
"ACHIEVEMENT_A_MAX_OUT_AVATAR_SKILLS_TREE"	"thigh_uesugi_kenshin"
"ACHIEVEMENT_A_MAX_POINTS_IN_BOSHIN_SKILLS_TREE"	nil
"ACHIEVEMENT_A_VETERAN_UNIT_LEVEL_10"	"mask_oda_nobunaga"
"ACHIEVEMENT_A_VETERAN_UNIT_LEVEL_5"	"arms_golden_scale_cuirass"
"ACHIEVEMENT_B_4_ASHIGARU_UNITS_WHOLE_BATTLE"	"crest_ach_1_drop_in_battle"
"ACHIEVEMENT_B_AIZU_1"	nil
"ACHIEVEMENT_B_ALL_UNITS_HIDDEN"	"crest_ach_1_land_battle"
"ACHIEVEMENT_B_AS_DEFENDER_RECAPTURE_A_TOWER"	nil
"ACHIEVEMENT_B_BEAT_CA_STAFF_VIRAL"	"arms_uesugi_kenshin"
"ACHIEVEMENT_B_BURN_CASTLE_DOWN_AND_WIN_BATTLE"	nil
"ACHIEVEMENT_B_FIELD_ENTIRELY_HEROES"	"arms_oda_nobunaga"
"ACHIEVEMENT_B_HAKODATE_1"	nil
"ACHIEVEMENT_B_HAKODATE_WON"	nil
"ACHIEVEMENT_B_HOLD_ALL_KEY_BUILDINGS_2_MINS"	"crest_multicolour_laced"
"ACHIEVEMENT_B_KILL_10000_MEN_WITH_ARTILLERY"	nil
"ACHIEVEMENT_B_MIYAKO_BAY_1"	nil
"ACHIEVEMENT_B_OSAKA_1"	nil
"ACHIEVEMENT_B_PLAY_10_BATTLES"	"helm_kawari_kabuto"
"ACHIEVEMENT_B_RALLY_5_UNITS"	"crest_ach_25_percent_all_drops"
"ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_RAMMING"	nil
"ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_TORPEDOES"	nil
"ACHIEVEMENT_B_SINK_HMS_WARRIOR"	nil
"ACHIEVEMENT_B_TOBA_FUSHIMI_1"	nil
"ACHIEVEMENT_B_TOBA_FUSHIMI_2"	nil
"ACHIEVEMENT_B_UENO_1"	nil
"ACHIEVEMENT_B_WIN_100_RANKED_BATTLES"	"helm_tokugawa_ieyasu"
"ACHIEVEMENT_B_WIN_10_ATTACKING_SIEGES"	"shoulders_tokugawa_ieyasu"
"ACHIEVEMENT_B_WIN_10_DEFENDING_SIEGES"	"legs_tokugawa_ieyasu"
"ACHIEVEMENT_B_WIN_200_MULTIPLAYER_BATTLES"	"helm_hosokawa_tadaoki"
"ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES"	"crest_ach_50_percent_all_drops"
