version 4, schema agent_culture_details_tables, guid 969819cf-4946-443d-9f2a-c735933a72c4
Agent_IDRef(string)	Culture(string)	Model_x0020_Path(string)	Bodyguard_Unit(optstring)	unknown5(int)	unknown6(optstring)	unknown7(int)	unknown8(optstring)	unknown9(optstring)
"Eastern_Scholar"	"egy_middle_east"	"default_general"	nil	0	nil	0	nil	nil
"Eastern_Scholar"	"indian"	"default_general"	nil	1	nil	0	nil	nil
"admiral"	"egy_middle_east"	"default_ship"	nil	10	nil	0	nil	nil
"admiral"	"european"	"default_ship"	nil	11	nil	0	nil	nil
"General"	"japanese"	"default_general"	"Gen_Taisho"	118	nil	2	"shogun_taisho"	nil
"admiral"	"indian"	"default_ship"	nil	12	nil	0	nil	nil
"General"	"japanese"	"default_general"	"Gen_Taisho"	125	nil	0	"shogun_taisho"	nil
"colonel"	"japanese"	"default_general"	nil	127	nil	4	"shogun_taisho"	nil
"admiral"	"middle_east"	"default_ship"	nil	13	nil	0	nil	nil
"colonel"	"japanese"	"default_general"	nil	133	nil	2	"shogun_taisho"	nil
"geisha"	"japanese"	"geisha"	nil	138	"Spring"	0	"shogun_geisha"	"agent_geisha"
"assassin"	"egy_middle_east"	"ninja"	nil	14	nil	0	nil	nil
"geisha"	"japanese"	"geisha"	nil	141	"Autumn"	0	"shogun_geisha"	"agent_geisha"
"assassin"	"indian"	"ninja"	nil	15	nil	0	nil	nil
"geisha"	"japanese"	"geisha"	nil	150	"Winter"	0	"shogun_geisha"	"agent_geisha"
"assassin"	"middle_east"	"ninja"	nil	16	nil	0	nil	nil
"ninja"	"japanese"	"ninja_3"	nil	168	nil	4	"shogun_ninja"	"agent_ninja"
"bandit"	"european"	"ninja"	nil	17	nil	0	nil	nil
"ninja"	"japanese"	"ninja"	nil	173	nil	2	"shogun_ninja"	"agent_ninja"
"bandit"	"indian"	"ninja"	nil	18	nil	0	nil	nil
"monk"	"japanese"	"monk"	nil	183	nil	4	"shogun_monk"	"agent_monk"
"monk"	"japanese"	"monk"	nil	185	nil	2	"shogun_monk"	"agent_monk"
"missionary"	"japanese"	"missionary"	nil	186	nil	4	"shogun_priest"	"agent_missionary"
"missionary"	"japanese"	"missionary"	nil	187	nil	2	"shogun_priest"	"agent_missionary"
"bandit"	"middle_east"	"ninja"	nil	19	nil	0	nil	nil
"metsuke"	"japanese"	"metsuke"	nil	190	nil	4	"shogun_katana"	"agent_metsuke"
"metsuke"	"japanese"	"metsuke"	nil	194	nil	2	"shogun_katana"	"agent_metsuke"
"Eastern_Scholar"	"middle_east"	"default_general"	nil	2	nil	0	nil	nil
"bandit"	"tribal"	"ninja"	nil	20	nil	0	nil	nil
"minister"	"japanese"	"default_captain"	nil	200	nil	0	nil	nil
"admiral"	"japanese"	"default_ship"	nil	202	nil	0	nil	nil
"ikko_monk"	"japanese"	"monk"	nil	205	nil	0	"shogun_monk"	"agent_monk"
"gempei_monk"	"japanese"	"monk"	nil	206	nil	0	"shogun_monk"	nil
"captain"	"egy_european"	"default_captain"	nil	21	nil	0	nil	nil
"gempei_spy"	"japanese"	"ninja"	nil	213	nil	0	"shogun_ninja"	nil
"captain"	"egy_middle_east"	"default_captain"	nil	22	nil	0	nil	nil
"gempei_inspector"	"japanese"	"metsuke"	nil	222	nil	0	"shogun_metsuke"	nil
"captain"	"european"	"default_captain"	nil	23	nil	0	nil	nil
"gempei_dancer"	"japanese"	"geisha"	nil	230	nil	0	"shogun_geisha"	nil
"boshin_veteran"	"japanese"	"metsuke"	nil	232	nil	0	"shogun_metsuke"	nil
"boshin_shinsengumi"	"japanese"	"metsuke"	nil	233	nil	0	"shogun_metsuke"	nil
"boshin_shinobi"	"japanese"	"ninja"	nil	239	"Shinobi are masters of subterfuge; they conduct espionage, sabotage and assassinations. Their ability to infiltrate and observe also makes them invaluable army scouts and enables the establishment of spy networks in their clan’s settlements."	0	"shogun_ninja"	nil
"captain"	"indian"	"default_captain"	nil	24	nil	0	nil	nil
"boshin_ishinshishi"	"japanese"	"metsuke"	nil	246	nil	0	"shogun_metsuke"	nil
"boshin_geisha"	"japanese"	"geisha"	nil	247	nil	0	"shogun_geisha"	nil
"captain"	"middle_east"	"default_captain"	nil	25	nil	0	nil	nil
