version 1, schema agent_to_agent_abilities_tables, guid fd04c868-021c-4535-845a-caf5ffe0ae23
Agent_IDRef(string)	Agent_Ability_IDRef(string)	Ability_Active(int)
"Eastern_Scholar"	"can_research"	1
"General"	"can_attack_land"	1
"General"	"can_build_fort"	1
"Protestant_Missionary"	"can_build_religious"	1
"Protestant_Missionary"	"can_convert"	1
"admiral"	"can_attack_naval"	1
"assassin"	"can_assassinate"	1
"assassin"	"can_sabotage"	1
"assassin"	"can_sabotage_army"	1
"assassin"	"can_spy"	1
"boshin_geisha"	"can_distract_garrison"	1
"boshin_geisha"	"can_sabotage_army"	1
"boshin_geisha"	"can_seduce"	1
"boshin_ishinshishi"	"can_assassinate"	1
"boshin_ishinshishi"	"can_bribe"	1
"boshin_ishinshishi"	"can_incite_revolt"	1
"boshin_shinobi"	"can_assassinate"	1
"boshin_shinobi"	"can_sabotage"	1
"boshin_shinobi"	"can_sabotage_army"	1
"boshin_shinobi"	"can_spy"	1
"boshin_shinsengumi"	"can_assassinate"	1
"boshin_shinsengumi"	"can_bribe"	1
"boshin_shinsengumi"	"can_incite_revolt"	1
"boshin_veteran"	"can_assassinate"	1
"boshin_veteran"	"can_sabotage"	1
"boshin_veteran"	"can_sabotage_army"	1
"captain"	"can_attack_naval"	1
"catholic_missionary"	"can_build_religious"	1
"catholic_missionary"	"can_convert"	1
"catholic_missionary"	"can_convert_character"	1
"colonel"	"can_attack_land"	1
"geisha"	"can_assassinate"	9
"gempei_dancer"	"can_sabotage_army"	1
"gempei_dancer"	"can_seduce"	1
"gempei_inspector"	"can_bribe"	1
"gempei_inspector"	"can_hunt_down"	1
"gempei_monk"	"can_convert_character"	1
"gempei_monk"	"can_demoralise_army"	1
"gempei_monk"	"can_incite_revolt"	1
"gempei_spy"	"can_assassinate"	1
"gempei_spy"	"can_sabotage"	1
"gempei_spy"	"can_sabotage_army"	1
"gempei_spy"	"can_spy"	1
"gentleman"	"can_duel"	1
"gentleman"	"can_receive_duel"	1
"gentleman"	"can_research"	1
"ikko_monk"	"can_convert"	1
"ikko_monk"	"can_convert_character"	1
"ikko_monk"	"can_demoralise_army"	1
"ikko_monk"	"can_incite_revolt"	1
"indian_missionary"	"can_build_religious"	1
"indian_missionary"	"can_convert"	1
"metsuke"	"can_bribe"	1
"metsuke"	"can_hunt_down"	1
"middle_east_missionary"	"can_build_religious"	1
"middle_east_missionary"	"can_convert"	1
"missionary"	"can_convert"	1
"missionary"	"can_convert_character"	1
"missionary"	"can_demoralise_army"	1
"missionary"	"can_incite_revolt"	1
"monk"	"can_convert"	1
"monk"	"can_convert_character"	1
"monk"	"can_demoralise_army"	1
"monk"	"can_incite_revolt"	1
"ninja"	"can_assassinate"	1
"ninja"	"can_sabotage"	1
"ninja"	"can_sabotage_army"	1
"ninja"	"can_spy"	1
"orthodox_missionary"	"can_build_religious"	1
"orthodox_missionary"	"can_convert"	1
"pirate"	"can_attack_land"	1
"pirate"	"can_attack_naval"	1
"rake"	"can_assassinate"	1
"rake"	"can_receive_duel"	1
"rake"	"can_sabotage"	1
"rake"	"can_sabotage_army"	1
"rake"	"can_spy"	1
