version 1, schema ancillary_to_effects_tables, guid 5ec487eb-ca4b-45f0-b345-bd4e73d112f7
Ancillary_IDRef(string)	Effect_IDRef(string)	Value(float)
"s2_anc_bosh_hovercraft_eels"	"bos_tech_agent_action_cost_mod_foreign_veteran"	-10
"s2_anc_bosh_hovercraft_eels"	"bos_tech_agent_foreign_veteran_success_mod"	-5
"s2_anc_pdlc_daimyo_civil_judge"	"repression_character"	1
"s2_anc_pdlc_daimyo_civil_secretary"	"repression_character"	1
"s2_anc_pdlc_daimyo_civil_servant"	"upkeep_cost_mod_category_infantry"	-5
"s2_anc_pdlc_daimyo_governor"	"general_attribute_command_land_siege_defence"	2
"s2_anc_pdlc_daimyo_little_tea_pot_1"	"general_honour_bonus"	1
"s2_anc_pdlc_daimyo_little_tea_pot_2"	"general_honour_bonus"	1
"s2_anc_pdlc_daimyo_little_tea_pot_3"	"general_honour_bonus"	1
"s2_anc_pdlc_daimyo_pet_tiger"	"diplomacy_bonus_faction_leader"	10
"s2_anc_pdlc_daimyo_samurai_senior"	"general_honour_bonus"	1
"s2_anc_pdlc_daimyo_samurai_senior"	"repression_character"	1
"s2_anc_pdlc_daimyo_vassal"	"personal_security"	-5
"s2_anc_pdlc_daimyo_vassal"	"repression_character"	1
"s2_anc_pdlc_general_bow_practice"	"general_bow_bonus"	10
"s2_anc_pdlc_general_bow_target_long"	"general_bow_bonus"	5
"s2_anc_pdlc_general_bow_target_medium"	"general_bow_bonus"	5
"s2_anc_pdlc_general_bow_target_short"	"general_bow_bonus"	5
"s2_anc_pdlc_general_governor_zuryo"	"general_attribute_command_land_siege_defence"	2
"s2_anc_pdlc_general_governor"	"general_attribute_command_land_siege_defence"	1
"s2_anc_pdlc_general_mii_dera"	"general_bodyguard_attack_bonus"	1
"s2_anc_pdlc_general_mii_dera"	"personal_security"	-5
"s2_anc_pdlc_general_monk_enryaky_ji"	"general_bodyguard_attack_bonus"	1
"s2_anc_pdlc_general_monk_enryaky_ji"	"personal_security"	-5
"s2_anc_pdlc_general_moon_carp"	"general_honourable"	1
"s2_anc_pdlc_general_poet_chinese"	"general_honourable"	1
"s2_anc_pdlc_general_poet_nihon"	"general_honourable"	1
"s2_anc_pdlc_general_weapon_yoroi_toshi"	"general_bodyguard_attack_bonus"	1
"s2_anc_pdlc_general_weapon_yoroi_toshi"	"personal_security"	-2
"s2_anc_pdlc_monk_follower_itako"	"agent_attribute_zeal_inspire_army"	1
"s2_anc_pdlc_monk_follower_itako"	"agent_stealth_detection_mod"	5
"s2_anc_pdlc_monk_follower_komuso"	"agent_action_cost_mod"	-10
"s2_anc_pdlc_monk_follower_miko_spirit"	"agent_attribute_zeal_convert_character"	1
"s2_anc_pdlc_monk_follower_miko_spirit"	"agent_attribute_zeal_incite_unrest"	1
