version 1, schema avatar_drop_probabilities_tables, guid b3e102b7-c871-4165-a9b9-64cd91cece85
unknown1(float)	unknown2(string)
0	"PLACEHOLDER"
1	"drop_prob_achievement"
0.2	"drop_prob_ancillary_high"
0.01	"drop_prob_ancillary_low"
0.1	"drop_prob_ancillary_medium"
0.2	"drop_prob_armour_high"
0.05	"drop_prob_armour_low"
0.1	"drop_prob_armour_medium"
1	"drop_prob_armour_set_complete"
0.75	"drop_prob_armour_very_high"
1	"drop_prob_bosh_achievement"
0.2	"drop_prob_bosh_ancillary_high"
0.01	"drop_prob_bosh_ancillary_low"
0.1	"drop_prob_bosh_ancillary_medium"
0.2	"drop_prob_bosh_armour_high"
0.05	"drop_prob_bosh_armour_low"
0.1	"drop_prob_bosh_armour_medium"
1	"drop_prob_bosh_armour_set_complete"
0.75	"drop_prob_bosh_armour_very_high"
1	"drop_prob_bosh_campaign_map"
1	"drop_prob_bosh_clan"
1	"drop_prob_bosh_dojo_chain"
0.005	"drop_prob_bosh_legendary"
0	"drop_prob_bosh_starting_gear"
1	"drop_prob_campaign_map"
1	"drop_prob_clan"
1	"drop_prob_dojo_chain"
0.005	"drop_prob_legendary"
0	"drop_prob_starting_gear"
