version 1, schema avatar_skill_tree_traits_tables, guid 742a8b94-9d56-440e-97d2-bddfe8dba8fb
unknown1(string)	unknown2(string)	unknown3(int)
"Boshin_avatar_trait_skills_bushido_1"	"boshin_avatar_bushido_skills"	3
"Boshin_avatar_trait_skills_bushido_2"	"boshin_avatar_bushido_skills"	6
"Boshin_avatar_trait_skills_bushido_3"	"boshin_avatar_bushido_skills"	10
"Boshin_avatar_trait_skills_bushido_4"	"boshin_avatar_bushido_skills"	15
"Boshin_avatar_trait_skills_bushido_5"	"boshin_avatar_bushido_skills"	20
"Boshin_avatar_trait_skills_command_1"	"boshin_avatar_command_skills"	3
"Boshin_avatar_trait_skills_command_2"	"boshin_avatar_command_skills"	6
"Boshin_avatar_trait_skills_command_3"	"boshin_avatar_command_skills"	10
"Boshin_avatar_trait_skills_command_4"	"boshin_avatar_command_skills"	15
"Boshin_avatar_trait_skills_command_5"	"boshin_avatar_command_skills"	20
"Boshin_avatar_trait_skills_gunpowder_1"	"boshin_avatar_gunpowder_skills"	3
"Boshin_avatar_trait_skills_gunpowder_2"	"boshin_avatar_gunpowder_skills"	6
"Boshin_avatar_trait_skills_gunpowder_3"	"boshin_avatar_gunpowder_skills"	10
"Boshin_avatar_trait_skills_gunpowder_4"	"boshin_avatar_gunpowder_skills"	15
"Boshin_avatar_trait_skills_gunpowder_5"	"boshin_avatar_gunpowder_skills"	20
"avatar_trait_skills_bow_1"	"avatar_bow_skills"	1
"avatar_trait_skills_bow_2"	"avatar_bow_skills"	4
"avatar_trait_skills_bow_3"	"avatar_bow_skills"	8
"avatar_trait_skills_bow_4"	"avatar_bow_skills"	12
"avatar_trait_skills_bow_5"	"avatar_bow_skills"	16
"avatar_trait_skills_leadership_1"	"avatar_leadership_skills"	1
"avatar_trait_skills_leadership_2"	"avatar_leadership_skills"	4
"avatar_trait_skills_leadership_3"	"avatar_leadership_skills"	8
"avatar_trait_skills_leadership_4"	"avatar_leadership_skills"	12
"avatar_trait_skills_leadership_5"	"avatar_leadership_skills"	15
"avatar_trait_skills_melee_1"	"avatar_combat_skills"	1
"avatar_trait_skills_melee_2"	"avatar_combat_skills"	4
"avatar_trait_skills_melee_3"	"avatar_combat_skills"	8
"avatar_trait_skills_melee_4"	"avatar_combat_skills"	12
"avatar_trait_skills_melee_5"	"avatar_combat_skills"	16
"avatar_trait_skills_physical_1"	"avatar_physical_skills"	1
"avatar_trait_skills_physical_2"	"avatar_physical_skills"	4
"avatar_trait_skills_physical_3"	"avatar_physical_skills"	8
