version 1, schema avatar_skills_to_units_juncs_tables, guid 8124f716-b2f4-4e90-a75c-e423b2b4e1d7
unknown1(string)	unknown2(string)
"siege_skill_advanced_marksmanship_0"	"Art_European_Cannons_MP"
"siege_skill_advanced_marksmanship_1"	"Art_European_Cannons_MP"
"siege_skill_advanced_reload_0"	"Art_European_Cannons_MP"
"siege_skill_advanced_reload_1"	"Art_European_Cannons_MP"
"siege_skill_damage_0"	"Art_European_Cannons_MP"
"siege_skill_damage_1"	"Art_European_Cannons_MP"
"siege_skill_damage_2"	"Art_European_Cannons_MP"
"siege_skill_damage_3"	"Art_European_Cannons_MP"
"siege_skill_marksmanship_0"	"Art_European_Cannons_MP"
"siege_skill_marksmanship_1"	"Art_European_Cannons_MP"
"siege_skill_marksmanship_2"	"Art_European_Cannons_MP"
"siege_skill_marksmanship_3"	"Art_European_Cannons_MP"
"siege_skill_range_0"	"Art_European_Cannons_MP"
"siege_skill_range_1"	"Art_European_Cannons_MP"
"siege_skill_range_2"	"Art_European_Cannons_MP"
"siege_skill_range_3"	"Art_European_Cannons_MP"
"siege_skill_reload_0"	"Art_European_Cannons_MP"
"siege_skill_reload_1"	"Art_European_Cannons_MP"
"siege_skill_reload_2"	"Art_European_Cannons_MP"
"siege_skill_reload_3"	"Art_European_Cannons_MP"
"siege_skill_replenish_unit_0"	"Art_European_Cannons_MP"
"siege_skill_replenish_unit_1"	"Art_European_Cannons_MP"
"siege_skill_advanced_marksmanship_0"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_advanced_marksmanship_1"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_advanced_reload_0"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_advanced_reload_1"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_damage_0"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_damage_1"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_damage_2"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_damage_3"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_marksmanship_0"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_marksmanship_1"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_marksmanship_2"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_marksmanship_3"	"Art_Fire_Projecting_Mangonels_MP"
"siege_skill_range_0"	"Art_Fire_Projecting_Mangonels_MP"
