version 1, schema avatar_unit_info_card_abilites_strings_tables, guid e4d3f966-7b93-468d-9789-10a717848a36
unknown1(string)	unknown2(string)
"enable_ability_armour_piercing_arrows"	"/UI/Frontend UI/Skills/skill_armour_piercing_arrows.tga"
"enable_ability_armour_piercing_melee"	"/UI/Frontend UI/Skills/skill_armour_penetration.tga"
"enable_ability_assassinate"	"/UI/Frontend UI/Skills/skill_assassinate.tga"
"enable_ability_bamboo_wall"	"/UI/Frontend UI/Skills/skill_bamboo_wall.tga"
"enable_ability_banzai"	"/UI/Frontend UI/Skills/skill_banzai.tga"
"enable_ability_blind_grenades"	"/UI/Frontend UI/Skills/skill_blind_grenades.tga"
"enable_ability_cantabrian_circle"	"/UI/Frontend UI/Skills/skill_cantabrian_circle.tga"
"enable_ability_fire_arrows"	"/UI/Frontend UI/Skills/skill_fire_arrows.tga"
"enable_ability_fire_by_rank"	"/UI/Frontend UI/Skills/skill_fire_by_rank.tga"
"enable_ability_guerilla_deployment"	"/UI/Frontend UI/Skills/skill_guerilla_deployment.tga"
"enable_ability_inspire"	"/UI/Frontend UI/Skills/skill_inspiration.tga"
"enable_ability_pavise"	"/UI/Frontend UI/Skills/skill_pavise.tga"
"enable_ability_rally"	"/UI/Frontend UI/Skills/skill_rally.tga"
"enable_ability_rapid_volley"	"/UI/Frontend UI/Skills/skill_rapid_volley.tga"
"enable_ability_scare_enemies"	"/UI/Frontend UI/Skills/skill_scare_enemies.tga"
"enable_ability_snipe"	"/UI/Frontend UI/Skills/skill_snipe.tga"
"enable_ability_stand_and_fight"	"/UI/Frontend UI/Skills/skill_stand_and_fight.tga"
"enable_ability_warcry"	"/UI/Frontend UI/Skills/skill_warcry.tga"
"enable_ability_whistling_arrows"	"/UI/Frontend UI/Skills/skill_whistling_arrows.tga"
"enable_avatar_bow"	"/UI/Frontend UI/Skills/skill_enable_bow.tga"
"enable_avatar_increased_bodyguard_unit"	"/UI/Frontend UI/Skills/skill_bodyguard_unit_size.tga"
"mod_distance_to_spot_enemies"	"/UI/Frontend UI/Skills/skill_spot_distance.tga"
"mod_melee_penalty_vs_spears"	"/UI/Frontend UI/Skills/skill_no_spear_penalty.tga"
"mod_missile_damage"	"/UI/Frontend UI/Skills/skill_bow_damage.tga"
"mod_replenishment_rate"	"/UI/Frontend UI/Skills/skill_replenish_unit.tga"
"mod_stamina"	"/UI/Frontend UI/Skills/skill_stamina.tga"
"mod_unit_speed"	"/UI/Frontend UI/Skills/skill_speed.tga"
