version 1, schema battle_script_advice_strings_tables, guid ae2c706a-4207-4d36-8793-44b0e23980c4
unknown1(string)	unknown2(string)
"battle_advisor"	"CreativeAssembly.0001_TUT_Welcome"
"battle_advisor"	"CreativeAssembly.0002_TUT_Select_Unit"
"battle_advisor"	"CreativeAssembly.0003_TUT_Yari_Ashigaru_Info"
"battle_advisor"	"CreativeAssembly.0003a_TUT_Advisor_Arrows"
"battle_advisor"	"CreativeAssembly.0004_TUT_Move_Yari_Ashigaru"
"battle_advisor"	"CreativeAssembly.0005_TUT_Walk_To_Run"
"battle_advisor"	"CreativeAssembly.0006_TUT_Fatigue_Effects"
"battle_advisor"	"CreativeAssembly.0007_TUT_Unit_Halt"
"battle_advisor"	"CreativeAssembly.0008_TUT_Reminder_Move"
"battle_advisor"	"CreativeAssembly.0009_TUT_Camera_WASD"
"battle_advisor"	"CreativeAssembly.0010_TUT_Camera_QEZX"
"battle_advisor"	"CreativeAssembly.0011_TUT_Camera_CV"
"battle_advisor"	"CreativeAssembly.0012_TUT_Radar_Map"
"battle_advisor"	"CreativeAssembly.0013_TUT_Unit_Rotation"
"battle_advisor"	"CreativeAssembly.0015_TUT_Unit_Abilities"
"battle_advisor"	"CreativeAssembly.0016_TUT_Morale_Effects"
"battle_advisor"	"CreativeAssembly.0017_TUT_Cavalry_Success"
"battle_advisor"	"CreativeAssembly.0018_TUT_Power_Balance"
"battle_advisor"	"CreativeAssembly.0019_TUT_Reveal_Samurai_Archers"
"battle_advisor"	"CreativeAssembly.0020_TUT_Samurai_Archers_Info"
"battle_advisor"	"CreativeAssembly.0021_TUT_Unit_Formation"
"battle_advisor"	"CreativeAssembly.0022_TUT_Firing_Arc"
"battle_advisor"	"CreativeAssembly.0023_TUT_Fire_At_Will"
"battle_advisor"	"CreativeAssembly.0024_TUT_Ammo_Bar"
"battle_advisor"	"CreativeAssembly.0025_TUT_Charge_Bonus"
"battle_advisor"	"CreativeAssembly.0026_TUT_Multi_Selection"
"battle_advisor"	"CreativeAssembly.0027_TUT_Unit_Deselection"
"battle_advisor"	"CreativeAssembly.0028_TUT_Heavy_Cavalry_Info"
"battle_advisor"	"CreativeAssembly.0029_TUT_Cavalry_Charge"
"battle_advisor"	"CreativeAssembly.0030_TUT_Speed_Settings"
"battle_advisor"	"CreativeAssembly.0031_TUT_Fleeing_Troops"
"battle_advisor"	"CreativeAssembly.0032_TUT_Victory"
"battle_advisor"	"CreativeAssembly.0033_TUT_Wedge"
"battle_advisor"	"CreativeAssembly.0034_TUT_Select_Archers"
"battle_advisor"	"CreativeAssembly.0101_TUT_Welcome"
"battle_advisor"	"CreativeAssembly.0102_TUT_Deployment_Phase"
"battle_advisor"	"CreativeAssembly.0103_TUT_Deployment_Zones"
