version 3, schema battle_script_strings_tables, guid 574c10f8-ff72-4814-b0e8-58609ca54efd
Battle_Script_String_ID(string)	string(string)	unknown3(string)	unknown4(string)
"Bos.Aide.HB.AI_Extra_01"	"Aizu lies at the end of the pass, my lord! We must proceed with caution!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.AI_Extra_02"	"My Lord! The Aizu send the Azure Dragons against us!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.AI_Extra_03"	"Commander! The Black Tortoise force is sighted!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.AI_Extra_04"	"My Lord, we are under attack by the Vermillion Bird regiment!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.AI_Extra_05"	"The White Tigers my Lord! They move to strike against us!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.AI_Extra_06"	"The Aizu are defeated! Now they will learn the price of resisting the Emperor!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.Generic_Extra_01"	"Our army is beaten! May the Shogun show us mercy!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.Generic_Extra_02"	"Lord Takamori has fallen! Panic grips our men! Retreat!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.Generic_Extra_03"	"My Lord, we are lost! Retreat!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.HA_Extra_01"	"My Lord, our armies lie separated and the Ezo move against us! We are in great danger!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.HA_Extra_02"	"By your great skill the Ezo advance is defeated! Press on, and take Hakodate castle!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.HA_Extra_03"	"Hakodate is captured! My Lord, you have done it! The Ezo Republic is crushed, and all of Japan belongs to the Emperor once again!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.HA_Extra_04"	"French troops, my lord! They train the Ezo soldiers and defend the castle! "	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_01"	"Enemy ships sighted, Admiral! We must protect the Kotetsu! To battle!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_02"	"The Kotetsu is coming under fire Commander! "	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_03"	"Admiral, the Kotetsu is taking heavy damage! We must protect her!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_04"	"The Kotetsu is being boarded! To her aid, quickly!"	"battle_advisor"	"placeholder"
"Bos.Aide.HB.MB_Extra_05"	"The captain of the Kotetsu reports that her engines are repaired sir, and can join the battle!"	"battle_advisor"	"placeholder"
