version 2, schema battle_type_setup_limits_tables, guid 190633c8-c62f-4676-b04a-c778625db778
Battle_Type_IDRef(string)	Unit_Type(string)	Unit_Size(string)	Unit_Availability(string)	unknown1(int)	unknown2(int)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)
"capture_point"	"artillery_heavy"	"large"	"early"	3	5	12	0	0	0	12	0
"capture_point"	"artillery_heavy"	"large"	"late"	3	5	12	0	0	0	58	0
"capture_point"	"artillery_heavy"	"large"	"middle"	3	5	12	0	0	0	46	0
"capture_point"	"artillery_heavy"	"medium"	"early"	2	4	8	0	0	0	11	0
"capture_point"	"artillery_heavy"	"medium"	"late"	2	4	8	0	0	0	57	0
"capture_point"	"artillery_heavy"	"medium"	"middle"	2	4	8	0	0	0	45	0
"capture_point"	"artillery_heavy"	"small"	"early"	1	2	4	0	0	0	10	0
"capture_point"	"artillery_heavy"	"small"	"late"	1	2	4	0	0	0	56	0
"capture_point"	"artillery_heavy"	"small"	"middle"	1	2	4	0	0	0	44	0
"capture_point"	"balanced"	"large"	"early"	13	4	3	0	0	0	18	0
"capture_point"	"balanced"	"large"	"late"	13	4	3	0	0	0	64	0
"capture_point"	"balanced"	"large"	"middle"	7	7	6	0	0	0	52	0
"capture_point"	"balanced"	"medium"	"early"	9	3	2	0	0	0	17	0
"capture_point"	"balanced"	"medium"	"late"	9	3	2	0	0	0	63	0
"capture_point"	"balanced"	"medium"	"middle"	9	3	2	0	0	0	51	0
"capture_point"	"balanced"	"small"	"early"	3	2	2	0	0	0	16	0
"capture_point"	"balanced"	"small"	"late"	3	2	2	0	0	0	62	0
"capture_point"	"balanced"	"small"	"middle"	3	2	2	0	0	0	50	0
"capture_point"	"cavalry_heavy"	"large"	"early"	5	12	3	0	0	0	15	0
"capture_point"	"cavalry_heavy"	"large"	"late"	5	12	3	0	0	0	61	0
"capture_point"	"cavalry_heavy"	"large"	"middle"	5	12	3	0	0	0	49	0
"capture_point"	"cavalry_heavy"	"medium"	"early"	4	8	2	0	0	0	14	0
"capture_point"	"cavalry_heavy"	"medium"	"late"	4	8	2	0	0	0	60	0
"capture_point"	"cavalry_heavy"	"medium"	"middle"	4	8	2	0	0	0	48	0
"capture_point"	"cavalry_heavy"	"small"	"early"	2	4	1	0	0	0	13	0
"capture_point"	"cavalry_heavy"	"small"	"late"	2	4	1	0	0	0	59	0
"capture_point"	"cavalry_heavy"	"small"	"middle"	2	4	1	0	0	0	47	0
"capture_point"	"infantry_heavy"	"large"	"early"	12	5	3	0	0	0	8	0
"capture_point"	"infantry_heavy"	"large"	"late"	12	5	3	0	0	0	55	0
"capture_point"	"infantry_heavy"	"large"	"middle"	12	5	3	0	0	0	43	0
"capture_point"	"infantry_heavy"	"medium"	"early"	8	4	2	0	0	0	7	0
"capture_point"	"infantry_heavy"	"medium"	"late"	8	4	2	0	0	0	54	0
"capture_point"	"infantry_heavy"	"medium"	"middle"	8	4	2	0	0	0	42	0
"capture_point"	"infantry_heavy"	"small"	"early"	4	2	1	0	0	0	6	0
"capture_point"	"infantry_heavy"	"small"	"late"	4	2	1	0	0	0	53	0
"capture_point"	"infantry_heavy"	"small"	"middle"	4	2	1	0	0	0	41	0
"classic"	"artillery_heavy"	"large"	"early"	9	6	5	0	0	0	21	0
"classic"	"artillery_heavy"	"large"	"late"	9	6	5	0	0	0	76	0
"classic"	"artillery_heavy"	"large"	"middle"	9	6	5	0	0	0	73	0
"classic"	"artillery_heavy"	"medium"	"early"	8	3	3	0	0	0	20	0
"classic"	"artillery_heavy"	"medium"	"late"	8	3	3	0	0	0	75	0
"classic"	"artillery_heavy"	"medium"	"middle"	2	4	8	0	0	0	72	0
"classic"	"artillery_heavy"	"small"	"early"	1	2	4	0	0	0	19	0
"classic"	"artillery_heavy"	"small"	"late"	1	2	4	0	0	0	74	0
"classic"	"artillery_heavy"	"small"	"middle"	1	2	4	0	0	0	71	0
"classic"	"balanced"	"large"	"early"	20	20	20	0	0	0	28	0
"classic"	"balanced"	"large"	"late"	20	20	20	0	0	0	90	0
