version 1, schema battlefield_building_categories_tables, guid fd4c3a96-3a90-4f15-8b6f-6bc3f4e87292
building_id(string)	type(string)	destroyed_effect(string)
"armoury"	"Armoury"	"building_destroy_effect_med1"
"barracks"	"Barracks"	"building_destroy_effect_med1"
"boulder"	"Boulder"	"props_destroy_effect"
"bridge"	"Bridge"	"building_destroy_effect_med1"
"church"	"Church"	"building_destroy_effect_med1"
"coastal_battery"	"Coastal Battery"	"Cannon_destroyed"
"command_HQ"	"Command HQ"	"building_destroy_effect_med1"
"farmhouse"	"Farmhouse"	"building_destroy_effect_med1"
"fence"	"Fence"	"props_destroy_effect"
"floor_tile"	"Floor"	"prfire"
"fort"	"Fort"	"building_destroy_effect_med1"
"fort_tower"	"Fort Tower"	"building_destroy_effect_med1"
"fort_wall"	"Fort Wall"	"building_destroy_effect_med1"
"gate"	"Gate"	"props_destroy_effect"
"house"	"House"	"building_destroy_effect_med1"
"hut"	"Hut"	"building_destroy_effect_med1"
"incidental"	"Incidental"	"props_destroy_effect"
"key_building_archery_dojo"	"Archery Dojo"	"building_destroy_effect_med1"
"key_building_farmhouse"	"Farmhouse"	"building_destroy_effect_med1"
"key_building_shrine"	"Shrine"	"building_destroy_effect_med1"
"key_building_sword_dojo"	"Sword Dojo"	"building_destroy_effect_med1"
"key_building_workshop"	"Workshop"	"building_destroy_effect_med1"
"ruins"	"Ruins"	"building_destroy_effect_med1"
"rural"	"Rural"	"building_destroy_effect_med1"
"townhall"	"Tenshu"	"building_destroy_effect1"
"vaultable_wall"	"Vaultable Wall"	"building_destroy_effect_med1"
"warehouse"	"Warehouse"	"building_destroy_effect1"
"windmill"	"Windmill"	"building_destroy_effect_med1"
