version 5, schema battles_tables, guid f1cc110e-afc9-4192-b1bd-23a3623aacea
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)	unknown12(optstring)	unknown13(int)	unknown14(float)	unknown15(boolean)	unknown16(boolean)
"AI_Test_Land_01"	"classic"	false	"BattleTerrain/presets/AI_Test_Land_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"AI_Test_Land_02"	"classic"	false	"BattleTerrain/presets/AI_Test_Land_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"Aizu"	"napoleon_historic"	false	"Shogun_Historical_Battles/Aizu/AI_Battle.xml"	"BattleTerrain/Presets/hb_aizu/screenshot_small.tga"	false	1	1	false	false	false	nil	1868	1	false	false
"All_Castle_01_Pieces"	"siege"	false	"BattleTerrain/presets/All_Castle_01_Pieces/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"All_Castle_02_Pieces"	"siege"	false	"BattleTerrain/presets/All_Castle_02_Pieces/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"All_Castle_03_Pieces"	"siege"	false	"BattleTerrain/presets/All_Castle_03_Pieces/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	1	false	false
"Anegawa"	"napoleon_historic"	false	"Shogun_Historical_Battles/Anegawa/Anegawa_Battle.xml"	"BattleTerrain/Presets/hb_anegawa/screenshot_small.tga"	false	1	1	false	false	false	nil	1570	1	false	false
"Castle_Coastal_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_01/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Coastal_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_02/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_Coastal_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_03/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Coastal_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	true	true	nil	0	0.6	false	false
"Castle_Coastal_Level_05"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_05/"	nil	false	3	3	true	true	true	nil	0	0.6	false	true
"Castle_Coastal_Level_06"	"siege"	false	"BattleTerrain/presets/Castle_Coastal_Level_06/"	"BattleTerrain/presets/Castle_Coastal_Level_06/screenshot_small.tga"	false	3	3	true	true	true	nil	0	0.5	false	true
"Castle_FS_Coastal_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_FS_Coastal_Level_01/"	nil	false	2	2	true	false	true	nil	0	0.8	false	false
"Castle_FS_Coastal_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_FS_Coastal_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Coastal_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_FS_Coastal_Level_03/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
"Castle_FS_Coastal_Level_04"	"siege"	false	"BattleTerrain/presets/Castle_FS_Coastal_Level_04/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Hilly_Plane_Level_01"	"siege"	false	"BattleTerrain/presets/Castle_FS_Hilly_Plane_Level_01/"	nil	false	2	2	true	false	true	nil	0	0.8	false	false
"Castle_FS_Hilly_Plane_Level_02"	"siege"	false	"BattleTerrain/presets/Castle_FS_Hilly_Plane_Level_02/"	"BattleTerrain/presets/screenshot_small.tga"	false	1	1	false	false	true	nil	0	0.6	false	false
"Castle_FS_Hilly_Plane_Level_03"	"siege"	false	"BattleTerrain/presets/Castle_FS_Hilly_Plane_Level_03/"	nil	false	2	2	true	true	true	nil	0	0.6	false	true
