version 1, schema building_chain_to_slots_tables, guid 15a619aa-6d34-4363-8f3f-e505a8ad4f08
Building_Chain_IDRef(string)	Slot_Type(string)
"GEM_Buddhist"	"settlement_sho_generic"
"GEM_Buff"	"settlement_sho_generic"
"GEM_Bushi"	"settlement_sho_generic"
"GEM_Castle"	"settlement"
"GEM_Castle"	"settlement_1_slot"
"GEM_Castle"	"settlement_2_slot"
"GEM_Castle"	"settlement_3_slot"
"GEM_Castle"	"settlement_castle"
"GEM_Clan"	"settlement_sho_generic"
"GEM_Economy"	"settlement_sho_generic"
"GEM_Farming"	"rice"
"GEM_Government"	"settlement_sho_generic"
"GEM_Infrastructure"	"settlement_road"
"GEM_Intellectual"	"settlement_sho_generic"
"GEM_Koryu"	"settlement_sho_generic"
"GEM_Port"	"port"
"GEM_Region_Specialty_Craftwork"	"SHO_region_specialty_artisans"
"GEM_Region_Specialty_Gold_Mining"	"SHO_region_specialty_gold_mining"
"GEM_Region_Specialty_Holy_Site"	"SHO_region_specialty_holy_site"
"GEM_Region_Specialty_Intellectual"	"SHO_region_specialty_philosophical_tradition"
"GEM_Region_Specialty_Iron_Mining"	"SHO_region_specialty_iron_mining"
"GEM_Region_Specialty_Naval"	"SHO_region_specialty_naval_tradition"
"GEM_Region_Specialty_Ninja"	"SHO_region_specialty_ninja"
"GEM_Region_Specialty_Silk"	"GEM_region_specialty_silk"
"GEM_Region_Specialty_Smithing"	"SHO_region_specialty_smithing"
"GEM_Region_Specialty_Timber"	"SHO_region_specialty_prime_forest"
"SHO_Archery"	"settlement_sho_generic"
"SHO_Buddhist"	"settlement_sho_generic"
"SHO_Buff"	"settlement_sho_generic"
"SHO_Castle"	"settlement"
"SHO_Castle"	"settlement_1_slot"
"SHO_Castle"	"settlement_2_slot"
"SHO_Castle"	"settlement_3_slot"
"SHO_Castle"	"settlement_4_slot"
"SHO_Castle"	"settlement_castle"
"SHO_Cavalry"	"settlement_sho_generic"
"SHO_Christian"	"settlement_sho_generic"
"SHO_Economy"	"settlement_sho_generic"
"SHO_Farming"	"rice"
"SHO_Ikko_Temple"	"settlement_sho_generic"
"SHO_Infrastructure"	"settlement_road"
"SHO_Port"	"port"
"SHO_Portuguese"	"settlement_sho_generic"
"SHO_Region_Specialty_Craftwork"	"SHO_region_specialty_artisans"
"SHO_Region_Specialty_Gold_Mining"	"SHO_region_specialty_gold_mining"
"SHO_Region_Specialty_Holy_Site"	"SHO_region_specialty_holy_site"
"SHO_Region_Specialty_Horses"	"SHO_region_specialty_horses"
"SHO_Region_Specialty_Intellectual_Centre"	"SHO_region_specialty_philosophical_tradition"
"SHO_Region_Specialty_Iron_Mining"	"SHO_region_specialty_iron_mining"
"SHO_Region_Specialty_Naval"	"SHO_region_specialty_naval_tradition"
"SHO_Region_Specialty_Ninja"	"SHO_region_specialty_ninja"
"SHO_Region_Specialty_Smithing"	"SHO_region_specialty_smithing"
"SHO_Region_Specialty_Stone"	"SHO_region_specialty_stone"
"SHO_Region_Specialty_Timber"	"SHO_region_specialty_prime_forest"
"SHO_Siege"	"settlement_sho_generic"
"SHO_Stealth"	"settlement_sho_generic"
"SHO_Sword"	"settlement_sho_generic"
"SHO_Yari"	"settlement_sho_generic"
"bos_artillery"	"settlement_sho_generic"
"bos_buff"	"settlement_sho_generic"
"bos_castle"	"bos_castle"
"bos_criminal"	"settlement_sho_generic"
"bos_defences"	"settlement_sho_generic"
"bos_farming"	"rice"
"bos_foundation"	"bos_foundation"
"bos_industry"	"settlement_sho_generic"
"bos_infrastucture"	"settlement_road"
"bos_modern"	"settlement_sho_generic"
"bos_port"	"port"
"bos_propaganda"	"settlement_sho_generic"
"bos_region_specialtea"	"bos_region_specialtea"
"bos_region_specialty_clay"	"bos_region_specialty_clay"
"bos_region_specialty_coal_mining"	"bos_region_specialty_coal_mining"
"bos_region_specialty_copper_mining"	"bos_region_specialty_copper_mining"
"bos_region_specialty_gold_mining"	"bos_region_specialty_gold_mining"
"bos_region_specialty_holy_site"	"bos_region_specialty_holy_site"
"bos_region_specialty_iron_mining"	"bos_region_specialty_iron_mining"
"bos_region_specialty_railroad"	"bos_region_specialty_railroad"
"bos_region_specialty_silk"	"bos_region_specialty_silk"
"bos_region_specialty_silver_mining"	"bos_region_specialty_silver_mining"
"bos_region_specialty_smithing"	"bos_region_specialty_smithing"
"bos_region_specialty_smugglers"	"bos_region_specialty_smugglers"
"bos_traditional"	"settlement_sho_generic"
